id,type,reference_price,descript,url,company,review_url,review_count
1296891,海信阅读手机A5（4GB/32GB/全网通/HiFi版） ,1259,智能调光柔光灯，六大内容平台，墨智键，防沉迷学生模式，护眼墨水屏,http://detail.zol.com.cn/cell_phone/index1296891.shtml,海信,http://detail.zol.com.cn/1297/1296891/review.shtml,22
1325402,海信阅读手机A5 Pro（4GB/64GB/全网通/CC版） ,1799,彩墨屏，电纸书阅读器，虎贲T610,http://detail.zol.com.cn/cell_phone/index1325402.shtml,海信,http://detail.zol.com.cn/1326/1325402/review.shtml,1786
1353088,海信阅读手机A7（6GB/128GB/全网通/5G版/CC版） ,2399,双模5G，彩色墨水屏，虎贲T7510,http://detail.zol.com.cn/cell_phone/index1353088.shtml,海信,http://detail.zol.com.cn/1354/1353088/review.shtml,2173
1407676,海信阅读手机A9（4GB/128GB） ,1799,定制护眼墨水屏，冷暖双色温，HiFi音质,http://detail.zol.com.cn/cell_phone/index1407676.shtml,海信,http://detail.zol.com.cn/1408/1407676/review.shtml,753
1325424,海信阅读手机A5 Pro（6GB/128GB/全网通/CC版） ,1999,彩墨屏，电纸书阅读器，虎贲T610,http://detail.zol.com.cn/cell_phone/index1325424.shtml,海信,http://detail.zol.com.cn/1326/1325424/review.shtml,1786
1353068,海信阅读手机A7（6GB/128GB/全网通/5G版/经典版） ,1999,双模5G，黑白墨水屏，虎贲T7510,http://detail.zol.com.cn/cell_phone/index1353068.shtml,海信,http://detail.zol.com.cn/1354/1353068/review.shtml,2173
1297530,海信双屏手机A6L（6GB/64GB/全网通/悦享版） ,1999,双全面屏，双屏联动，沉浸式阅读，护眼夜光水墨屏，AI墨智键，学生模式,http://detail.zol.com.cn/cell_phone/index1297530.shtml,海信,http://detail.zol.com.cn/1298/1297530/review.shtml,395
1281708,海信F30S（6GB/全网通/尊享版） ,999,屏幕类型:全面屏（水滴屏） 主屏尺寸:6.22英寸 主屏材质:TFT 主屏分辨率:2340x1080像素 屏幕像素密度:414ppi CPU型号:紫光展锐虎贲 T310 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE,http://detail.zol.com.cn/cell_phone/index1281708.shtml,海信,http://detail.zol.com.cn/1282/1281708/review.shtml,1
1394198,海信F60 5G ,0,主屏尺寸:6.81英寸 屏幕类型:全面屏（水滴屏） 5G网络:移动5G（NR TDD），联通5G（NR TDD），电信5G（NR TDD） CPU型号:高通 骁龙 八核处理器 4G网络:全网通：移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE 电池容量:5000mAh,http://detail.zol.com.cn/cell_phone/index1394198.shtml,海信,,0
1297716,海信阅读手机A5（4GB/64GB/全网通/尊享版） ,1199,智能调光柔光灯，六大内容平台，墨智键，防沉迷学生模式，护眼墨水屏,http://detail.zol.com.cn/cell_phone/index1297716.shtml,海信,http://detail.zol.com.cn/1298/1297716/review.shtml,22
1320758,海信彩墨屏阅读手机A5C（4GB/64GB/全网通） ,1699,彩色水墨屏，电纸书阅读器，4096种色彩,http://detail.zol.com.cn/cell_phone/index1320758.shtml,海信,http://detail.zol.com.cn/1321/1320758/review.shtml,20
1297727,海信双屏手机A6L（6GB/128GB/全网通/尊享版） ,2249,双全面屏，双屏联动，沉浸式阅读，护眼夜光水墨屏，AI墨智键，学生模式,http://detail.zol.com.cn/cell_phone/index1297727.shtml,海信,http://detail.zol.com.cn/1298/1297727/review.shtml,395
1266213,海信金刚8000（6GB/64GB/全网通） ,1299,MTKP70处理器，Android P，3.5mm耳机接口,http://detail.zol.com.cn/cell_phone/index1266213.shtml,海信,http://detail.zol.com.cn/1267/1266213/review.shtml,20
1325433,海信阅读手机A5 Pro（4GB/64GB/全网通/经典版） ,1599,水墨屏，电纸书阅读器，虎贲T610,http://detail.zol.com.cn/cell_phone/index1325433.shtml,海信,http://detail.zol.com.cn/1326/1325433/review.shtml,1786
1287054,海信F30S（3GB/全网通/尊享版） ,1299,屏幕类型:全面屏（水滴屏） 主屏尺寸:6.22英寸 主屏材质:TFT 主屏分辨率:2340x1080像素 屏幕像素密度:414ppi CPU型号:紫光展锐虎贲 T310 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE,http://detail.zol.com.cn/cell_phone/index1287054.shtml,海信,http://detail.zol.com.cn/1288/1287054/review.shtml,1
1287051,海信F30S（4GB/64GB/全网通） ,648,屏幕类型:全面屏（水滴屏） 主屏尺寸:6.22英寸 主屏材质:TFT 主屏分辨率:2340x1080像素 屏幕像素密度:414ppi CPU型号:紫光展锐虎贲 T310 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE,http://detail.zol.com.cn/cell_phone/index1287051.shtml,海信,http://detail.zol.com.cn/1288/1287051/review.shtml,1
1287049,海信F30S（4GB/128GB/全网通） ,798,屏幕类型:全面屏（水滴屏） 主屏尺寸:6.22英寸 主屏材质:TFT 主屏分辨率:2340x1080像素 屏幕像素密度:414ppi CPU型号:紫光展锐虎贲 T310 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE,http://detail.zol.com.cn/cell_phone/index1287049.shtml,海信,http://detail.zol.com.cn/1288/1287049/review.shtml,1
1408329,海信阅读手机A9（6GB/128GB） ,1999,定制护眼墨水屏，冷暖双色温，HiFi音质,http://detail.zol.com.cn/cell_phone/index1408329.shtml,海信,http://detail.zol.com.cn/1409/1408329/review.shtml,753
1325471,海信阅读手机A5 Pro（6GB/128GB/全网通/经典版） ,1799,水墨屏，电纸书阅读器，虎贲T610,http://detail.zol.com.cn/cell_phone/index1325471.shtml,海信,http://detail.zol.com.cn/1326/1325471/review.shtml,1786
1208549,海信H11（尊享版/全网通） ,3299,前置2000万柔光美拍，光变双摄，面部识别,http://detail.zol.com.cn/cell_phone/index1208549.shtml,海信,http://detail.zol.com.cn/1209/1208549/review.shtml,3
229265,海信E90 ,1539,"外观设计:直板 网络模式:CDMA2000 支持频段:2G：CDMA1X 800
3G：CDMA EVDO 800MHz 主屏色彩:26万色 主屏分辨率:320×480像素 手机类型:3G手机，智能手机，拍照手机，商务手机 摄像头像素:500万像素 理论待机时间:200小时",http://detail.zol.com.cn/cell_phone/index229265.shtml,海信,,0
350032,海信U960Q（联通版） ,699,主屏尺寸:5英寸 主屏材质:IPS 主屏分辨率:854x480像素 屏幕像素密度:196ppi 网络类型:双卡双模 网络模式:GSM，WCDMA 操作系统:Android OS 4.1,http://detail.zol.com.cn/cell_phone/index350032.shtml,海信,http://detail.zol.com.cn/351/350032/review.shtml,37
1158114,海信E20-T（全网通） ,299,主屏尺寸:5英寸 出厂系统内核:Android 主屏材质:TFT材质（IPS技术） 主屏分辨率:1280x720像素 屏幕像素密度:294ppi 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE SIM卡类型:双卡，Micro SIM卡,http://detail.zol.com.cn/cell_phone/index1158114.shtml,海信,http://detail.zol.com.cn/1159/1158114/review.shtml,2
1158120,海信E622M（移动4G） ,469,主屏尺寸:5.0英寸 主屏分辨率:1280x720像素 屏幕像素密度:294ppi 网络类型:双卡 4G网络:移动TD-LTE 操作系统:Android OS 核心数:四核,http://detail.zol.com.cn/cell_phone/index1158120.shtml,海信,,0
1158122,海信E50-T（全网通） ,348,主屏尺寸:5英寸 主屏分辨率:1280x720像素 屏幕像素密度:294ppi 网络类型:双卡，全网通 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE 操作系统:Android OS 核心数:四核,http://detail.zol.com.cn/cell_phone/index1158122.shtml,海信,,0
1158124,海信D2-M（移动4G） ,399,主屏尺寸:5英寸 主屏分辨率:1280x720像素 屏幕像素密度:294ppi 网络类型:双卡 4G网络:移动TD-LTE 操作系统:Android OS 核心数:四核,http://detail.zol.com.cn/cell_phone/index1158124.shtml,海信,http://detail.zol.com.cn/1159/1158124/review.shtml,1
198835,海信C558+ ,490,外观设计:直板 手机制式:CDMA， 支持频段:CDMA1X 800MHz 屏幕色彩:26万色 主屏参数:240×320像素 手机类型:音乐手机，时尚手机 摄像头像素:130万像素 理论待机时间:200小时,http://detail.zol.com.cn/cell_phone/index198835.shtml,海信,,0
290972,海信E520 ,0,手机类型:3G手机，智能手机 上市日期:2011年07月 外观设计:翻盖 主屏尺寸:2.4英寸 主屏分辨率:320x240像素 网络模式:CDMA2000 GPS导航:支持,http://detail.zol.com.cn/cell_phone/index290972.shtml,海信,,0
1186593,海信哈利手机（全网通） ,599,正反双2.5D弧面玻璃，全面屏，指纹识别，十级美颜,http://detail.zol.com.cn/cell_phone/index1186593.shtml,海信,http://detail.zol.com.cn/1187/1186593/review.shtml,5
351544,海信E956Q（电信版） ,600,主屏尺寸:4.5英寸 主屏材质:IPS 主屏分辨率:854x480像素 屏幕像素密度:218ppi 运营商定制:中国电信 网络模式:CDMA2000 操作系统:Android OS 4.1,http://detail.zol.com.cn/cell_phone/index351544.shtml,海信,http://detail.zol.com.cn/352/351544/review.shtml,66
351547,海信T960（移动版） ,699,主屏尺寸:5英寸 主屏材质:IPS 主屏分辨率:854x480像素 屏幕像素密度:196ppi 网络类型:单卡双模 网络模式:GSM，TD-SCDMA 操作系统:Android OS 4.1,http://detail.zol.com.cn/cell_phone/index351547.shtml,海信,http://detail.zol.com.cn/352/351547/review.shtml,15
291294,海信E86 ,699,"外观设计:直板 网络模式:CDMA2000 支持频段:2G：CDMA1X 800
3G：CDMA EVDO 800/1900MHz 主屏色彩:26万色 主屏分辨率:480×320像素 手机类型:3G手机，时尚手机",http://detail.zol.com.cn/cell_phone/index291294.shtml,海信,http://detail.zol.com.cn/292/291294/review.shtml,1
71307,海信G511 ,799,设计类型:滑盖 手机制式:GSM 支持频段:GSM900/1800MHz 理论通话时间:120-180分钟 理论待机时间:150-200小时 和弦铃声:64和弦 数码相机像素:130万像素,http://detail.zol.com.cn/cell_phone/index71307.shtml,海信,,0
310280,海信E860（电信版） ,520,主屏尺寸:3.5英寸 主屏材质:TFT 主屏分辨率:480x320像素 屏幕像素密度:165ppi 网络模式:CDMA2000 操作系统:Android OS 2.3 核心数:单核,http://detail.zol.com.cn/cell_phone/index310280.shtml,海信,http://detail.zol.com.cn/311/310280/review.shtml,28
344603,海信U958（联通版） ,500,主屏尺寸:4.5英寸 主屏分辨率:854x480像素 屏幕像素密度:218ppi 网络类型:双卡双模 网络模式:GSM，WCDMA 操作系统:Android OS 4.1 核心数:四核,http://detail.zol.com.cn/cell_phone/index344603.shtml,海信,http://detail.zol.com.cn/345/344603/review.shtml,12
