id,type,reference_price,descript,url,company,review_url,review_count
1948664,纽曼M90S（8+128GB） ,468,三防手机，旗舰八核，持久待机,http://detail.zol.com.cn/cell_phone/index1948664.shtml,纽曼,,0
1948678,纽曼X13（6+64GB） ,379,老人简易模式，大声音大字，华为HMS,http://detail.zol.com.cn/cell_phone/index1948678.shtml,纽曼,http://detail.zol.com.cn/1949/1948678/review.shtml,761
1259949,纽曼A520（移动/联通版） ,68,主屏尺寸:1.44英寸 主屏分辨率:320x240像素 屏幕像素密度:167ppi SIM卡类型:双卡，SIM卡 存储卡:MicroSD卡 电池类型:可拆卸式电池 电池容量:500mAh,http://detail.zol.com.cn/cell_phone/index1259949.shtml,纽曼,http://detail.zol.com.cn/1260/1259949/review.shtml,90
1154815,纽曼L8 ,119,主屏尺寸:2.4英寸 主屏分辨率:320x240像素 屏幕像素密度:167ppi SIM卡类型:单卡 RAM容量:64MB 电池类型:可拆卸式电池 电池容量:7200mAh,http://detail.zol.com.cn/cell_phone/index1154815.shtml,纽曼,http://detail.zol.com.cn/1155/1154815/review.shtml,1451
1948676,纽曼M60（8+256GB） ,569,大电池，商务手机，超长待机,http://detail.zol.com.cn/cell_phone/index1948676.shtml,纽曼,,0
1948675,纽曼M60（8+128GB） ,699,大电池，商务手机，超长待机,http://detail.zol.com.cn/cell_phone/index1948675.shtml,纽曼,,0
1309336,纽曼N99（移动/联通2G） ,119,整点报时，一键拨号，来电报号,http://detail.zol.com.cn/cell_phone/index1309336.shtml,纽曼,http://detail.zol.com.cn/1310/1309336/review.shtml,537
1352440,纽曼P308（4GB/32GB/全网通） ,996,6.53英寸，1600万后置三摄，AI人脸指纹解锁,http://detail.zol.com.cn/cell_phone/index1352440.shtml,纽曼,http://detail.zol.com.cn/1353/1352440/review.shtml,2
1179012,纽曼F9（移动/联通2G） ,168,主屏尺寸:2.8英寸 主屏材质:TFT材质 主屏分辨率:320x240像素 屏幕像素密度:143ppi SIM卡:双卡，SIM卡 存储卡:MicroSD卡 电池类型:可拆卸式电池,http://detail.zol.com.cn/cell_phone/index1179012.shtml,纽曼,http://detail.zol.com.cn/1180/1179012/review.shtml,358
1260176,纽曼M6（移动/联通版） ,198,主屏尺寸:2.4英寸 主屏分辨率:320x240像素 屏幕像素密度:167ppi SIM卡类型:双卡 存储卡:MicroSD卡 电池类型:可拆卸式电池 电池容量:1400mAh,http://detail.zol.com.cn/cell_phone/index1260176.shtml,纽曼,,0
