id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
1772403,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1773/1772403/review.shtml
1395143,4.8,8.5,3.6,4.8,4.4,None,None,None,None,9.7,处理器不错、软件不错、续航一般、外观不是很满意、分辨率低,http://detail.zol.com.cn/1396/1395143/review.shtml
1395189,1.6,8.5,3.2,4.8,1.6,None,None,None,None,9.5,外观漂亮,http://detail.zol.com.cn/1396/1395189/review.shtml
1403130,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1404/1403130/review.shtml
1430895,5.7,5.7,5.7,10,10,None,None,None,None,9.5,None,http://detail.zol.com.cn/1431/1430895/review.shtml
1395275,4.8,8.5,3.6,4.8,4.4,None,None,None,None,9.7,处理器不错、软件不错、续航一般、外观不是很满意、分辨率低,http://detail.zol.com.cn/1396/1395275/review.shtml
1405415,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1406/1405415/review.shtml
1772405,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1773/1772405/review.shtml
1395276,1.6,8.5,3.2,4.8,1.6,None,None,None,None,9.5,外观漂亮,http://detail.zol.com.cn/1396/1395276/review.shtml
1430897,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1431/1430897/review.shtml
1404215,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1405/1404215/review.shtml
1950434,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1951/1950434/review.shtml
1406387,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1407/1406387/review.shtml
1431603,5.7,5.7,5.7,10,10,None,None,None,None,9.5,None,http://detail.zol.com.cn/1432/1431603/review.shtml
1431606,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1432/1431606/review.shtml
