id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
1511684,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1512/1511684/review.shtml
1379768,8,8,7.2,7.2,8,None,None,None,None,8.7,None,http://detail.zol.com.cn/1380/1379768/review.shtml
1857577,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1858/1857577/review.shtml
1426916,6.7,7.5,9.1,9.1,6.7,None,None,None,None,9.8,None,http://detail.zol.com.cn/1427/1426916/review.shtml
1401560,8.8,8.9,6.8,7.3,6.9,None,None,None,None,9.7,摄像效果出色、音乐播放效果出色、系统流畅、性价比高、外观漂亮、硬件配置强悍、系统不足、机身内存小、续航一般,http://detail.zol.com.cn/1402/1401560/review.shtml
1553654,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1554/1553654/review.shtml
1990847,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1991/1990847/review.shtml
1511683,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1512/1511683/review.shtml
1975069,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1976/1975069/review.shtml
1335466,9.0,9.2,9.0,8.4,8.3,None,None,None,None,6.9,None,http://detail.zol.com.cn/1336/1335466/review.shtml
1355934,8.7,9.0,8.9,7.3,7.0,None,None,None,None,8.1,界面简约、性价比高、续航出色、性能不错、音色音质好、系统不足、信号差,http://detail.zol.com.cn/1356/1355934/review.shtml
1414233,8.1,8.1,8.1,8.1,7.3,None,None,None,None,9.8,屏幕效果好、相机像素高、运行流畅、信号好、续航出色、音乐播放效果出色,http://detail.zol.com.cn/1415/1414233/review.shtml
1394397,7.3,9.4,5.1,4.7,4.4,None,None,None,None,9.6,性价比高、配置低、电池表现差,http://detail.zol.com.cn/1395/1394397/review.shtml
1648968,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1649/1648968/review.shtml
1437012,7.7,7.7,7.7,7.7,7.7,None,None,None,None,9.7,None,http://detail.zol.com.cn/1438/1437012/review.shtml
1437092,6.7,7.5,9.1,9.1,6.7,None,None,None,None,9.8,None,http://detail.zol.com.cn/1438/1437092/review.shtml
1395336,8.8,8.9,6.8,7.3,6.9,None,None,None,None,9.7,摄像效果出色、音乐播放效果出色、系统流畅、性价比高、外观漂亮、硬件配置强悍、系统不足、机身内存小、续航一般,http://detail.zol.com.cn/1396/1395336/review.shtml
1381695,8,8,7.2,7.2,8,None,None,None,None,8.7,None,http://detail.zol.com.cn/1382/1381695/review.shtml
1425200,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1426/1425200/review.shtml
1359442,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1360/1359442/review.shtml
1421648,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1422/1421648/review.shtml
1648969,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1649/1648969/review.shtml
1357757,8.7,9.0,8.9,7.3,7.0,None,None,None,None,8.1,界面简约、性价比高、续航出色、音色音质好、性能不错、系统不足、信号差,http://detail.zol.com.cn/1358/1357757/review.shtml
1423629,7.6,7.6,7.6,7.6,7.6,None,None,None,None,9.5,None,http://detail.zol.com.cn/1424/1423629/review.shtml
1395326,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1396/1395326/review.shtml
1379770,9.4,9.0,8.0,8.0,8.0,None,None,None,None,5.2,外观漂亮、手感舒适、续航一般、电池容量小,http://detail.zol.com.cn/1380/1379770/review.shtml
1437093,6.7,7.5,9.1,9.1,6.7,None,None,None,None,9.8,None,http://detail.zol.com.cn/1438/1437093/review.shtml
1396291,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1397/1396291/review.shtml
1424129,8.1,8.1,8.1,8.1,7.3,None,None,None,None,9.8,屏幕效果好、相机像素高、运行流畅、信号好、续航出色、音乐播放效果出色,http://detail.zol.com.cn/1425/1424129/review.shtml
1408326,7.3,9.4,5.1,4.7,4.4,None,None,None,None,9.6,性价比高、配置低、电池表现差,http://detail.zol.com.cn/1409/1408326/review.shtml
1395648,8.8,8.9,6.8,7.3,6.9,None,None,None,None,9.7,硬件配置强悍、摄像效果出色、音乐播放效果出色、系统流畅、性价比高、外观漂亮、系统不足、机身内存小、续航一般,http://detail.zol.com.cn/1396/1395648/review.shtml
1395647,8.8,8.9,6.8,7.3,6.9,None,None,None,None,9.7,硬件配置强悍、摄像效果出色、音乐播放效果出色、系统流畅、性价比高、外观漂亮、系统不足、机身内存小、续航一般,http://detail.zol.com.cn/1396/1395647/review.shtml
