id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
1970773,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1971/1970773/review.shtml
1350625,9.3,9.6,7.9,9.0,8.5,None,None,None,None,8.4,续航出色、音色音质好、电池出色、游戏运行流畅、性价比高、游戏性能不错、续航一般、电池容量小、信号差,http://detail.zol.com.cn/1351/1350625/review.shtml
1984416,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1985/1984416/review.shtml
1627566,7.7,7.7,7.7,8.5,6.1,None,None,None,None,9.4,None,http://detail.zol.com.cn/1628/1627566/review.shtml
1434873,8.9,7.3,8.1,8.1,7.3,None,None,None,None,9.9,电池表现差,http://detail.zol.com.cn/1435/1434873/review.shtml
1431600,8.1,8.1,8,7.8,6.8,None,None,None,None,9.8,价格便宜、续航一般、功能一般,http://detail.zol.com.cn/1432/1431600/review.shtml
1970769,7.5,7.5,7.5,6.9,6.4,None,None,None,None,9.0,屏幕效果好、性能差,http://detail.zol.com.cn/1971/1970769/review.shtml
1386422,9.5,9.3,9.8,9.6,9.6,None,None,None,None,8.9,外观漂亮,http://detail.zol.com.cn/1387/1386422/review.shtml
1393994,8.5,7.4,8,7.4,7.4,None,None,None,None,9.8,系统流畅、性价比高、外观漂亮,http://detail.zol.com.cn/1394/1393994/review.shtml
1412273,7.6,7.9,7.9,7.9,7.9,None,None,None,None,9.7,游戏运行流畅、续航出色、屏幕效果好、音色音质好、系统强悍、手感舒适、外观不是很满意,http://detail.zol.com.cn/1413/1412273/review.shtml
1355157,9.2,9.1,8.8,8.9,8.8,None,None,None,None,8.1,None,http://detail.zol.com.cn/1356/1355157/review.shtml
1369493,9.1,9.0,8.3,8.2,8.3,None,None,None,None,8.6,运行流畅,http://detail.zol.com.cn/1370/1369493/review.shtml
1627568,9.9,9.9,8.5,9.7,9.7,None,None,None,None,9.3,性价比高、性能好、续航一般,http://detail.zol.com.cn/1628/1627568/review.shtml
1857499,9.4,9.0,9.9,9.0,9.6,None,None,None,None,8.8,电池容量大,http://detail.zol.com.cn/1858/1857499/review.shtml
1390599,8.1,8.2,7.7,7.6,6.4,None,None,None,None,9.6,外观漂亮、游戏运行流畅、性能好、价格合理、续航出色、分辨率高、手感舒适、摄像效果一般,http://detail.zol.com.cn/1391/1390599/review.shtml
1437735,8.4,7.6,7.6,7.6,7.6,None,None,None,None,9.8,价格便宜、续航一般,http://detail.zol.com.cn/1438/1437735/review.shtml
1947958,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1948/1947958/review.shtml
1322500,8.9,9.1,7.6,8.3,7.7,None,None,None,None,8.6,性价比高、运行流畅、游戏运行流畅、系统不足,http://detail.zol.com.cn/1323/1322500/review.shtml
1425509,8.5,9.6,9.6,9.0,9.2,None,None,None,None,9.8,None,http://detail.zol.com.cn/1426/1425509/review.shtml
1392166,8.1,9.3,7.5,8.9,8.7,None,None,None,None,9.4,屏幕材质质量好,http://detail.zol.com.cn/1393/1392166/review.shtml
1610856,7.5,7.5,7.5,6.9,6.4,None,None,None,None,9.0,屏幕效果好、性能差,http://detail.zol.com.cn/1611/1610856/review.shtml
1857397,9.4,9.0,9.9,9.0,9.6,None,None,None,None,8.8,电池容量大,http://detail.zol.com.cn/1858/1857397/review.shtml
1544392,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1545/1544392/review.shtml
1610857,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1611/1610857/review.shtml
1544390,7.2,7.2,7.2,7.2,7.2,None,None,None,None,9.2,None,http://detail.zol.com.cn/1545/1544390/review.shtml
1460901,7.7,7.7,7.7,8.5,6.1,None,None,None,None,9.4,None,http://detail.zol.com.cn/1461/1460901/review.shtml
1857501,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1858/1857501/review.shtml
1460910,7.6,7.6,7.6,7.6,6,None,None,None,None,8.9,功耗大、续航一般,http://detail.zol.com.cn/1461/1460910/review.shtml
1392799,6.4,9.2,6.4,8.8,7.6,None,None,None,None,9.6,屏幕大、硬件配置强悍、系统强悍、性价比高、系统不足,http://detail.zol.com.cn/1393/1392799/review.shtml
1970767,7.5,7.5,7.5,6.9,6.4,None,None,None,None,9.0,屏幕效果好、性能差,http://detail.zol.com.cn/1971/1970767/review.shtml
1432705,8.9,7.3,8.1,8.1,7.3,None,None,None,None,9.9,电池表现差,http://detail.zol.com.cn/1433/1432705/review.shtml
1505443,9.9,9.9,8.5,9.7,9.7,None,None,None,None,9.3,性价比高、性能好、续航一般,http://detail.zol.com.cn/1506/1505443/review.shtml
1947968,7.2,7.2,7.2,7.2,7.2,None,None,None,None,9.2,None,http://detail.zol.com.cn/1948/1947968/review.shtml
1947969,7.2,7.2,7.2,7.2,7.2,None,None,None,None,9.2,None,http://detail.zol.com.cn/1948/1947969/review.shtml
1495082,9.6,9.9,8.7,9.4,9.1,None,None,None,None,9.1,性能好、游戏运行流畅、续航出色、性价比高、价格合理、游戏性能不错、价格便宜、性价比低、屏幕亮度低、电池容量小,http://detail.zol.com.cn/1496/1495082/review.shtml
1356337,9.3,9.6,8.2,9.2,8.2,None,None,None,None,9.2,性价比高、运行流畅、性能好、摄像效果出色、处理器不错、续航一般、手感一般、屏幕一般、分辨率低、屏幕质量一般,http://detail.zol.com.cn/1357/1356337/review.shtml
1947957,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1948/1947957/review.shtml
1970768,7.5,7.5,7.5,6.9,6.4,None,None,None,None,9.0,屏幕效果好、性能差,http://detail.zol.com.cn/1971/1970768/review.shtml
1425508,9.3,9.8,9.5,9.0,8.7,None,None,None,None,9.8,性能好、游戏运行流畅、运行流畅、屏幕效果好、分辨率高、价格高、续航一般、性价比不高,http://detail.zol.com.cn/1426/1425508/review.shtml
1970772,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1971/1970772/review.shtml
