id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
1992906,9.4,9.6,9.8,9.4,9.6,None,None,None,None,9.4,屏幕大、价格便宜、屏幕效果好、价格高、性价比低、性能差、续航一般、屏幕质量一般,http://detail.zol.com.cn/1993/1992906/review.shtml
1486867,9.3,8.0,8.6,8.6,8.6,None,None,None,None,9.1,性价比高、拍照清晰、价格便宜,http://detail.zol.com.cn/1487/1486867/review.shtml
1772541,9.7,9.0,10.0,8.5,9.7,None,None,None,None,9.6,运行流畅,http://detail.zol.com.cn/1773/1772541/review.shtml
1772535,7.7,7.7,6.1,7.7,7.7,None,None,None,None,9.3,手感舒适、续航一般,http://detail.zol.com.cn/1773/1772535/review.shtml
1959978,7.6,8.8,7.8,7.1,6.9,None,None,None,None,5.8,外观漂亮、运行流畅,http://detail.zol.com.cn/1960/1959978/review.shtml
1772537,6.4,9.7,6.4,5.9,6.4,None,None,None,None,9.4,性能好、手感舒适、外观漂亮、成像效果好、屏幕效果好、信号强、续航出色、续航一般,http://detail.zol.com.cn/1773/1772537/review.shtml
1959983,None,None,None,None,None,None,None,None,None,9.4,续航出色、性价比高、性能好、摄像效果出色、外观漂亮、手感舒适、屏幕效果好,http://detail.zol.com.cn/1960/1959983/review.shtml
1772539,7.5,7.5,7.5,7.5,7.5,None,None,None,None,9.4,None,http://detail.zol.com.cn/1773/1772539/review.shtml
1948979,7.7,7.7,6.1,7.7,7.7,None,None,None,None,9.3,手感舒适、续航一般,http://detail.zol.com.cn/1949/1948979/review.shtml
1950436,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1951/1950436/review.shtml
1434230,7.5,8.5,8.1,7.5,7.8,None,None,None,None,9.9,性能好、价格合理、性价比高、续航出色、外观漂亮、游戏运行流畅、电池容量大、电池容量小,http://detail.zol.com.cn/1435/1434230/review.shtml
1966948,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1967/1966948/review.shtml
