id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
1971540,8.3,8.3,6.7,8.3,6.7,None,None,None,None,9.7,手感舒适、运行流畅、外观漂亮、续航一般,http://detail.zol.com.cn/1972/1971540/review.shtml
1986536,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1987/1986536/review.shtml
1508912,7.6,8.4,8.4,6.8,8.4,None,None,None,None,9.4,音乐播放效果出色、价格高,http://detail.zol.com.cn/1509/1508912/review.shtml
1971541,8.3,8.3,6.7,8.3,6.7,None,None,None,None,9.7,手感舒适、运行流畅、外观漂亮、续航一般,http://detail.zol.com.cn/1972/1971541/review.shtml
1432523,8.3,8.1,7.8,7.9,7.5,None,None,None,None,9.9,手感舒适、音质一般、屏幕质量一般,http://detail.zol.com.cn/1433/1432523/review.shtml
1508911,7.5,7.5,7.5,7.5,7.5,None,None,None,None,9.2,手感舒适、性能好,http://detail.zol.com.cn/1509/1508911/review.shtml
1968825,8.3,8.3,6.7,8.3,6.7,None,None,None,None,9.7,手感舒适、运行流畅、外观漂亮、续航一般,http://detail.zol.com.cn/1969/1968825/review.shtml
1962161,7.6,8.4,8.4,6.8,8.4,None,None,None,None,9.4,音乐播放效果出色、价格高,http://detail.zol.com.cn/1963/1962161/review.shtml
1962163,7.6,8.4,8.4,6.8,8.4,None,None,None,None,9.4,音乐播放效果出色、价格高,http://detail.zol.com.cn/1963/1962163/review.shtml
1464856,8.9,7.7,6.1,8.9,7.3,None,None,None,None,9.7,性价比高、网络信号差,http://detail.zol.com.cn/1465/1464856/review.shtml
1843311,7.5,7.5,7.5,7.5,7.5,None,None,None,None,9.2,手感舒适、性能好,http://detail.zol.com.cn/1844/1843311/review.shtml
1425511,7.8,9.8,8.5,8.5,6.9,None,None,None,None,9.9,性能好、手感舒适、屏幕效果好,http://detail.zol.com.cn/1426/1425511/review.shtml
1455440,8.3,8.1,7.8,7.9,7.5,None,None,None,None,9.9,手感舒适、音质一般、屏幕质量一般,http://detail.zol.com.cn/1456/1455440/review.shtml
1421651,9.5,9.6,9.4,9.3,8.5,None,None,None,None,9.9,摄像效果出色、续航一般,http://detail.zol.com.cn/1422/1421651/review.shtml
1403223,9.3,9.0,9.5,8.8,9.0,None,None,None,None,9.8,外观漂亮,http://detail.zol.com.cn/1404/1403223/review.shtml
1455441,8.3,8.1,7.8,7.9,7.5,None,None,None,None,9.9,手感舒适、音质一般、屏幕质量一般,http://detail.zol.com.cn/1456/1455441/review.shtml
1984451,8.3,8.3,6.7,8.3,6.7,None,None,None,None,9.7,手感舒适、运行流畅、外观漂亮、续航一般,http://detail.zol.com.cn/1985/1984451/review.shtml
1843310,7.5,7.5,7.5,7.5,7.5,None,None,None,None,9.2,手感舒适、性能好,http://detail.zol.com.cn/1844/1843310/review.shtml
1407981,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1408/1407981/review.shtml
1962162,7.6,8.4,8.4,6.8,8.4,None,None,None,None,9.4,音乐播放效果出色、价格高,http://detail.zol.com.cn/1963/1962162/review.shtml
1991862,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1992/1991862/review.shtml
1440089,7.8,9.8,8.5,8.5,6.9,None,None,None,None,9.9,性能好、手感舒适、屏幕效果好,http://detail.zol.com.cn/1441/1440089/review.shtml
1347003,6.4,9.5,6.4,6.4,6.4,None,None,None,None,8.1,外观漂亮、信号差,http://detail.zol.com.cn/1348/1347003/review.shtml
1337764,9.0,9.0,8.6,9.1,8.3,None,None,None,None,8.0,游戏运行流畅、性价比高、外观简约、手感舒适、外观漂亮、性能不错,http://detail.zol.com.cn/1338/1337764/review.shtml
1326868,8.5,9.5,6.7,9.0,8.1,None,None,None,None,8.2,手感舒适、屏幕效果好、外观漂亮、游戏性能低、价格高,http://detail.zol.com.cn/1327/1326868/review.shtml
1383992,2.9,9.6,4.5,3.5,3.5,None,None,None,None,9.8,None,http://detail.zol.com.cn/1384/1383992/review.shtml
1466780,8.9,7.7,6.1,8.9,7.3,None,None,None,None,9.7,性价比高、网络信号差,http://detail.zol.com.cn/1467/1466780/review.shtml
1409180,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1410/1409180/review.shtml
1307835,8.7,9.6,7.8,8.1,8.2,None,None,None,None,7.9,性能好、屏幕效果好、屏幕大、运行流畅、系统强悍、界面简约、手感舒适、续航一般、性价比差,http://detail.zol.com.cn/1308/1307835/review.shtml
1386418,9.4,9.0,9.6,9.8,9.6,None,None,None,None,7.3,屏幕效果好,http://detail.zol.com.cn/1387/1386418/review.shtml
1991861,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1992/1991861/review.shtml
1349981,9.0,9.0,7.8,9.1,8.2,None,None,None,None,8.2,游戏运行流畅、屏幕大、机身内存大、外观漂亮、视频流畅效果好、外观简约,http://detail.zol.com.cn/1350/1349981/review.shtml
1440090,7.8,9.8,8.5,8.5,6.9,None,None,None,None,9.9,性能好、手感舒适、屏幕效果好,http://detail.zol.com.cn/1441/1440090/review.shtml
1423922,9.5,9.6,9.4,9.3,8.5,None,None,None,None,9.9,摄像效果出色、续航一般,http://detail.zol.com.cn/1424/1423922/review.shtml
1404963,9.3,9.0,9.5,8.8,9.0,None,None,None,None,9.8,外观漂亮,http://detail.zol.com.cn/1405/1404963/review.shtml
1396416,2.9,9.6,4.5,3.5,3.5,None,None,None,None,9.8,None,http://detail.zol.com.cn/1397/1396416/review.shtml
1627271,8.9,7.7,6.1,8.9,7.3,None,None,None,None,9.7,性价比高、网络信号差,http://detail.zol.com.cn/1628/1627271/review.shtml
1423923,9.5,9.6,9.4,9.3,8.5,None,None,None,None,9.9,摄像效果出色、续航一般,http://detail.zol.com.cn/1424/1423923/review.shtml
1368416,9.0,9.0,7.8,9.1,8.2,None,None,None,None,8.2,游戏运行流畅、外观漂亮、视频流畅效果好、外观简约、屏幕大、机身内存大,http://detail.zol.com.cn/1369/1368416/review.shtml
1466779,8.9,7.7,6.1,8.9,7.3,None,None,None,None,9.7,性价比高、网络信号差,http://detail.zol.com.cn/1467/1466779/review.shtml
1425512,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1426/1425512/review.shtml
1364199,8.5,9.5,6.7,9.0,8.1,None,None,None,None,8.2,手感舒适、屏幕效果好、外观漂亮、游戏性能低、价格高,http://detail.zol.com.cn/1365/1364199/review.shtml
1343391,9.0,9.0,8.6,9.1,8.3,None,None,None,None,8.0,外观漂亮、性能不错、游戏运行流畅、性价比高、外观简约、手感舒适,http://detail.zol.com.cn/1344/1343391/review.shtml
1345833,9.0,9.0,8.6,9.1,8.3,None,None,None,None,8.0,外观漂亮、性能不错、游戏运行流畅、性价比高、外观简约、手感舒适,http://detail.zol.com.cn/1346/1345833/review.shtml
1508808,8.3,8.1,7.8,7.9,7.5,None,None,None,None,9.9,手感舒适、音质一般、屏幕质量一般,http://detail.zol.com.cn/1509/1508808/review.shtml
1319112,8.7,9.6,7.8,8.1,8.2,None,None,None,None,7.9,性能好、性价比高、屏幕效果好、屏幕大、运行流畅、系统强悍、界面简约、续航一般、性价比差,http://detail.zol.com.cn/1320/1319112/review.shtml
1409179,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1410/1409179/review.shtml
1364201,6.4,9.5,6.4,6.4,6.4,None,None,None,None,8.1,外观漂亮、信号差,http://detail.zol.com.cn/1365/1364201/review.shtml
1414643,6.3,6.3,6.3,6.3,7.9,None,None,None,None,7.5,None,http://detail.zol.com.cn/1415/1414643/review.shtml
1404961,9.3,9.0,9.5,8.8,9.0,None,None,None,None,9.8,外观漂亮,http://detail.zol.com.cn/1405/1404961/review.shtml
1798053,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1799/1798053/review.shtml
1486837,7.8,9.8,8.5,8.5,6.9,None,None,None,None,9.9,性能好、手感舒适、屏幕效果好,http://detail.zol.com.cn/1487/1486837/review.shtml
1367092,9.0,9.0,7.8,9.1,8.2,None,None,None,None,8.2,游戏运行流畅、外观漂亮、视频流畅效果好、外观简约、屏幕大、机身内存大,http://detail.zol.com.cn/1368/1367092/review.shtml
1391551,9.4,9.0,9.6,9.8,9.6,None,None,None,None,7.3,屏幕效果好,http://detail.zol.com.cn/1392/1391551/review.shtml
1735675,7.8,9.8,8.5,8.5,6.9,None,None,None,None,9.9,性能好、手感舒适、屏幕效果好,http://detail.zol.com.cn/1736/1735675/review.shtml
1404962,9.3,9.0,9.5,8.8,9.0,None,None,None,None,9.8,外观漂亮,http://detail.zol.com.cn/1405/1404962/review.shtml
1398837,2.9,9.6,4.5,3.5,3.5,None,None,None,None,9.8,None,http://detail.zol.com.cn/1399/1398837/review.shtml
1426913,9.5,9.6,9.4,9.3,8.5,None,None,None,None,9.9,摄像效果出色、续航一般,http://detail.zol.com.cn/1427/1426913/review.shtml
1344843,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1345/1344843/review.shtml
1423541,6.3,6.3,6.3,6.3,7.9,None,None,None,None,7.5,None,http://detail.zol.com.cn/1424/1423541/review.shtml
1364197,8.5,9.5,6.7,9.0,8.1,None,None,None,None,8.2,手感舒适、屏幕效果好、外观漂亮、游戏性能低、价格高,http://detail.zol.com.cn/1365/1364197/review.shtml
1321878,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1322/1321878/review.shtml
1391550,9.4,9.0,9.6,9.8,9.6,None,None,None,None,7.3,屏幕效果好,http://detail.zol.com.cn/1392/1391550/review.shtml
1379364,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1380/1379364/review.shtml
1377233,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1378/1377233/review.shtml
1344845,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1345/1344845/review.shtml
1396415,2.9,9.6,4.5,3.5,3.5,None,None,None,None,9.8,None,http://detail.zol.com.cn/1397/1396415/review.shtml
1427377,9.5,9.6,9.4,9.3,8.5,None,None,None,None,9.9,摄像效果出色、续航一般,http://detail.zol.com.cn/1428/1427377/review.shtml
1402520,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1403/1402520/review.shtml
1544386,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1545/1544386/review.shtml
