id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
1460949,5.4,7,7,7,7,None,None,None,None,6.3,None,http://detail.zol.com.cn/1461/1460949/review.shtml
1407799,7.8,7.8,7.8,7.8,7.8,None,None,None,None,9.7,屏幕大,http://detail.zol.com.cn/1408/1407799/review.shtml
1511687,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1512/1511687/review.shtml
1480300,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1481/1480300/review.shtml
1369495,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1370/1369495/review.shtml
1350200,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1351/1350200/review.shtml
1407800,7.8,7.8,7.8,7.8,7.8,None,None,None,None,9.7,屏幕大,http://detail.zol.com.cn/1408/1407800/review.shtml
1994836,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1995/1994836/review.shtml
1368590,None,None,None,None,None,None,None,None,None,7.0,电池容量小、价格高,http://detail.zol.com.cn/1369/1368590/review.shtml
1358222,9.0,9.3,9.2,9.3,9.2,None,None,None,None,8.0,性能不错、电池容量大、外观漂亮,http://detail.zol.com.cn/1359/1358222/review.shtml
1377113,8.3,8.3,6.7,7.5,7.5,None,None,None,None,8.9,机身轻薄、系统流畅、价格合理、系统不足、机身内存小、摄像效果一般、续航一般、手感一般,http://detail.zol.com.cn/1378/1377113/review.shtml
1406889,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1407/1406889/review.shtml
1424707,7.8,7.8,7.8,7.8,7.8,None,None,None,None,9.8,续航出色、分辨率低,http://detail.zol.com.cn/1425/1424707/review.shtml
1837859,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1838/1837859/review.shtml
1315093,None,None,None,None,None,None,None,None,None,8.2,外观漂亮、机身轻薄,http://detail.zol.com.cn/1316/1315093/review.shtml
1428711,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1429/1428711/review.shtml
1416931,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1417/1416931/review.shtml
1315994,None,None,None,None,None,None,None,None,None,8.2,外观漂亮、机身轻薄,http://detail.zol.com.cn/1316/1315994/review.shtml
1364980,8.4,7.9,9.1,8.3,8.0,None,None,None,None,6.6,None,http://detail.zol.com.cn/1365/1364980/review.shtml
1406277,7.8,7.8,7.8,7.8,7.8,None,None,None,None,9.7,屏幕大,http://detail.zol.com.cn/1407/1406277/review.shtml
1366277,8.8,9.2,9.7,9.9,9.9,None,None,None,None,8.2,性价比高、外观漂亮,http://detail.zol.com.cn/1367/1366277/review.shtml
1838286,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1839/1838286/review.shtml
1424708,7.8,7.8,7.8,7.8,7.8,None,None,None,None,9.8,续航出色、分辨率低,http://detail.zol.com.cn/1425/1424708/review.shtml
1405451,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1406/1405451/review.shtml
1775422,5.4,7,7,7,7,None,None,None,None,6.3,None,http://detail.zol.com.cn/1776/1775422/review.shtml
1430949,None,None,None,None,None,None,None,None,None,8.0,电池容量小,http://detail.zol.com.cn/1431/1430949/review.shtml
1362813,8.4,8.7,8.2,8.2,8.2,None,None,None,None,7.3,None,http://detail.zol.com.cn/1363/1362813/review.shtml
1405873,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1406/1405873/review.shtml
1335201,9.0,8.5,6.2,9.0,8.9,None,None,None,None,8.0,外观漂亮、视频流畅效果好、电池容量小,http://detail.zol.com.cn/1336/1335201/review.shtml
1325161,None,None,None,None,None,None,None,None,None,9.7,信号好,http://detail.zol.com.cn/1326/1325161/review.shtml
1465646,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1466/1465646/review.shtml
1409013,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1410/1409013/review.shtml
1405468,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1406/1405468/review.shtml
1430951,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1431/1430951/review.shtml
1372586,5,5,10,9.8,6.6,None,None,None,None,7.1,None,http://detail.zol.com.cn/1373/1372586/review.shtml
1363367,8.4,8.5,8.6,8.0,8.0,None,None,None,None,7.7,机身轻薄、电池容量大、性能差,http://detail.zol.com.cn/1364/1363367/review.shtml
1297045,6.3,7.9,7.9,7.9,3.1,None,None,None,None,8.5,性能不错、电池容量大、系统强悍、外观漂亮、分辨率低,http://detail.zol.com.cn/1298/1297045/review.shtml
1480303,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1481/1480303/review.shtml
1405833,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1406/1405833/review.shtml
1433245,7.8,7.8,7.8,7.8,7.8,None,None,None,None,9.7,屏幕大,http://detail.zol.com.cn/1434/1433245/review.shtml
1409014,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1410/1409014/review.shtml
1407805,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1408/1407805/review.shtml
1405471,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1406/1405471/review.shtml
1380253,8.3,8.3,6.7,7.5,7.5,None,None,None,None,8.9,机身轻薄、系统流畅、价格合理、机身内存小、摄像效果一般、续航一般、手感一般、系统不足,http://detail.zol.com.cn/1381/1380253/review.shtml
1325827,None,None,None,None,None,None,None,None,None,9.7,信号好,http://detail.zol.com.cn/1326/1325827/review.shtml
1553919,None,None,None,None,None,None,None,None,None,8.0,电池容量小,http://detail.zol.com.cn/1554/1553919/review.shtml
1367137,9.0,9.3,9.2,9.3,9.2,None,None,None,None,8.0,性能不错、电池容量大、外观漂亮,http://detail.zol.com.cn/1368/1367137/review.shtml
1465647,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1466/1465647/review.shtml
1430947,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1431/1430947/review.shtml
1375865,9.0,9.3,9.2,9.3,9.2,None,None,None,None,8.0,外观漂亮、性能不错、电池容量大,http://detail.zol.com.cn/1376/1375865/review.shtml
1367139,8.8,9.2,9.7,9.9,9.9,None,None,None,None,8.2,性价比高、外观漂亮,http://detail.zol.com.cn/1368/1367139/review.shtml
1364999,8.4,8.5,8.6,8.0,8.0,None,None,None,None,7.7,机身轻薄、电池容量大、性能差,http://detail.zol.com.cn/1365/1364999/review.shtml
1349979,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1350/1349979/review.shtml
1465668,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1466/1465668/review.shtml
1407806,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1408/1407806/review.shtml
1325828,None,None,None,None,None,None,None,None,None,9.7,信号好,http://detail.zol.com.cn/1326/1325828/review.shtml
1367138,8.8,9.2,9.7,9.9,9.9,None,None,None,None,8.2,性价比高、外观漂亮,http://detail.zol.com.cn/1368/1367138/review.shtml
1433446,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1434/1433446/review.shtml
1367136,9.0,9.3,9.2,9.3,9.2,None,None,None,None,8.0,性能不错、电池容量大、外观漂亮,http://detail.zol.com.cn/1368/1367136/review.shtml
1348579,9.0,8.5,6.2,9.0,8.9,None,None,None,None,8.0,外观漂亮、视频流畅效果好、电池容量小,http://detail.zol.com.cn/1349/1348579/review.shtml
1295303,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1296/1295303/review.shtml
1407801,7.8,7.8,7.8,7.8,7.8,None,None,None,None,9.7,屏幕大,http://detail.zol.com.cn/1408/1407801/review.shtml
1402173,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1403/1402173/review.shtml
1295990,6.2,4.6,9.4,7.8,6.2,None,None,None,None,8.4,续航出色、价格高、游戏性能低,http://detail.zol.com.cn/1296/1295990/review.shtml
1380252,8.3,8.3,6.7,7.5,7.5,None,None,None,None,8.9,机身轻薄、系统流畅、价格合理、系统不足、机身内存小、摄像效果一般、续航一般、手感一般,http://detail.zol.com.cn/1381/1380252/review.shtml
1350221,8.2,8.2,6.6,5,5,None,None,None,None,8.3,续航出色、性价比高,http://detail.zol.com.cn/1351/1350221/review.shtml
1395007,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1396/1395007/review.shtml
1429145,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1430/1429145/review.shtml
1394934,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1395/1394934/review.shtml
1342563,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1343/1342563/review.shtml
1380251,8.3,8.3,6.7,7.5,7.5,None,None,None,None,8.9,机身轻薄、系统流畅、价格合理、系统不足、机身内存小、摄像效果一般、续航一般、手感一般,http://detail.zol.com.cn/1381/1380251/review.shtml
1348897,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1349/1348897/review.shtml
1350195,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1351/1350195/review.shtml
