id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
1167364,4.7,4.6,3,5.3,4.7,None,None,None,None,5.7,外观漂亮、手感舒适、价格便宜、运行流畅、性价比高、屏幕大、系统流畅、电池容量小、续航一般、电池表现差、网络体验差、性能差、价格高,http://detail.zol.com.cn/1168/1167364/review.shtml
1167931,8.1,9.5,7.7,7.1,7.1,None,None,None,None,7.2,性价比高、外观漂亮、续航出色、运行流畅、电池容量大、屏幕效果好、手感舒适、系统不足、续航一般、信号差、屏幕质量一般、屏幕尺寸小、成像效果差,http://detail.zol.com.cn/1168/1167931/review.shtml
1166827,8.1,9.5,7.7,7.1,7.1,None,None,None,None,7.2,性价比高、外观漂亮、续航出色、运行流畅、电池容量大、屏幕效果好、手感舒适、系统不足、续航一般、信号差、屏幕质量一般、屏幕尺寸小、外观不是很满意,http://detail.zol.com.cn/1167/1166827/review.shtml
1167004,4.9,4.6,5.3,5.3,5.2,None,None,None,None,5.5,手感舒适、性价比高、系统流畅、系统强悍、摄像效果出色、电池表现差、性价比不高、系统不足、运行速度慢、外观不是很满意、屏幕尺寸小,http://detail.zol.com.cn/1168/1167004/review.shtml
1168869,4.9,4.6,5.3,5.3,5.2,None,None,None,None,5.5,手感舒适、性价比高、系统流畅、系统强悍、摄像效果出色、电池表现差、性价比不高、系统不足、运行速度慢、外观不是很满意、屏幕尺寸小,http://detail.zol.com.cn/1169/1168869/review.shtml
1138147,7.0,4.0,5.4,6.9,5.8,None,None,None,None,6.1,外观漂亮、性价比高、运行流畅、屏幕大、价格便宜、手感舒适、屏幕效果好、续航一般、信号差、屏幕质量一般、电池表现差、运行速度慢、系统不足,http://detail.zol.com.cn/1139/1138147/review.shtml
1440444,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1441/1440444/review.shtml
1437168,9,8.2,8.2,8.2,6.6,None,None,None,None,10.0,性价比高,http://detail.zol.com.cn/1438/1437168/review.shtml
1389756,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1390/1389756/review.shtml
1411868,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1412/1411868/review.shtml
1437170,9,8.2,8.2,8.2,6.6,None,None,None,None,10.0,性价比高,http://detail.zol.com.cn/1438/1437170/review.shtml
1419762,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1420/1419762/review.shtml
1437169,9,8.2,8.2,8.2,6.6,None,None,None,None,10.0,性价比高,http://detail.zol.com.cn/1438/1437169/review.shtml
1419764,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1420/1419764/review.shtml
1411870,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1412/1411870/review.shtml
1419763,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1420/1419763/review.shtml
1411869,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1412/1411869/review.shtml
1144479,6.4,5.4,6.0,7.4,6.4,None,None,None,None,6.5,外观漂亮、运行流畅、性价比高、屏幕效果好、屏幕大、手感舒适、机身内存大、续航一般、信号差、电池表现差、系统不足、电池容量小、屏幕质量一般,http://detail.zol.com.cn/1145/1144479/review.shtml
1100796,5.1,5,4,5.3,5.1,None,None,None,None,6.2,外观漂亮、性价比高、价格便宜、运行流畅、屏幕大、拍照清晰、机身内存大、续航一般、信号差、发热量大温度高、性能差、电池容量小、成像效果差,http://detail.zol.com.cn/1101/1100796/review.shtml
1101126,5,5.6,4.3,5.5,5.5,None,None,None,None,6.5,外观漂亮、性价比高、运行流畅、屏幕大、屏幕效果好、机身内存大、价格便宜、续航一般、信号差、屏幕质量一般、电池容量小、外观不是很满意、电池表现差,http://detail.zol.com.cn/1102/1101126/review.shtml
1100000,7.4,6.0,6.9,7.8,7.8,None,None,None,None,7.8,屏幕大、外观漂亮、分辨率高、价格便宜、电池容量大、性价比高、运行流畅、价格高、电池容量小、续航一般、信号差、屏幕质量一般、摄像效果一般,http://detail.zol.com.cn/1100/1100000/review.shtml
1100002,7.4,6.0,6.9,7.8,7.8,None,None,None,None,7.8,屏幕大、外观漂亮、分辨率高、价格便宜、电池容量大、性价比高、运行流畅、价格高、电池容量小、续航一般、信号差、屏幕质量一般、摄像效果一般,http://detail.zol.com.cn/1101/1100002/review.shtml
1148152,6.4,5.4,6.0,7.4,6.4,None,None,None,None,6.5,外观漂亮、运行流畅、性价比高、屏幕效果好、屏幕大、手感舒适、机身内存大、续航一般、信号差、电池表现差、系统不足、电池容量小、屏幕质量一般,http://detail.zol.com.cn/1149/1148152/review.shtml
1099081,7.4,8.0,6.6,6.8,7.7,None,None,None,None,7.1,屏幕效果好、屏幕大、性价比高、运行流畅、外观漂亮、价格便宜、拍照清晰、续航一般、信号差、电池容量小、系统不足、运行速度慢、音质一般,http://detail.zol.com.cn/1100/1099081/review.shtml
399590,7.4,6.0,6.9,7.8,7.8,None,None,None,None,7.8,屏幕大、外观漂亮、分辨率高、价格便宜、电池容量大、性价比高、运行流畅、价格高、电池容量小、续航一般、信号差、屏幕质量一般、摄像效果一般,http://detail.zol.com.cn/400/399590/review.shtml
399595,7.5,6.5,6.0,6.8,7.1,None,None,None,None,7.1,外观漂亮、性价比高、价格便宜、屏幕大、屏幕效果好、硬件配置强悍、系统强悍、价格高、续航一般、信号差、电池容量小、屏幕质量一般、系统不足,http://detail.zol.com.cn/400/399595/review.shtml
1100714,7.0,4.0,5.4,6.9,5.8,None,None,None,None,6.1,外观漂亮、性价比高、运行流畅、屏幕大、手感舒适、价格便宜、屏幕效果好、续航一般、信号差、屏幕质量一般、电池表现差、运行速度慢、系统不足,http://detail.zol.com.cn/1101/1100714/review.shtml
