id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
1994508,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1995/1994508/review.shtml
1968330,6.4,6.4,8,4.8,6.4,None,None,None,None,9.0,None,http://detail.zol.com.cn/1969/1968330/review.shtml
1994763,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1995/1994763/review.shtml
1960082,6.4,6.4,8,4.8,6.4,None,None,None,None,9.0,None,http://detail.zol.com.cn/1961/1960082/review.shtml
1993841,6.4,6.4,8,4.8,6.4,None,None,None,None,9.0,None,http://detail.zol.com.cn/1994/1993841/review.shtml
1948879,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1949/1948879/review.shtml
1957898,8,8,8,8,8,None,None,None,None,10.0,None,http://detail.zol.com.cn/1958/1957898/review.shtml
1813623,None,None,None,None,None,None,None,None,None,8.7,续航一般,http://detail.zol.com.cn/1814/1813623/review.shtml
1464807,7.6,8,8,5.2,7.2,None,None,None,None,9.0,屏幕效果好、游戏运行流畅、续航出色、摄像效果一般、手感一般、信号差,http://detail.zol.com.cn/1465/1464807/review.shtml
1433617,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1434/1433617/review.shtml
1957887,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1958/1957887/review.shtml
1383770,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1384/1383770/review.shtml
1968328,6.4,6.4,8,4.8,6.4,None,None,None,None,9.0,None,http://detail.zol.com.cn/1969/1968328/review.shtml
1968329,6.4,6.4,8,4.8,6.4,None,None,None,None,9.0,None,http://detail.zol.com.cn/1969/1968329/review.shtml
1438707,8,8,8,8,8,None,None,None,None,9.9,None,http://detail.zol.com.cn/1439/1438707/review.shtml
1994762,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1995/1994762/review.shtml
1957896,8,8,8,8,8,None,None,None,None,10.0,None,http://detail.zol.com.cn/1958/1957896/review.shtml
1411890,9.1,9.1,7.5,5.9,7.5,None,None,None,None,9.8,None,http://detail.zol.com.cn/1412/1411890/review.shtml
1433615,8,8,8,8,8,None,None,None,None,9.9,None,http://detail.zol.com.cn/1434/1433615/review.shtml
1417622,7.6,8.4,7.6,7.6,7.6,None,None,None,None,9.8,价格便宜、运行流畅、机身内存大、手感舒适、性价比高、电池容量小,http://detail.zol.com.cn/1418/1417622/review.shtml
1922435,None,None,None,None,None,None,None,None,None,8.7,续航一般,http://detail.zol.com.cn/1923/1922435/review.shtml
1361251,8.8,9.2,8.9,8.6,8.2,None,None,None,None,8.0,音色音质好、相机像素低,http://detail.zol.com.cn/1362/1361251/review.shtml
1629057,7.6,8,8,5.2,7.2,None,None,None,None,9.0,屏幕效果好、游戏运行流畅、续航出色、摄像效果一般、手感一般、信号差,http://detail.zol.com.cn/1630/1629057/review.shtml
1994765,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1995/1994765/review.shtml
