id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
1986304,7.4,7.4,7.4,7.4,7.4,None,None,None,None,9.2,性能不错,http://detail.zol.com.cn/1987/1986304/review.shtml
1427336,5.4,5.4,8.1,8.6,9.1,None,None,None,None,9.8,手感舒适、性能差,http://detail.zol.com.cn/1428/1427336/review.shtml
1427338,9.4,9.5,9.7,9.4,9.4,None,None,None,None,9.9,运行流畅、外观漂亮、信号好、续航出色、性能不错、价格便宜、手感舒适、价格高、夜景效果差,http://detail.zol.com.cn/1428/1427338/review.shtml
1355562,7.1,7.1,8.1,7.1,8.1,None,None,None,None,9.1,手感舒适,http://detail.zol.com.cn/1356/1355562/review.shtml
1955909,7.3,5.7,7.3,7.3,7.3,None,None,None,None,7.1,屏幕大、外观漂亮,http://detail.zol.com.cn/1956/1955909/review.shtml
1355563,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1356/1355563/review.shtml
1857454,9.4,9.5,9.7,9.4,9.4,None,None,None,None,9.9,运行流畅、外观漂亮、信号好、续航出色、性能不错、屏幕效果好、信号强、夜景效果差、价格高,http://detail.zol.com.cn/1858/1857454/review.shtml
1972397,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1973/1972397/review.shtml
1969404,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1970/1969404/review.shtml
1857626,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1858/1857626/review.shtml
1972399,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1973/1972399/review.shtml
1505460,6.7,5.1,8.8,7.2,6.1,None,None,None,None,8.2,机身内存大、价格实惠、性能差,http://detail.zol.com.cn/1506/1505460/review.shtml
1951375,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1952/1951375/review.shtml
1337287,8.5,9.0,8.3,8.4,8.6,None,None,None,None,9.2,续航出色、屏幕效果好、电池容量大、系统不足,http://detail.zol.com.cn/1338/1337287/review.shtml
1857506,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1858/1857506/review.shtml
1494687,3.2,2.4,4,6.4,2.4,None,None,None,None,4.6,性价比高,http://detail.zol.com.cn/1495/1494687/review.shtml
1960083,None,None,None,None,None,None,None,None,None,8.1,续航出色,http://detail.zol.com.cn/1961/1960083/review.shtml
1315874,9.0,9.0,8.4,9.5,9.2,None,None,None,None,9.1,电池出色、信号好、续航出色、运行流畅、耳机音质好、手感舒适、电池容量大、价格高、性价比不高,http://detail.zol.com.cn/1316/1315874/review.shtml
1999701,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/2000/1999701/review.shtml
1238183,8.3,9.5,8.0,8.6,8.9,None,None,None,None,8.7,续航出色、屏幕效果好、运行流畅、系统流畅、信号好、处理器不错、屏幕大、功能一般,http://detail.zol.com.cn/1239/1238183/review.shtml
1999706,7.4,7.4,7.4,7.4,7.4,None,None,None,None,9.2,性能不错,http://detail.zol.com.cn/2000/1999706/review.shtml
1349392,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1350/1349392/review.shtml
1403269,7.5,7.5,9.9,6.7,7.5,None,None,None,None,9.8,屏幕效果好,http://detail.zol.com.cn/1404/1403269/review.shtml
1316633,6.6,9.0,8.4,4.1,8.5,None,None,None,None,8.8,续航一般、价格高,http://detail.zol.com.cn/1317/1316633/review.shtml
1478247,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1479/1478247/review.shtml
1330794,7.0,9.1,7.2,7.1,6.8,None,None,None,None,9.6,外观漂亮、发热量大温度高,http://detail.zol.com.cn/1331/1330794/review.shtml
1938973,3.2,2.4,4,6.4,2.4,None,None,None,None,4.6,性价比高,http://detail.zol.com.cn/1939/1938973/review.shtml
1478245,7.1,7.1,8.1,7.1,8.1,None,None,None,None,9.1,手感舒适,http://detail.zol.com.cn/1479/1478245/review.shtml
1916080,5.6,8.4,8.4,8.4,8.4,None,None,None,None,9.7,外观漂亮、价格高,http://detail.zol.com.cn/1917/1916080/review.shtml
1999703,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/2000/1999703/review.shtml
1999707,7.4,7.4,7.4,7.4,7.4,None,None,None,None,9.2,性能不错,http://detail.zol.com.cn/2000/1999707/review.shtml
1982887,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1983/1982887/review.shtml
1337289,8.2,9.0,7.5,7.2,8.0,None,None,None,None,8.8,外观不是很满意,http://detail.zol.com.cn/1338/1337289/review.shtml
1383255,5.8,8.2,8.2,8.2,8.2,None,None,None,None,9.7,外观漂亮、游戏运行流畅、信号差,http://detail.zol.com.cn/1384/1383255/review.shtml
1857630,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1858/1857630/review.shtml
1412537,9.2,8.8,9.5,9.0,8.0,None,None,None,None,9.8,None,http://detail.zol.com.cn/1413/1412537/review.shtml
1999708,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/2000/1999708/review.shtml
1370020,7.3,8.0,7.6,7.1,6.9,None,None,None,None,9.5,None,http://detail.zol.com.cn/1371/1370020/review.shtml
1290790,7.7,8,7.5,8.5,6.9,None,None,None,None,9.3,外观漂亮、视频流畅效果好、屏幕效果好、续航一般、电池表现差,http://detail.zol.com.cn/1291/1290790/review.shtml
1972398,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1973/1972398/review.shtml
1326272,8.3,8.9,8.2,9.2,8.5,None,None,None,None,9.2,摄像效果出色、外观漂亮、屏幕效果好,http://detail.zol.com.cn/1327/1326272/review.shtml
1969407,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1970/1969407/review.shtml
1265181,8.2,9.0,8.0,7.7,8.8,None,None,None,None,9.1,性能好、外观漂亮、手感舒适、运行流畅、电池容量大、分辨率高、屏幕大、续航一般、价格高、系统不足、屏幕质量一般、外观不是很满意、分辨率低,http://detail.zol.com.cn/1266/1265181/review.shtml
1494683,5.8,5.8,7.4,8.2,8.2,None,None,None,None,8.8,屏幕大小适中、续航出色,http://detail.zol.com.cn/1495/1494683/review.shtml
1344163,7.7,7.5,7.5,7.9,7.9,None,None,None,None,9.7,运行流畅、续航一般、机身内存小,http://detail.zol.com.cn/1345/1344163/review.shtml
1981924,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1982/1981924/review.shtml
1857460,5.4,5.4,8.1,8.6,9.1,None,None,None,None,9.8,手感舒适、性能差,http://detail.zol.com.cn/1858/1857460/review.shtml
1315404,8.4,9.5,9.5,8.7,7.2,None,None,None,None,8.9,外观漂亮、续航出色、成像效果差,http://detail.zol.com.cn/1316/1315404/review.shtml
1291831,8.5,9.0,7.6,8.9,9.1,None,None,None,None,9.0,价格便宜、电池容量小、价格高,http://detail.zol.com.cn/1292/1291831/review.shtml
1427347,5.6,8.4,8.4,8.4,8.4,None,None,None,None,9.7,外观漂亮、价格高,http://detail.zol.com.cn/1428/1427347/review.shtml
1349131,7.5,9.0,6.9,8.0,7.9,None,None,None,None,9.0,续航出色、相机像素高、系统流畅、价格高、性价比低、性能差、摄像效果一般、屏幕质量一般、外观不是很满意,http://detail.zol.com.cn/1350/1349131/review.shtml
1857455,9.4,9.5,9.7,9.4,9.4,None,None,None,None,9.9,运行流畅、外观漂亮、信号好、续航出色、性能不错、价格便宜、手感舒适、夜景效果差、价格高,http://detail.zol.com.cn/1858/1857455/review.shtml
1344847,7,6.8,8.6,8,8.6,None,None,None,None,9.5,手感舒适、外观漂亮、摄像效果一般、系统不足、性价比低,http://detail.zol.com.cn/1345/1344847/review.shtml
1969406,7.3,5.7,7.3,7.3,7.3,None,None,None,None,7.1,屏幕大、外观漂亮,http://detail.zol.com.cn/1970/1969406/review.shtml
1982886,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1983/1982886/review.shtml
1467267,5.6,5.6,7.2,5.6,5.6,None,None,None,None,7.4,None,http://detail.zol.com.cn/1468/1467267/review.shtml
