id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
1830124,8,6.4,8,8,8,None,None,None,None,9.6,None,http://detail.zol.com.cn/1831/1830124/review.shtml
1422109,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1423/1422109/review.shtml
1382908,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1383/1382908/review.shtml
1382924,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1383/1382924/review.shtml
1310029,9.1,6.7,7.5,8.3,6.7,None,None,None,None,7.4,性价比高、扬声器音量大,http://detail.zol.com.cn/1311/1310029/review.shtml
1310024,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1311/1310024/review.shtml
1282784,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1283/1282784/review.shtml
1282790,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1283/1282790/review.shtml
1282788,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1283/1282788/review.shtml
1353311,6,4.4,6,7.6,2.8,None,None,None,None,7.1,性价比低,http://detail.zol.com.cn/1354/1353311/review.shtml
1282786,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1283/1282786/review.shtml
