id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
1814425,7,8.1,7,8.1,7.6,None,None,None,None,9.6,手感舒适、系统不足、价格高,http://detail.zol.com.cn/1815/1814425/review.shtml
1441059,9.2,9.2,6,7.6,6,None,None,None,None,8.9,音色音质好、屏幕一般,http://detail.zol.com.cn/1442/1441059/review.shtml
1427190,7.3,7.3,7.8,8.3,8.3,None,None,None,None,9.8,性价比高、运行流畅、外观漂亮、续航一般,http://detail.zol.com.cn/1428/1427190/review.shtml
1990780,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1991/1990780/review.shtml
1441061,7.1,7.1,7.1,7.1,7.1,None,None,None,None,9.1,处理器不错、性能好、性价比高、屏幕效果好、发热量大温度高,http://detail.zol.com.cn/1442/1441061/review.shtml
1935690,9.2,9.2,6,7.6,6,None,None,None,None,8.9,音色音质好、屏幕一般,http://detail.zol.com.cn/1936/1935690/review.shtml
1982925,7,8.1,7,8.1,7.6,None,None,None,None,9.6,手感舒适、系统不足、价格高,http://detail.zol.com.cn/1983/1982925/review.shtml
1429270,7.9,7.9,7.9,7.9,7.9,None,None,None,None,9.9,功能一般,http://detail.zol.com.cn/1430/1429270/review.shtml
1935691,7.1,7.1,7.1,7.1,7.1,None,None,None,None,9.1,性能好、性价比高、屏幕效果好、处理器不错、发热量大温度高,http://detail.zol.com.cn/1936/1935691/review.shtml
1935689,9.2,9.2,6,7.6,6,None,None,None,None,8.9,音色音质好、屏幕一般,http://detail.zol.com.cn/1936/1935689/review.shtml
1935688,9.2,9.2,6,7.6,6,None,None,None,None,8.9,音色音质好、屏幕一般,http://detail.zol.com.cn/1936/1935688/review.shtml
1411903,8.1,8.6,8.1,7,7,None,None,None,None,9.8,屏幕效果好、性能差,http://detail.zol.com.cn/1412/1411903/review.shtml
1362006,8.1,7.9,7.3,7.9,7.6,None,None,None,None,8.4,性价比高、价格合理、温度控制满意、成像效果好、音质一般、续航一般、电池容量小、信号差,http://detail.zol.com.cn/1363/1362006/review.shtml
1935692,7.1,7.1,7.1,7.1,7.1,None,None,None,None,9.1,性价比高、屏幕效果好、处理器不错、性能好、发热量大温度高,http://detail.zol.com.cn/1936/1935692/review.shtml
1342500,8.7,9.2,7.6,8.4,7.5,None,None,None,None,8.8,性能不错、性价比高、手感舒适、续航一般、功耗大、手感一般、摄像效果一般、屏幕一般、游戏性能低,http://detail.zol.com.cn/1343/1342500/review.shtml
1460919,7.1,7.1,6.3,7.1,7.1,None,None,None,None,8.6,None,http://detail.zol.com.cn/1461/1460919/review.shtml
1359446,6.8,8.6,7,7.9,8.6,None,None,None,None,8.5,屏幕显示出色、性能好、系统流畅、手感舒适、屏幕效果好、外观漂亮、游戏性能低,http://detail.zol.com.cn/1360/1359446/review.shtml
