id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
1958431,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1959/1958431/review.shtml
1353472,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1354/1353472/review.shtml
1353448,7.3,7.3,7.3,5.7,7.3,None,None,None,None,8.7,None,http://detail.zol.com.cn/1354/1353448/review.shtml
1353480,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1354/1353480/review.shtml
1353466,7.3,7.3,7.3,5.7,7.3,None,None,None,None,8.7,None,http://detail.zol.com.cn/1354/1353466/review.shtml
1958433,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1959/1958433/review.shtml
1951283,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1952/1951283/review.shtml
1353426,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1354/1353426/review.shtml
1958426,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1959/1958426/review.shtml
1950860,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1951/1950860/review.shtml
1353484,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1354/1353484/review.shtml
1353422,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1354/1353422/review.shtml
1353420,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1354/1353420/review.shtml
1958427,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1959/1958427/review.shtml
1958405,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1959/1958405/review.shtml
1951282,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1952/1951282/review.shtml
1958407,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1959/1958407/review.shtml
1951287,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1952/1951287/review.shtml
1951286,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1952/1951286/review.shtml
1950845,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1951/1950845/review.shtml
1353468,7.3,7.3,7.3,5.7,7.3,None,None,None,None,8.7,None,http://detail.zol.com.cn/1354/1353468/review.shtml
1958432,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1959/1958432/review.shtml
1958428,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1959/1958428/review.shtml
1955974,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1956/1955974/review.shtml
1958430,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1959/1958430/review.shtml
1958406,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1959/1958406/review.shtml
1955975,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1956/1955975/review.shtml
1950858,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1951/1950858/review.shtml
1958429,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1959/1958429/review.shtml
1951288,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1952/1951288/review.shtml
1950859,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1951/1950859/review.shtml
1950858,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1951/1950858/review.shtml
1259514,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1260/1259514/review.shtml
1259529,8.4,6.8,6.8,8.4,8.4,None,None,None,None,9.7,外观漂亮、性价比高,http://detail.zol.com.cn/1260/1259529/review.shtml
1259535,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1260/1259535/review.shtml
394633,5.8,5.5,3.9,6.5,6.9,None,None,None,None,7.1,运行流畅、机身内存大、音色音质好、外观漂亮、性价比高、机身轻薄、屏幕效果好、续航一般、电池表现差、运行内存小、机身内存小,http://detail.zol.com.cn/395/394633/review.shtml
1140187,6.5,2.0,6.7,7.4,7.2,None,None,None,None,7.0,外观漂亮、分辨率高、性价比高、屏幕大、硬件配置强悍、分辨率低、价格高,http://detail.zol.com.cn/1141/1140187/review.shtml
1140198,4.8,4.8,4,4,4,None,None,None,None,5.4,价格便宜,http://detail.zol.com.cn/1141/1140198/review.shtml
1140959,5.6,2.4,3.2,4,2.4,None,None,None,None,4.5,价格便宜、运行流畅、性价比高、续航一般、音质一般,http://detail.zol.com.cn/1141/1140959/review.shtml
1140969,5.4,6.7,4.1,7,5.7,None,None,None,None,7.3,外观漂亮、手感舒适、性价比高、音色音质好、价格合理、续航一般、运行内存小,http://detail.zol.com.cn/1141/1140969/review.shtml
1353431,6.6,6.6,8.2,8.2,8.2,None,None,None,None,6.8,None,http://detail.zol.com.cn/1354/1353431/review.shtml
1297322,8,6.4,6.4,8,6.4,None,None,None,None,6.2,续航一般,http://detail.zol.com.cn/1298/1297322/review.shtml
1338580,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1339/1338580/review.shtml
1297321,7.3,5.7,6.5,7.3,4.9,None,None,None,None,7.9,机身内存大、网速慢,http://detail.zol.com.cn/1298/1297321/review.shtml
1353414,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1354/1353414/review.shtml
