id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
1296891,8.8,8.6,9.7,8.9,8.2,None,None,None,None,7.7,电池容量大,http://detail.zol.com.cn/1297/1296891/review.shtml
1325402,7.1,7.1,7.1,10,7.1,None,None,None,None,7.7,None,http://detail.zol.com.cn/1326/1325402/review.shtml
1407676,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1408/1407676/review.shtml
1353088,6.6,7.5,6.9,8.3,6.3,None,None,None,None,8.0,None,http://detail.zol.com.cn/1354/1353088/review.shtml
1353068,6.6,7.5,6.9,8.3,6.3,None,None,None,None,8.0,None,http://detail.zol.com.cn/1354/1353068/review.shtml
1297530,8.9,8.8,9.4,9.1,8.6,None,None,None,None,7.7,None,http://detail.zol.com.cn/1298/1297530/review.shtml
1325424,7.1,7.1,7.1,10,7.1,None,None,None,None,7.7,None,http://detail.zol.com.cn/1326/1325424/review.shtml
1281708,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1282/1281708/review.shtml
1320758,6.5,6.5,6.5,8.1,6.5,None,None,None,None,8.5,None,http://detail.zol.com.cn/1321/1320758/review.shtml
1297716,8.8,8.6,9.7,8.9,8.2,None,None,None,None,7.7,电池容量大,http://detail.zol.com.cn/1298/1297716/review.shtml
1394198,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1395/1394198/review.shtml
1297727,8.9,8.8,9.4,9.1,8.6,None,None,None,None,7.7,None,http://detail.zol.com.cn/1298/1297727/review.shtml
1266213,8.3,8.1,8.4,8.3,8.7,None,None,None,None,8.6,None,http://detail.zol.com.cn/1267/1266213/review.shtml
1325433,7.1,7.1,7.1,10,7.1,None,None,None,None,7.7,None,http://detail.zol.com.cn/1326/1325433/review.shtml
1287049,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1288/1287049/review.shtml
1287054,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1288/1287054/review.shtml
1287051,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1288/1287051/review.shtml
1408329,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1409/1408329/review.shtml
1325471,7.1,7.1,7.1,10,7.1,None,None,None,None,7.7,None,http://detail.zol.com.cn/1326/1325471/review.shtml
185745,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/186/185745/review.shtml
1258342,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1259/1258342/review.shtml
1221161,3.8,4.6,3,4.6,3.8,None,None,None,None,5.1,外观圆润、手感舒适、价格高,http://detail.zol.com.cn/1222/1221161/review.shtml
1253463,None,None,None,None,None,None,None,None,None,8.0,价格高,http://detail.zol.com.cn/1254/1253463/review.shtml
58512,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/59/58512/review.shtml
359824,None,None,None,None,None,None,None,None,None,7.3,性价比高,http://detail.zol.com.cn/360/359824/review.shtml
268924,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/269/268924/review.shtml
208736,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/209/208736/review.shtml
208774,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/209/208774/review.shtml
208866,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/209/208866/review.shtml
58096,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/59/58096/review.shtml
268800,None,None,None,None,None,None,None,None,None,6.0,续航一般,http://detail.zol.com.cn/269/268800/review.shtml
212010,None,None,None,None,None,None,None,None,None,6.0,系统流畅、价格便宜,http://detail.zol.com.cn/213/212010/review.shtml
1177831,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1178/1177831/review.shtml
1177832,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1178/1177832/review.shtml
1207303,3.2,2.4,3.2,6.4,4,None,None,None,None,4.8,处理器性能一般,http://detail.zol.com.cn/1208/1207303/review.shtml
250261,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/251/250261/review.shtml
250276,None,None,None,None,None,None,None,None,None,7.3,屏幕效果好、屏幕尺寸小,http://detail.zol.com.cn/251/250276/review.shtml
188704,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/189/188704/review.shtml
188706,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/189/188706/review.shtml
214866,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/215/214866/review.shtml
66082,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/67/66082/review.shtml
305694,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/306/305694/review.shtml
335876,None,None,None,None,None,None,None,None,None,8.2,信号强、屏幕大、性能差,http://detail.zol.com.cn/336/335876/review.shtml
1203624,3.2,2.4,3.2,6.4,4,None,None,None,None,4.8,处理器性能一般,http://detail.zol.com.cn/1204/1203624/review.shtml
1234501,5.6,6.8,7.2,6.4,7.2,None,None,None,None,8.5,None,http://detail.zol.com.cn/1235/1234501/review.shtml
1234683,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1235/1234683/review.shtml
246209,None,None,None,None,None,None,None,None,None,6.0,续航一般,http://detail.zol.com.cn/247/246209/review.shtml
246210,None,None,None,None,None,None,None,None,None,7.5,性价比高、成像效果差,http://detail.zol.com.cn/247/246210/review.shtml
310280,6.5,4.1,5.7,5.7,5.7,None,None,None,None,6.9,性价比高、运行流畅、性价比高、信号好、系统流畅、音质一般、机身内存小、分辨率低,http://detail.zol.com.cn/311/310280/review.shtml
71307,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/72/71307/review.shtml
191670,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/192/191670/review.shtml
194804,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/195/194804/review.shtml
344847,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/345/344847/review.shtml
345089,None,None,None,None,None,None,None,None,None,6.8,屏幕灵敏度差,http://detail.zol.com.cn/346/345089/review.shtml
224702,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/225/224702/review.shtml
224705,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/225/224705/review.shtml
1182568,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1183/1182568/review.shtml
345267,8.3,7.5,5.1,6.7,7.5,None,None,None,None,8.7,游戏运行流畅、性能好、电池容量小、续航一般,http://detail.zol.com.cn/346/345267/review.shtml
288384,None,None,None,None,None,None,None,None,None,6.0,屏幕大,http://detail.zol.com.cn/289/288384/review.shtml
75846,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/76/75846/review.shtml
75848,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/76/75848/review.shtml
75852,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/76/75852/review.shtml
345606,None,None,None,None,None,None,None,None,None,10.0,网速快、外观漂亮、机身内存小,http://detail.zol.com.cn/346/345606/review.shtml
289040,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/290/289040/review.shtml
1183862,8.4,8.4,8.4,6.8,6.8,None,None,None,None,9.8,性价比高,http://detail.zol.com.cn/1184/1183862/review.shtml
295693,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/296/295693/review.shtml
1160376,4.5,3.7,2.1,4.5,3.7,None,None,None,None,4.7,外观漂亮、音色音质好、信号强、价格便宜、分辨率低、续航一般、屏幕质量一般,http://detail.zol.com.cn/1161/1160376/review.shtml
1160451,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1161/1160451/review.shtml
1160453,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1161/1160453/review.shtml
1160456,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1161/1160456/review.shtml
1160459,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1161/1160459/review.shtml
1158122,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1159/1158122/review.shtml
1158124,6.4,6.4,6.4,8,4.8,None,None,None,None,8.0,价格实惠、网络体验差,http://detail.zol.com.cn/1159/1158124/review.shtml
400839,4,4.8,4.4,6,5,None,None,None,None,6.1,外观漂亮、运行流畅、价格高、电池容量小、机身内存小,http://detail.zol.com.cn/401/400839/review.shtml
