id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
1994507,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1995/1994507/review.shtml
1935239,7.2,7.2,7.2,7.2,7.2,None,None,None,None,9.0,None,http://detail.zol.com.cn/1936/1935239/review.shtml
1610866,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1611/1610866/review.shtml
1972473,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1973/1972473/review.shtml
1336165,9.3,8.9,7.9,8.8,9.0,None,None,None,None,7.9,屏幕效果好、机身轻薄、手感舒适、性价比高,http://detail.zol.com.cn/1337/1336165/review.shtml
1461200,8.7,9.0,8.3,7.4,6.6,None,None,None,None,9.7,处理器不错、外观漂亮、性价比高、性能好、续航出色,http://detail.zol.com.cn/1462/1461200/review.shtml
1432524,8.5,8.5,7.7,6.9,6.9,None,None,None,None,9.7,性价比高、信号差,http://detail.zol.com.cn/1433/1432524/review.shtml
1962520,7.2,7.2,7.2,7.2,7.2,None,None,None,None,9.0,None,http://detail.zol.com.cn/1963/1962520/review.shtml
1856215,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1857/1856215/review.shtml
1962519,7.2,7.2,7.2,7.2,7.2,None,None,None,None,9.0,None,http://detail.zol.com.cn/1963/1962519/review.shtml
1962521,7.2,7.2,7.2,7.2,7.2,None,None,None,None,9.0,None,http://detail.zol.com.cn/1963/1962521/review.shtml
1486865,6.8,5.2,8.4,9.2,7.6,None,None,None,None,9.3,价格高,http://detail.zol.com.cn/1487/1486865/review.shtml
1983821,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1984/1983821/review.shtml
1438332,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1439/1438332/review.shtml
1455389,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1456/1455389/review.shtml
1457604,8.5,8.5,7.7,6.9,6.9,None,None,None,None,9.7,性价比高、信号差,http://detail.zol.com.cn/1458/1457604/review.shtml
1857427,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1858/1857427/review.shtml
1378437,9.1,9.6,8.2,9.7,9.0,None,None,None,None,8.8,性价比高、外观漂亮、续航出色、性能好、手感舒适,http://detail.zol.com.cn/1379/1378437/review.shtml
1426863,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1427/1426863/review.shtml
1983820,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1984/1983820/review.shtml
1486861,3.2,3.2,6.4,6.4,6.4,None,None,None,None,8.8,None,http://detail.zol.com.cn/1487/1486861/review.shtml
1994923,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1995/1994923/review.shtml
1627169,8.5,8.5,7.7,6.9,6.9,None,None,None,None,9.7,性价比高、信号差,http://detail.zol.com.cn/1628/1627169/review.shtml
1972472,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1973/1972472/review.shtml
1495242,8.7,9.0,8.3,7.4,6.6,None,None,None,None,9.7,处理器不错、外观漂亮、性价比高、性能好、续航出色,http://detail.zol.com.cn/1496/1495242/review.shtml
1385371,8.8,8.9,8.5,7.4,7.4,None,None,None,None,8.8,电池容量大、续航出色、性能好、续航一般,http://detail.zol.com.cn/1386/1385371/review.shtml
1361741,9.3,9.2,7.5,7.8,7.6,None,None,None,None,8.8,手感舒适、性能不错、性能好、性价比高、运行流畅、网络体验差、续航一般、系统不足、外观不是很满意、性能差,http://detail.zol.com.cn/1362/1361741/review.shtml
1395998,8.8,9.5,8.4,7.8,6.8,None,None,None,None,9.6,性价比高、屏幕大、摄像效果一般、性能差,http://detail.zol.com.cn/1396/1395998/review.shtml
1495241,8.7,9.0,8.3,7.4,6.6,None,None,None,None,9.7,外观漂亮、性价比高、性能好、续航出色、处理器不错,http://detail.zol.com.cn/1496/1495241/review.shtml
1994925,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1995/1994925/review.shtml
1394823,8.3,9.3,8.0,9.5,8.9,None,None,None,None,9.5,None,http://detail.zol.com.cn/1395/1394823/review.shtml
1857428,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1858/1857428/review.shtml
1359230,8,5.6,8,8.8,5.6,None,None,None,None,9.2,性价比高、续航出色、屏幕效果好,http://detail.zol.com.cn/1360/1359230/review.shtml
1486863,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1487/1486863/review.shtml
1367336,6.4,7.0,6.4,7.2,2.4,None,None,None,None,8.6,性价比高、系统强悍、性能好,http://detail.zol.com.cn/1368/1367336/review.shtml
1367130,8.4,7.6,8.4,7.6,7.6,None,None,None,None,8.5,None,http://detail.zol.com.cn/1368/1367130/review.shtml
1390598,8.9,9.0,8.7,8.7,7.6,None,None,None,None,9.1,系统强悍、性价比高、外观漂亮、屏幕尺寸小,http://detail.zol.com.cn/1391/1390598/review.shtml
1354524,8.1,7.0,8.3,8.3,7.6,None,None,None,None,8.7,None,http://detail.zol.com.cn/1355/1354524/review.shtml
1411894,9.5,9.7,8.3,9.9,8.2,None,None,None,None,9.7,屏幕效果好,http://detail.zol.com.cn/1412/1411894/review.shtml
1432874,8.5,6.9,8.5,8.5,6.9,None,None,None,None,9.8,续航出色、外观漂亮、屏幕一般,http://detail.zol.com.cn/1433/1432874/review.shtml
1495240,8.7,9.0,8.3,7.4,6.6,None,None,None,None,9.7,外观漂亮、性价比高、性能好、续航出色、处理器不错,http://detail.zol.com.cn/1496/1495240/review.shtml
1342329,8.7,8.8,8.2,8.2,8.1,None,None,None,None,9.0,None,http://detail.zol.com.cn/1343/1342329/review.shtml
1338031,7.7,7.5,6.2,5.9,5.8,None,None,None,None,8.5,电池容量大、续航出色,http://detail.zol.com.cn/1339/1338031/review.shtml
1370721,9.4,9.0,8.4,8.0,8.3,None,None,None,None,8.5,续航出色、性能好,http://detail.zol.com.cn/1371/1370721/review.shtml
1389587,9.2,9.2,7.6,6,7.6,None,None,None,None,8.8,None,http://detail.zol.com.cn/1390/1389587/review.shtml
1402029,8.8,9.5,8.4,7.8,6.8,None,None,None,None,9.6,性价比高、屏幕大、摄像效果一般、性能差,http://detail.zol.com.cn/1403/1402029/review.shtml
1341546,8.4,7.5,9.4,7.3,7.9,None,None,None,None,7.9,电池容量大、性价比高、音质一般,http://detail.zol.com.cn/1342/1341546/review.shtml
1457607,8.5,8.5,7.7,6.9,6.9,None,None,None,None,9.7,性价比高、信号差,http://detail.zol.com.cn/1458/1457607/review.shtml
1457607,8.5,8.5,7.7,6.9,6.9,None,None,None,None,9.7,性价比高、信号差,http://detail.zol.com.cn/1458/1457607/review.shtml
1379295,9.1,9.6,8.2,9.7,9.0,None,None,None,None,8.8,性价比高、外观漂亮、续航出色、性能好、手感舒适,http://detail.zol.com.cn/1380/1379295/review.shtml
1371871,9.4,9.0,8.4,8.0,8.3,None,None,None,None,8.5,续航出色、性能好,http://detail.zol.com.cn/1372/1371871/review.shtml
1402027,8.8,9.5,8.4,7.8,6.8,None,None,None,None,9.6,性价比高、屏幕大、摄像效果一般、性能差,http://detail.zol.com.cn/1403/1402027/review.shtml
1455390,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1456/1455390/review.shtml
1332975,9.1,8.6,9.6,9.5,6.7,None,None,None,None,9.1,续航出色、性价比高,http://detail.zol.com.cn/1333/1332975/review.shtml
1455395,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1456/1455395/review.shtml
1402028,8.8,9.5,8.4,7.8,6.8,None,None,None,None,9.6,性价比高、屏幕大、摄像效果一般、性能差,http://detail.zol.com.cn/1403/1402028/review.shtml
1395006,6.6,8.2,8.2,8.2,6.6,None,None,None,None,9.6,续航出色、屏幕大小适中、外观漂亮,http://detail.zol.com.cn/1396/1395006/review.shtml
1403319,7.5,7.5,7.5,7.5,7.5,None,None,None,None,9.5,None,http://detail.zol.com.cn/1404/1403319/review.shtml
1455394,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1456/1455394/review.shtml
1375672,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1376/1375672/review.shtml
1601466,6.8,5.2,8.4,9.2,7.6,None,None,None,None,9.3,价格高,http://detail.zol.com.cn/1602/1601466/review.shtml
1365694,8.5,8.1,7.7,7.3,6.9,None,None,None,None,8.2,价格合理,http://detail.zol.com.cn/1366/1365694/review.shtml
1403477,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1404/1403477/review.shtml
1601472,3.2,3.2,6.4,6.4,6.4,None,None,None,None,8.8,None,http://detail.zol.com.cn/1602/1601472/review.shtml
1369734,8,7.2,8.8,6.4,8,None,None,None,None,9.5,None,http://detail.zol.com.cn/1370/1369734/review.shtml
1359235,8,5.6,8,8.8,5.6,None,None,None,None,9.2,性价比高、续航出色、屏幕效果好,http://detail.zol.com.cn/1360/1359235/review.shtml
1364650,7.9,7.9,7.9,7.9,6.3,None,None,None,None,9.0,None,http://detail.zol.com.cn/1365/1364650/review.shtml
1994809,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1995/1994809/review.shtml
1395295,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1396/1395295/review.shtml
1336161,None,None,None,None,None,None,None,None,None,9.2,手感舒适,http://detail.zol.com.cn/1337/1336161/review.shtml
1363709,8.5,8.1,7.7,7.3,6.9,None,None,None,None,8.2,价格合理,http://detail.zol.com.cn/1364/1363709/review.shtml
1983823,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1984/1983823/review.shtml
1371858,9.3,7.7,6.1,7.7,7.7,None,None,None,None,8.7,None,http://detail.zol.com.cn/1372/1371858/review.shtml
