id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
1631496,6.1,9.3,7.7,7.7,6.1,None,None,None,None,9.2,None,http://detail.zol.com.cn/1632/1631496/review.shtml
1347859,8.6,8.5,8.7,8.5,8.5,None,None,None,None,8.7,None,http://detail.zol.com.cn/1348/1347859/review.shtml
1432229,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1433/1432229/review.shtml
1476281,8.2,7.8,7.8,7.5,6.2,None,None,None,None,9.3,屏幕效果好、性价比高、续航出色、外观漂亮、手感舒适、手感一般,http://detail.zol.com.cn/1477/1476281/review.shtml
1396949,8,7.5,8,8,8,None,None,None,None,9.9,处理器性能一般,http://detail.zol.com.cn/1397/1396949/review.shtml
1394199,7.5,7.1,7.5,9.1,7.9,None,None,None,None,9.8,续航出色、性价比高、外观漂亮、续航一般、系统不足,http://detail.zol.com.cn/1395/1394199/review.shtml
1971146,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1972/1971146/review.shtml
1784458,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1785/1784458/review.shtml
1490492,8.2,7.8,7.8,7.5,6.2,None,None,None,None,9.3,续航出色、外观漂亮、手感舒适、屏幕效果好、性价比高、手感一般,http://detail.zol.com.cn/1491/1490492/review.shtml
1363544,9.3,9.0,9.7,9.4,7.4,None,None,None,None,8.7,电池容量大、外观漂亮、性价比高、屏幕大、屏幕一般、摄像效果一般、系统不足,http://detail.zol.com.cn/1364/1363544/review.shtml
1913318,5.7,5.7,7.3,6.5,6.5,None,None,None,None,7.9,None,http://detail.zol.com.cn/1914/1913318/review.shtml
1432228,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1433/1432228/review.shtml
1960047,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1961/1960047/review.shtml
1913319,5.7,5.7,7.3,6.5,6.5,None,None,None,None,7.9,None,http://detail.zol.com.cn/1914/1913319/review.shtml
1320504,8.4,8.7,7.3,5.9,7.0,None,None,None,None,9.1,性价比高、续航出色、价格便宜、性能不错、系统强悍、性能好、性价比高、摄像效果一般、屏幕一般、外观不是很满意、性能差、成像效果差、续航一般,http://detail.zol.com.cn/1321/1320504/review.shtml
1960050,6.4,6.4,6.4,6.4,6.4,None,None,None,None,8.2,性价比高,http://detail.zol.com.cn/1961/1960050/review.shtml
1338164,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1339/1338164/review.shtml
1913334,7.7,6.9,7.7,6.1,6.1,None,None,None,None,8.8,拍照清晰,http://detail.zol.com.cn/1914/1913334/review.shtml
1340282,8.9,9.2,8.1,8.3,7.0,None,None,None,None,8.4,手感舒适、屏幕效果好、游戏运行流畅、扬声器音量大、续航出色、成像效果好、系统强悍、续航一般、信号差,http://detail.zol.com.cn/1341/1340282/review.shtml
1984671,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1985/1984671/review.shtml
