id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
1427368,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1428/1427368/review.shtml
1427365,5.4,7.4,6.6,7,7.4,None,None,None,None,8.3,None,http://detail.zol.com.cn/1428/1427365/review.shtml
1427369,8,8,8,8,8,None,None,None,None,9.6,None,http://detail.zol.com.cn/1428/1427369/review.shtml
1383667,8,8.5,6.9,7.4,7.4,None,None,None,None,9.5,续航出色、机身内存大、屏幕效果好、外观不是很满意,http://detail.zol.com.cn/1384/1383667/review.shtml
1342489,7.8,7.8,7.7,7.7,8.1,None,None,None,None,9.5,续航出色、音色音质好、屏幕效果好、音乐播放效果出色、手感一般、续航一般、性价比不高,http://detail.zol.com.cn/1343/1342489/review.shtml
1331417,8.7,9.7,8.1,8.9,8.9,None,None,None,None,9.1,性能好,http://detail.zol.com.cn/1332/1331417/review.shtml
1427367,6.4,6.4,6.4,6.4,6.4,None,None,None,None,8.4,None,http://detail.zol.com.cn/1428/1427367/review.shtml
1388433,6.4,7.6,8.4,7.2,8.8,None,None,None,None,9.6,续航出色,http://detail.zol.com.cn/1389/1388433/review.shtml
1388430,6,8.7,7.6,8.4,8.1,None,None,None,None,9.8,信号强、信号差,http://detail.zol.com.cn/1389/1388430/review.shtml
1342492,7.0,9.8,8.6,6.6,7.7,None,None,None,None,9.6,屏幕效果好、信号差,http://detail.zol.com.cn/1343/1342492/review.shtml
1341561,8.5,9.8,5.3,7.9,6.9,None,None,None,None,9.5,外观漂亮、运行流畅、屏幕效果好、续航一般、手感一般,http://detail.zol.com.cn/1342/1341561/review.shtml
1896187,8,8,8,8,8,None,None,None,None,9.6,None,http://detail.zol.com.cn/1897/1896187/review.shtml
1342491,7.3,8.5,8.1,7.7,7.7,None,None,None,None,9.6,手感舒适、外观漂亮、价格高、信号差,http://detail.zol.com.cn/1343/1342491/review.shtml
1209686,5.6,9.8,6.1,6.2,6.7,None,None,None,None,8.9,性能好、运行流畅、视频流畅效果好、屏幕效果好、分辨率高、续航出色、屏幕一般、分辨率低、性价比不高、信号差、手感一般,http://detail.zol.com.cn/1210/1209686/review.shtml
1896188,5.4,7.4,6.6,7,7.4,None,None,None,None,8.3,None,http://detail.zol.com.cn/1897/1896188/review.shtml
1950439,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1951/1950439/review.shtml
1336667,8.0,9.7,6.9,7.9,8.6,None,None,None,None,9.3,性能好、屏幕效果好、外观漂亮、信号差、续航一般,http://detail.zol.com.cn/1337/1336667/review.shtml
1896185,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1897/1896185/review.shtml
1383996,7.9,7.9,7.1,7.9,7.9,None,None,None,None,9.7,手感舒适、外观漂亮,http://detail.zol.com.cn/1384/1383996/review.shtml
1896183,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1897/1896183/review.shtml
1427519,6.4,7.6,8.4,7.2,8.8,None,None,None,None,9.6,续航出色,http://detail.zol.com.cn/1428/1427519/review.shtml
1205394,8.3,9.2,8.2,7.7,8.2,None,None,None,None,8.9,电池容量大、续航出色、性价比高、性能好、屏幕大、屏幕效果好、信号好、分辨率低、价格高、信号差、手感一般、屏幕质量一般、续航一般,http://detail.zol.com.cn/1206/1205394/review.shtml
1280739,8.8,9.7,7.9,8.6,8.3,None,None,None,None,9.0,None,http://detail.zol.com.cn/1281/1280739/review.shtml
1358319,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1359/1358319/review.shtml
1290078,5.1,9.8,6.5,6.3,6.7,None,None,None,None,9.1,游戏运行流畅、续航出色、性能好、音乐播放效果出色、性能不错、价格便宜、信号好、信号差、游戏运行不够流畅、价格高、性价比低、外观不是很满意、成像效果差,http://detail.zol.com.cn/1291/1290078/review.shtml
1299582,8.7,9.7,6.6,7.2,6.5,None,None,None,None,8.5,性能好、分辨率高、价格便宜、续航一般,http://detail.zol.com.cn/1300/1299582/review.shtml
1166581,9.2,9.5,6.5,8.9,7.8,None,None,None,None,9.0,价格便宜、系统强悍、电池容量大、拍照清晰、手感舒适、性能好、屏幕材质质量好、续航一般、屏幕尺寸小、价格高,http://detail.zol.com.cn/1167/1166581/review.shtml
1431612,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1432/1431612/review.shtml
1280696,7.0,9.9,7.3,7.5,9.1,None,None,None,None,9.2,系统强悍、系统流畅、屏幕效果好、运行流畅、游戏运行流畅、续航一般,http://detail.zol.com.cn/1281/1280696/review.shtml
1896186,8,8,8,8,8,None,None,None,None,9.6,None,http://detail.zol.com.cn/1897/1896186/review.shtml
1896189,5.4,7.4,6.6,7,7.4,None,None,None,None,8.3,None,http://detail.zol.com.cn/1897/1896189/review.shtml
1427509,8,8.5,6.9,7.4,7.4,None,None,None,None,9.5,屏幕效果好、续航出色、机身内存大、外观不是很满意,http://detail.zol.com.cn/1428/1427509/review.shtml
1896184,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1897/1896184/review.shtml
1427517,6.4,7.6,8.4,7.2,8.8,None,None,None,None,9.6,续航出色,http://detail.zol.com.cn/1428/1427517/review.shtml
1896288,6.4,6.4,6.4,6.4,6.4,None,None,None,None,8.4,None,http://detail.zol.com.cn/1897/1896288/review.shtml
1387840,7.0,9.8,8.6,6.6,7.7,None,None,None,None,9.6,屏幕效果好、信号差,http://detail.zol.com.cn/1388/1387840/review.shtml
1427514,6,8.7,7.6,8.4,8.1,None,None,None,None,9.8,信号强、信号差,http://detail.zol.com.cn/1428/1427514/review.shtml
