id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
1494544,10,6,10,6.8,6.8,None,None,None,None,9.9,续航出色、分辨率高、性能差,http://detail.zol.com.cn/1495/1494544/review.shtml
1959987,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1960/1959987/review.shtml
1949055,7.7,7.7,7.7,7.7,7.7,None,None,None,None,9.7,屏幕效果好、性能好、外观漂亮、手感舒适,http://detail.zol.com.cn/1950/1949055/review.shtml
1948397,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1949/1948397/review.shtml
1967015,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1968/1967015/review.shtml
1494545,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1495/1494545/review.shtml
1974001,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1975/1974001/review.shtml
1986534,8,8,8,8,8,None,None,None,None,10.0,性价比高、性能好、外观漂亮,http://detail.zol.com.cn/1987/1986534/review.shtml
1447713,6.1,5.3,7.3,7.7,6.1,None,None,None,None,8.2,摄像效果出色,http://detail.zol.com.cn/1448/1447713/review.shtml
1974012,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1975/1974012/review.shtml
1957926,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1958/1957926/review.shtml
1968651,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1969/1968651/review.shtml
1554341,8,8,8,8,8,None,None,None,None,10.0,续航出色,http://detail.zol.com.cn/1555/1554341/review.shtml
1427939,7.4,7.4,9.5,6.8,6.3,None,None,None,None,9.4,电池容量大、性价比高、摄像效果一般,http://detail.zol.com.cn/1428/1427939/review.shtml
1974019,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1975/1974019/review.shtml
1796413,10,6,10,6.8,6.8,None,None,None,None,9.9,续航出色、分辨率高、性能差,http://detail.zol.com.cn/1797/1796413/review.shtml
1857504,6.4,6.4,6.4,6.4,6.4,None,None,None,None,8.0,None,http://detail.zol.com.cn/1858/1857504/review.shtml
1447715,7,7,7,7,7,None,None,None,None,8.6,None,http://detail.zol.com.cn/1448/1447715/review.shtml
1430940,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1431/1430940/review.shtml
1629849,6.1,5.3,7.3,7.7,6.1,None,None,None,None,8.2,摄像效果出色,http://detail.zol.com.cn/1630/1629849/review.shtml
1426635,6.8,7.1,7.8,7.8,7.8,None,None,None,None,8.8,性能好、电池容量大,http://detail.zol.com.cn/1427/1426635/review.shtml
1957928,7.7,7.7,7.7,7.7,7.7,None,None,None,None,9.7,屏幕效果好、性能好、外观漂亮、手感舒适,http://detail.zol.com.cn/1958/1957928/review.shtml
1317141,7.9,8.8,8.2,8.1,7.5,None,None,None,None,9.2,系统流畅、价格合理、机身轻薄、电池容量大、运行流畅、屏幕大、分辨率高、信号差、音质一般、性价比低、续航一般,http://detail.zol.com.cn/1318/1317141/review.shtml
1935220,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1936/1935220/review.shtml
1368418,7.6,9.0,8.6,8.9,8.0,None,None,None,None,9.3,外观漂亮、手感舒适,http://detail.zol.com.cn/1369/1368418/review.shtml
1957932,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1958/1957932/review.shtml
1319278,8.8,9.6,8.2,9.1,8.3,None,None,None,None,9.5,系统流畅、视频流畅效果好、内存充足、运行流畅、电池容量小,http://detail.zol.com.cn/1320/1319278/review.shtml
1367909,7.7,9.0,8.0,8.7,6.6,None,None,None,None,8.9,None,http://detail.zol.com.cn/1368/1367909/review.shtml
1368371,8.5,5.3,8.5,10,6.9,None,None,None,None,8.9,None,http://detail.zol.com.cn/1369/1368371/review.shtml
