id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
1315705,6.7,6.7,6.7,6.7,8.3,None,None,None,None,7.4,性价比低,http://detail.zol.com.cn/1316/1315705/review.shtml
1546777,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1547/1546777/review.shtml
1395137,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1396/1395137/review.shtml
1422329,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1423/1422329/review.shtml
1426838,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1427/1426838/review.shtml
1315719,6.7,6.7,6.7,6.7,8.3,None,None,None,None,7.4,性价比低,http://detail.zol.com.cn/1316/1315719/review.shtml
1322868,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1323/1322868/review.shtml
1386170,5.6,7.2,8.8,8.8,7.2,None,None,None,None,6.9,None,http://detail.zol.com.cn/1387/1386170/review.shtml
1597658,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1598/1597658/review.shtml
1291765,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1292/1291765/review.shtml
1375039,10,5.5,5.5,10,5.5,None,None,None,None,8.3,None,http://detail.zol.com.cn/1376/1375039/review.shtml
1208396,4.2,5.1,6.7,6.4,3.9,None,None,None,None,6.6,外观漂亮、价格便宜、续航出色,http://detail.zol.com.cn/1209/1208396/review.shtml
1342673,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1343/1342673/review.shtml
1208224,8.3,6.7,8.3,6.7,8.3,None,None,None,None,9.6,None,http://detail.zol.com.cn/1209/1208224/review.shtml
1352454,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1353/1352454/review.shtml
1334395,6.3,6.3,8.7,7.1,7.1,None,None,None,None,7.1,None,http://detail.zol.com.cn/1335/1334395/review.shtml
1426853,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1427/1426853/review.shtml
1373465,8.1,5.7,8.9,8.9,5.7,None,None,None,None,7.4,None,http://detail.zol.com.cn/1374/1373465/review.shtml
1422323,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1423/1422323/review.shtml
1316066,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1317/1316066/review.shtml
1306248,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1307/1306248/review.shtml
1426844,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1427/1426844/review.shtml
1363209,7.3,7.3,7.3,8.9,7.3,None,None,None,None,9.5,None,http://detail.zol.com.cn/1364/1363209/review.shtml
1165069,8.4,8.4,6.2,8.9,6.8,None,None,None,None,7.8,外观漂亮、手感舒适、续航出色、电池容量大、机身小巧、续航一般、运行速度慢,http://detail.zol.com.cn/1166/1165069/review.shtml
1363207,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1364/1363207/review.shtml
1316071,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1317/1316071/review.shtml
1356321,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1357/1356321/review.shtml
1422326,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1423/1422326/review.shtml
1388993,5.6,7.2,8.8,8.8,7.2,None,None,None,None,6.9,None,http://detail.zol.com.cn/1389/1388993/review.shtml
1343602,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1344/1343602/review.shtml
1426854,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1427/1426854/review.shtml
1426839,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1427/1426839/review.shtml
1326685,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1327/1326685/review.shtml
1285395,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1286/1285395/review.shtml
1250873,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1251/1250873/review.shtml
1375012,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1376/1375012/review.shtml
1315736,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1316/1315736/review.shtml
1234986,3.2,4.8,4.8,3.2,3.2,None,None,None,None,4.8,续航出色,http://detail.zol.com.cn/1235/1234986/review.shtml
1285342,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1286/1285342/review.shtml
1298292,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1299/1298292/review.shtml
1174305,None,None,None,None,None,None,None,None,None,6.0,价格合理,http://detail.zol.com.cn/1175/1174305/review.shtml
1264323,6.3,5.8,6.8,6.8,6.8,None,None,None,None,8.2,外观漂亮、信号好、运行流畅、信号差、续航一般,http://detail.zol.com.cn/1265/1264323/review.shtml
1141689,None,None,8.0,None,8.0,None,None,None,None,9.0,硬件配置强悍、续航出色、信号好、电池容量大、系统强悍、电池表现差、价格高,http://detail.zol.com.cn/1142/1141689/review.shtml
1325692,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1326/1325692/review.shtml
1325930,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1326/1325930/review.shtml
1148833,5.5,9.2,6.9,6.9,7.5,None,None,None,None,8.2,价格便宜、内存充足、价格合理、价格高,http://detail.zol.com.cn/1149/1148833/review.shtml
1271525,6.3,5.8,6.8,6.8,6.8,None,None,None,None,8.2,外观漂亮、运行流畅、信号好、信号差、续航一般,http://detail.zol.com.cn/1272/1271525/review.shtml
1300186,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1301/1300186/review.shtml
1185301,4.6,5.4,6.2,5.4,6.5,None,None,None,None,7.0,电池容量大、价格便宜、运行内存大、运行流畅、机身内存大、价格高,http://detail.zol.com.cn/1186/1185301/review.shtml
1156461,4.8,2.9,4.0,6.4,4.8,None,None,None,None,6.9,None,http://detail.zol.com.cn/1157/1156461/review.shtml
1211587,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1212/1211587/review.shtml
1303847,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1304/1303847/review.shtml
1322095,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1323/1322095/review.shtml
