id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
1772430,8,8,8,8,8,None,None,None,None,10.0,None,http://detail.zol.com.cn/1773/1772430/review.shtml
1363931,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1364/1363931/review.shtml
1370705,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1371/1370705/review.shtml
1772447,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1773/1772447/review.shtml
1403346,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1404/1403346/review.shtml
1288325,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1289/1288325/review.shtml
1408477,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1409/1408477/review.shtml
1508700,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1509/1508700/review.shtml
1403124,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1404/1403124/review.shtml
1307398,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1308/1307398/review.shtml
1350553,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1351/1350553/review.shtml
1396953,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1397/1396953/review.shtml
1508699,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1509/1508699/review.shtml
1360475,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1361/1360475/review.shtml
1441167,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1442/1441167/review.shtml
1170950,8.0,9.2,8.0,8.0,8.0,None,None,None,None,8.6,外观漂亮、价格高,http://detail.zol.com.cn/1171/1170950/review.shtml
1240384,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1241/1240384/review.shtml
1211008,3.3,4.9,3.3,6.5,8.1,None,None,None,None,6.9,系统强悍、处理器不错、性价比高、价格高、性价比低、续航一般,http://detail.zol.com.cn/1212/1211008/review.shtml
377301,6.6,6.6,7,7,7,None,None,None,None,8.5,外观漂亮、屏幕大、机身内存大,http://detail.zol.com.cn/378/377301/review.shtml
224420,None,None,None,None,None,None,None,None,None,10.0,续航出色,http://detail.zol.com.cn/225/224420/review.shtml
137246,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/138/137246/review.shtml
1274867,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1275/1274867/review.shtml
1296569,5.8,5.8,5.8,5.8,7.4,None,None,None,None,7.9,电池容量小,http://detail.zol.com.cn/1297/1296569/review.shtml
365091,7.3,7.4,5.4,7.1,6.3,None,None,None,None,8.5,运行流畅、屏幕效果好、性价比高、外观漂亮、分辨率高、续航出色、游戏运行流畅、续航一般、电池容量小、信号差、摄像效果一般、音质一般、夜景效果差,http://detail.zol.com.cn/366/365091/review.shtml
1263165,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1264/1263165/review.shtml
1263166,5.8,5.8,5.8,5.8,7.4,None,None,None,None,7.9,电池容量小,http://detail.zol.com.cn/1264/1263166/review.shtml
1148524,None,None,None,None,None,None,None,None,None,5.7,外观漂亮、系统强悍、价格高,http://detail.zol.com.cn/1149/1148524/review.shtml
225364,None,None,None,None,None,None,None,None,None,7.3,外观漂亮,http://detail.zol.com.cn/226/225364/review.shtml
227773,None,None,None,None,None,None,None,None,None,7.3,外观漂亮,http://detail.zol.com.cn/228/227773/review.shtml
1216623,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1217/1216623/review.shtml
380301,6.7,6.7,3.5,6.7,6.7,None,None,None,None,8.1,运行流畅、系统流畅、软件不错、外观漂亮、电池容量大、手感舒适、价格高、耳机一般、电池容量小,http://detail.zol.com.cn/381/380301/review.shtml
1164085,8.0,9.2,8.0,8.0,8.0,None,None,None,None,7.1,None,http://detail.zol.com.cn/1165/1164085/review.shtml
345245,7.3,7.4,5.4,7.1,6.3,None,None,None,None,8.5,运行流畅、屏幕效果好、性价比高、分辨率高、外观漂亮、续航出色、游戏运行流畅、续航一般、电池容量小、信号差、摄像效果一般、音质一般、夜景效果差,http://detail.zol.com.cn/346/345245/review.shtml
1168374,None,None,None,None,None,None,None,None,None,10.0,手感舒适,http://detail.zol.com.cn/1169/1168374/review.shtml
400843,5.2,6,3.9,6.3,5.9,None,None,None,None,7.0,屏幕大、续航出色、价格便宜、界面漂亮、性能好、屏幕效果细腻、音色音质好、价格高、外观不是很满意、续航一般,http://detail.zol.com.cn/401/400843/review.shtml
1147877,4.0,8.0,6.7,5.6,7.0,None,None,None,None,6.7,系统强悍、价格高、功能一般、配置低、性价比低,http://detail.zol.com.cn/1148/1147877/review.shtml
1266579,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1267/1266579/review.shtml
1266581,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1267/1266581/review.shtml
370479,6.2,5.5,7.1,8.2,6.3,None,None,None,None,7.5,外观漂亮、运行流畅、屏幕大、价格合理、电池容量大、信号好、屏幕效果好、价格高、续航一般、屏幕质量一般、相机像素低、网络信号差、发热量大温度高,http://detail.zol.com.cn/371/370479/review.shtml
