id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
1102064,4.3,5.5,6.8,5.5,5.2,None,None,None,None,6.9,续航出色、电池容量大、外观漂亮、运行流畅、性价比高、屏幕大、价格便宜、价格高、分辨率低、信号差、运行速度慢、续航一般、性能差,http://detail.zol.com.cn/1103/1102064/review.shtml
1102247,7.0,4.0,7.6,8.2,7.5,None,None,None,None,8.0,外观漂亮、续航出色、运行流畅、手感舒适、屏幕大、机身内存大、电池容量大、信号差、分辨率低、续航一般、价格高、运行速度慢、电池容量小,http://detail.zol.com.cn/1103/1102247/review.shtml
314530,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/315/314530/review.shtml
314532,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/315/314532/review.shtml
315561,6.6,0.2,0.2,6.6,0.2,None,None,None,None,3.5,屏幕大、外观漂亮、音色音质好、续航出色、机身内存小、运行速度慢、处理器性能一般、配置低、电池表现差,http://detail.zol.com.cn/316/315561/review.shtml
315567,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/316/315567/review.shtml
341141,3.6,3.9,4.6,3.9,2.3,None,None,None,None,4.6,屏幕大、音色音质好、分辨率低、信号差、续航一般、相机像素低、运行内存小、音质一般,http://detail.zol.com.cn/342/341141/review.shtml
341162,None,None,None,None,None,None,None,None,None,6.0,价格便宜、网络体验差,http://detail.zol.com.cn/342/341162/review.shtml
1174958,5.8,3.9,8.0,8.0,7.8,None,None,None,None,9.0,外观漂亮、续航出色、手感舒适、运行流畅、系统流畅、电池容量大、性能好、信号差、价格高、续航一般、成像效果差、电池容量小、游戏性能低,http://detail.zol.com.cn/1175/1174958/review.shtml
277324,None,None,None,None,None,None,None,None,None,8.0,硬件配置强悍,http://detail.zol.com.cn/278/277324/review.shtml
151089,None,None,None,None,None,None,None,None,None,8.0,外观稳重,http://detail.zol.com.cn/152/151089/review.shtml
151096,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/152/151096/review.shtml
151098,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/152/151098/review.shtml
240249,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/241/240249/review.shtml
240273,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/241/240273/review.shtml
1144517,4.3,5,4.9,6,4.8,None,None,None,None,6.3,外观漂亮、机身内存大、手感舒适、运行流畅、运行内存大、屏幕大、价格便宜、续航一般、价格高、分辨率低、运行速度慢、电池表现差、摄像效果一般,http://detail.zol.com.cn/1145/1144517/review.shtml
1146351,5.9,6.1,5.3,7,5.9,None,None,None,None,7.5,外观漂亮、机身内存大、手感舒适、性价比高、运行流畅、系统流畅、电池容量大、续航一般、信号差、网络信号差、运行速度慢、价格高、音质一般,http://detail.zol.com.cn/1147/1146351/review.shtml
1099498,4.3,4.9,4.3,6,5.2,None,None,None,None,6.2,外观漂亮、手感舒适、运行流畅、性能好、电池容量大、价格便宜、屏幕大小适中、电池容量小、信号差、音质一般、分辨率低、续航一般、性价比差,http://detail.zol.com.cn/1100/1099498/review.shtml
1099500,5.5,4.9,6,6.3,4.3,None,None,None,None,6.8,外观漂亮、屏幕大、价格便宜、运行流畅、手感舒适、网速快、界面漂亮、机身内存小、功能一般、网速慢,http://detail.zol.com.cn/1100/1099500/review.shtml
1099501,4.8,4.9,4.6,6,5.3,None,None,None,None,6.4,外观漂亮、机身内存大、运行流畅、屏幕大、价格便宜、手感舒适、性价比高、续航一般、运行速度慢、信号差、机身内存小、运行内存小、音质一般,http://detail.zol.com.cn/1100/1099501/review.shtml
1950485,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1951/1950485/review.shtml
1293516,7.1,7.1,8.2,8.7,7.1,None,None,None,None,7.1,None,http://detail.zol.com.cn/1294/1293516/review.shtml
1366074,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1367/1366074/review.shtml
1290921,8,6.4,6.4,6.4,8,None,None,None,None,8.8,None,http://detail.zol.com.cn/1291/1290921/review.shtml
1425847,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1426/1425847/review.shtml
1350884,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1351/1350884/review.shtml
1948950,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1949/1948950/review.shtml
1948947,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1949/1948947/review.shtml
1357947,6.4,1.6,8,6.4,6.4,None,None,None,None,7.4,None,http://detail.zol.com.cn/1358/1357947/review.shtml
1948955,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1949/1948955/review.shtml
1425848,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1426/1425848/review.shtml
1508766,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1509/1508766/review.shtml
1336317,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1337/1336317/review.shtml
1948948,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1949/1948948/review.shtml
1948949,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1949/1948949/review.shtml
1309449,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1310/1309449/review.shtml
403212,4.1,5.3,4.2,5.9,5.4,None,None,None,None,6.3,外观漂亮、运行流畅、手感舒适、机身轻薄、续航出色、机身内存大、音色音质好、续航一般、运行速度慢、运行内存小、外观不是很满意、屏幕尺寸小、电池表现差,http://detail.zol.com.cn/404/403212/review.shtml
133317,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/134/133317/review.shtml
133318,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/134/133318/review.shtml
161485,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/162/161485/review.shtml
1949577,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1950/1949577/review.shtml
1337226,7,5.4,8.6,6.2,4.6,None,None,None,None,7.1,电池容量大,http://detail.zol.com.cn/1338/1337226/review.shtml
1949576,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1950/1949576/review.shtml
1948954,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1949/1948954/review.shtml
1361241,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1362/1361241/review.shtml
1949579,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1950/1949579/review.shtml
1950494,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1951/1950494/review.shtml
1290924,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1291/1290924/review.shtml
1950484,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1951/1950484/review.shtml
1314063,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1315/1314063/review.shtml
1293359,7.1,7.1,8.2,8.7,7.1,None,None,None,None,7.1,None,http://detail.zol.com.cn/1294/1293359/review.shtml
1508765,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1509/1508765/review.shtml
