id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
208879,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/209/208879/review.shtml
299723,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/300/299723/review.shtml
299727,None,None,None,None,None,None,None,None,None,8.4,价格便宜、屏幕大,http://detail.zol.com.cn/300/299727/review.shtml
299737,3.7,3.7,3.7,3.7,3.7,None,None,None,None,4.7,信号差、续航一般,http://detail.zol.com.cn/300/299737/review.shtml
299771,None,None,None,None,None,None,None,None,None,6.7,电池容量大,http://detail.zol.com.cn/300/299771/review.shtml
299974,None,None,None,None,None,None,None,None,None,4.0,电池容量大、续航出色、运行速度慢,http://detail.zol.com.cn/300/299974/review.shtml
269590,None,None,None,None,None,None,None,None,None,9.2,续航出色,http://detail.zol.com.cn/270/269590/review.shtml
1138326,5.2,5.2,5.2,5.2,5.2,None,None,None,None,6.5,None,http://detail.zol.com.cn/1139/1138326/review.shtml
1168211,6.4,3.2,8,6.4,3.2,None,None,None,None,6.8,续航出色、价格合理、性价比高,http://detail.zol.com.cn/1169/1168211/review.shtml
1168226,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1169/1168226/review.shtml
372761,7.2,4,8.8,8.8,4,None,None,None,None,8.3,外观漂亮,http://detail.zol.com.cn/373/372761/review.shtml
158548,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/159/158548/review.shtml
157447,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/158/157447/review.shtml
1269219,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1270/1269219/review.shtml
399403,6.9,6.3,7.6,7,5.4,None,None,None,None,8.2,续航出色、字体大、系统流畅、屏幕效果好、音色音质好、手感舒适、信号好、价格高、屏幕尺寸小、功能一般,http://detail.zol.com.cn/400/399403/review.shtml
160791,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/161/160791/review.shtml
1176588,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1177/1176588/review.shtml
1146957,None,None,None,None,None,None,None,None,None,4.0,价格实惠、屏幕一般,http://detail.zol.com.cn/1147/1146957/review.shtml
1099980,3.2,3.2,6.4,8,3.2,None,None,None,None,6.0,None,http://detail.zol.com.cn/1100/1099980/review.shtml
277490,None,None,None,None,None,None,None,None,None,8.0,续航出色、信号好、外观不是很满意,http://detail.zol.com.cn/278/277490/review.shtml
34517,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/35/34517/review.shtml
366517,4,3.5,4.6,4,3.5,None,None,None,None,4.9,屏幕大、手感舒适、续航出色、价格便宜、电池容量大、性价比高、续航一般、游戏运行不够流畅、机身内存小、运行内存小、分辨率低、价格高,http://detail.zol.com.cn/367/366517/review.shtml
38836,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/39/38836/review.shtml
38837,None,None,None,None,None,None,None,None,None,6.0,软件不错,http://detail.zol.com.cn/39/38837/review.shtml
103113,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/104/103113/review.shtml
394185,7.8,6.6,6.3,7.7,6.2,None,None,None,None,8.5,运行流畅、手感舒适、价格合理、屏幕大、性价比高、外观漂亮、价格实惠、续航一般、相机像素低、电池容量小、屏幕质量一般、屏幕一般,http://detail.zol.com.cn/395/394185/review.shtml
394186,7,5.8,6.7,7.6,6.5,None,None,None,None,8.2,外观漂亮、价格便宜、续航出色、电池容量大、游戏运行流畅、性价比高、温度控制满意、价格高、续航一般、电池表现差、内存不足、电池容量小、机身内存小,http://detail.zol.com.cn/395/394186/review.shtml
367866,6.5,6.5,7.3,7.3,6.5,None,None,None,None,8.5,运行流畅、外观漂亮、运行内存小,http://detail.zol.com.cn/368/367866/review.shtml
125547,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/126/125547/review.shtml
125549,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/126/125549/review.shtml
1258781,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1259/1258781/review.shtml
1947072,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1948/1947072/review.shtml
1315659,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1316/1315659/review.shtml
