id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
1784392,7.5,7.5,7.5,7.5,7.5,None,None,None,None,9.1,None,http://detail.zol.com.cn/1785/1784392/review.shtml
1784391,7,6.7,6.7,7,6.1,None,None,None,None,8.3,None,http://detail.zol.com.cn/1785/1784391/review.shtml
1397388,7.3,7.6,6.8,6.3,6.5,None,None,None,None,8.6,硬件配置强悍、性价比高、屏幕大、屏幕效果好、系统不足,http://detail.zol.com.cn/1398/1397388/review.shtml
1397392,8.2,8.2,7.7,7.7,6.1,None,None,None,None,9.4,外观漂亮、手感舒适、成像效果差,http://detail.zol.com.cn/1398/1397392/review.shtml
1494538,8.2,8.2,7.7,7.7,6.1,None,None,None,None,9.4,外观漂亮、手感舒适、成像效果差,http://detail.zol.com.cn/1495/1494538/review.shtml
1960141,7,6.7,6.7,7,6.1,None,None,None,None,8.3,None,http://detail.zol.com.cn/1961/1960141/review.shtml
1494536,7.3,7.6,6.8,6.3,6.5,None,None,None,None,8.6,硬件配置强悍、性价比高、屏幕大、屏幕效果好、系统不足,http://detail.zol.com.cn/1495/1494536/review.shtml
1494537,8.2,8.2,7.7,7.7,6.1,None,None,None,None,9.4,外观漂亮、手感舒适、成像效果差,http://detail.zol.com.cn/1495/1494537/review.shtml
1960140,7,6.7,6.7,7,6.1,None,None,None,None,8.3,None,http://detail.zol.com.cn/1961/1960140/review.shtml
1984864,7.5,7.5,7.5,7.5,7.5,None,None,None,None,9.1,None,http://detail.zol.com.cn/1985/1984864/review.shtml
1984865,7.5,7.5,7.5,7.5,7.5,None,None,None,None,9.1,None,http://detail.zol.com.cn/1985/1984865/review.shtml
1494539,None,None,None,None,None,None,None,None,None,10.0,屏幕大、外观漂亮,http://detail.zol.com.cn/1495/1494539/review.shtml
1357540,7.9,9.5,7.8,9.4,8.5,None,None,None,None,7.7,性价比高、屏幕大、界面简约、手感舒适、运行流畅、价格高、信号差、功耗大,http://detail.zol.com.cn/1358/1357540/review.shtml
1385721,8.4,6,8.4,7.6,7.6,None,None,None,None,8.8,价格便宜,http://detail.zol.com.cn/1386/1385721/review.shtml
