id,cpu,上市日期,主屏尺寸,主屏分辨率,后置摄像头,前置摄像头,电池容量,电池类型,核心数,内存,param_url,img_url
1772403,高通骁龙778G,2023年07月22日,6.7英寸,2412x1084px,5000万像素,6000万像素,4500mAh,None,八核,8GB,http://detail.zol.com.cn/1773/1772403/param.shtml,https://2b.zol-img.com.cn/product/249_320x240/881/ceNlO7ziOpKzk.jpg
1395143,高通骁龙778G,2021年12月09日,6.57英寸,,5000万像素,3200万像素,4300mAh,None,八核,8GB,http://detail.zol.com.cn/1396/1395143/param.shtml,https://2f.zol-img.com.cn/product/216_320x240/387/cerXqZQ1GpWyU.jpg
1395189,高通骁龙778G,2021年12月09日,6.72英寸,2676x1236px,5000万像素,3200万像素,4000mAh,None,八核,8GB,http://detail.zol.com.cn/1396/1395189/param.shtml,https://2d.zol-img.com.cn/product/222_320x240/473/ceDMAzt7miwr6.jpg
1403130,高通骁龙695,2022年04月23日,6.78英寸,,None,1600万像素,4000mAh,None,八核,8GB,http://detail.zol.com.cn/1404/1403130/param.shtml,https://2c.zol-img.com.cn/product/218_320x240/414/ceijgE0nuiqvQ.jpg
1430895,高通骁龙778G,2022年10月29日,6.67英寸,2400x1080px,5000万像素,6000万像素,4000mAh,None,八核,8GB,http://detail.zol.com.cn/1431/1430895/param.shtml,https://2b.zol-img.com.cn/product/223_320x240/663/cexDJwjZ8KGo.jpg
1395275,高通骁龙778G,2021年12月09日,6.57英寸,,5000万像素,3200万像素,4300mAh,None,八核,8GB,http://detail.zol.com.cn/1396/1395275/param.shtml,https://2b.zol-img.com.cn/product/216_320x240/431/celE3JCvsJ8Y.jpg
1405415,高通 骁龙690,2022年05月06日,6.67英寸需双手打字更多6.67英寸手机>,2376x1080px,6400万像素高清级像素高清像素手机>,1600万像素高清级像素高像素自拍手机>,4300mAh大电池大电池手机>,None,八核,8GB,http://detail.zol.com.cn/1406/1405415/param.shtml,https://2d.zol-img.com.cn/product/220_320x240/559/ceB9yTdidTP9s.jpg
1772405,高通骁龙778G,,6.78英寸,2652x1200px,5000万像素,6000万像素,4500mAh,None,八核,8GB,http://detail.zol.com.cn/1773/1772405/param.shtml,https://2a.zol-img.com.cn/product/246_320x240/646/ces2kbIdGc8Is.jpg
1395276,高通骁龙778G,2021年12月09日,6.72英寸,2676x1236px,5000万像素,3200万像素,4000mAh,None,八核,8GB,http://detail.zol.com.cn/1396/1395276/param.shtml,https://2d.zol-img.com.cn/product/222_320x240/473/ceDMAzt7miwr6.jpg
1430897,高通骁龙778G,2022年10月29日,6.78英寸,2652x1200px,5000万像素,6000万像素,4500mAh,None,八核,8GB,http://detail.zol.com.cn/1431/1430897/param.shtml,https://2e.zol-img.com.cn/product/223_320x240/2/cec6IxMlesz6.png
1404215,高通骁龙695,2022年04月23日,6.78英寸,,None,1600万像素,4000mAh,None,八核,8GB,http://detail.zol.com.cn/1405/1404215/param.shtml,https://2c.zol-img.com.cn/product/218_320x240/414/ceijgE0nuiqvQ.jpg
1950434,None,2023年11月,6.67英寸,2400x1080px,None,1600万像素,4500mAh,None,None,None,http://detail.zol.com.cn/1951/1950434/param.shtml,None
1406387,高通 骁龙690,2022年05月06日,6.67英寸需双手打字更多6.67英寸手机>,2376x1080px,6400万像素高清级像素高清像素手机>,1600万像素高清级像素高像素自拍手机>,4300mAh大电池大电池手机>,None,八核,8GB,http://detail.zol.com.cn/1407/1406387/param.shtml,https://2d.zol-img.com.cn/product/220_320x240/559/ceB9yTdidTP9s.jpg
1431603,高通骁龙778G,2022年10月29日,6.67英寸,2400x1080px,5000万像素,6000万像素,4000mAh,None,八核,8GB,http://detail.zol.com.cn/1432/1431603/param.shtml,https://2b.zol-img.com.cn/product/223_320x240/663/cexDJwjZ8KGo.jpg
1431606,高通骁龙778G,2022年10月29日,6.78英寸,2652x1200px,5000万像素,6000万像素,4500mAh,None,八核,8GB,http://detail.zol.com.cn/1432/1431606/param.shtml,https://2e.zol-img.com.cn/product/223_320x240/2/cec6IxMlesz6.png
