id,cpu,上市日期,主屏尺寸,主屏分辨率,后置摄像头,前置摄像头,电池容量,电池类型,核心数,内存,param_url,img_url
1648969,高通骁龙7Gen1,2023年06月25日,主：6.9英寸,主：2640x1080px,6400万像素,3200万像素,4200mAh,None,八核,12GB,http://detail.zol.com.cn/1649/1648969/param.shtml,https://2a.zol-img.com.cn/product/239_320x240/304/cePyoDka7cTE.jpg
1359442,高通骁龙480,2021年05月01日,6.5英寸,1600x720px,4800万像素,1300万像素,5000mAh,None,八核,8GB,http://detail.zol.com.cn/1360/1359442/param.shtml,https://2b.zol-img.com.cn/product/222_320x240/181/cem1CflZyFAqA.jpg
1425200,高通 骁龙695,2022年05月,6.6英寸需双手打字更多6.6英寸手机>,2400x1080px,5000万像素高清级像素高清像素手机>,1600万像素高清级像素高像素自拍手机>,5000mAh大电池大电池手机>,None,八核,8GB,http://detail.zol.com.cn/1426/1425200/param.shtml,https://2d.zol-img.com.cn/product/221_320x240/313/cezF2KPaE1rRk.jpg
1421648,高通骁龙8+Gen1,2022年08月11日,主：6.7英寸,主：2400×1080px,5000万像素,3200万像素,3500mAh,None,八核,8GB,http://detail.zol.com.cn/1422/1421648/param.shtml,https://2f.zol-img.com.cn/product/229_320x240/309/cedwh18F9nWqk.png
1423629,高通骁龙888+,2022年12月22日,6.55英寸,2400x1080px,5000万像素,3200万像素,4400mAh,None,None,12GB,http://detail.zol.com.cn/1424/1423629/param.shtml,https://2b.zol-img.com.cn/product/221_320x240/959/ceZV9F54xqsQ.jpg
1379770,高通骁龙778G,2021年08月10日,6.7英寸,2400x1080px,None,3200万像素,4020mAh,None,八核,8GB,http://detail.zol.com.cn/1380/1379770/param.shtml,https://2d.zol-img.com.cn/product/222_320x240/859/ce0B48sw6fC7E.jpg
1395326,高通骁龙480Plus,2021年11月,6.8英寸,2460x1080px,5000万像素,1300万像素,5000mAh,None,八核,8GB,http://detail.zol.com.cn/1396/1395326/param.shtml,https://2c.zol-img.com.cn/product/223_320x240/160/ceqmD88obfo3s.jpg
1437093,高通骁龙8Gen2,2022年12月22日,6.7英寸,2400x1080px,5000万像素,6000万像素,4600mAh,None,八核,12GB,http://detail.zol.com.cn/1438/1437093/param.shtml,https://2a.zol-img.com.cn/product/225_320x240/152/ceiPthI2Zv6ck.jpg
1396291,高通 骁龙695,2021年12月28日,6.43英寸需双手打字更多6.43英寸手机>,2400x1080像素,5000万像素高清级像素高清像素手机>,1600万像素高清级像素高像素自拍手机>,5000mAh大电池大电池手机>,None,八核,8GB,http://detail.zol.com.cn/1397/1396291/param.shtml,https://2c.zol-img.com.cn/product/217_320x240/524/ce0rVqE510sTs.jpg
1408326,高通骁龙8Gen1,2022年05月11日,6.7英寸,2400x1080px,5000万像素,6000万像素,5000mAh,None,八核,12GB,http://detail.zol.com.cn/1409/1408326/param.shtml,https://2d.zol-img.com.cn/product/221_320x240/913/ceq1IbqCmXiY.jpg
1424129,高通骁龙8+Gen1,2022年08月11日,6.67英寸,2400x1080px,None,6000万像素,4610mAh,None,八核,12GB,http://detail.zol.com.cn/1425/1424129/param.shtml,https://2a.zol-img.com.cn/product/221_320x240/760/cegbEYrZh0tqA.jpg
1395647,高通骁龙888Plus,2021年12月21日,6.8英寸,,None,1600万像素,5000mAh,None,八核,8GB,http://detail.zol.com.cn/1396/1395647/param.shtml,https://2e.zol-img.com.cn/product/220_320x240/344/ceW7Uf47HwGs.jpg
1381693,高通骁龙870,2021年08月10日,6.7英寸,,None,1600万像素,None,None,八核,8GB,http://detail.zol.com.cn/1382/1381693/param.shtml,https://2d.zol-img.com.cn/product/222_320x240/123/cep5aP6LDoopU.jpg
1399058,高通骁龙8Gen1,2022年03月17日,6.8英寸,2400x1080px,5000万像素,6000万像素,5000mAh,None,八核,12GB,http://detail.zol.com.cn/1400/1399058/param.shtml,https://2d.zol-img.com.cn/product/221_320x240/913/ceq1IbqCmXiY.jpg
1357758,高通骁龙870,2021年02月03日,6.7英寸,,6400万像素,1600万像素,5000mAh,None,八核,6GB,http://detail.zol.com.cn/1358/1357758/param.shtml,https://2f.zol-img.com.cn/product/210_320x240/289/ce4FAs2AqhDPc.jpg
1347137,高通骁龙750G,None,6.7英寸,,4800万像素,1600万像素,5000mAh,None,八核,None,http://detail.zol.com.cn/1348/1347137/param.shtml,https://2b.zol-img.com.cn/product/208_320x240/407/ceVSB00nD1KX6.jpg
1255312,高通骁龙636,2019年04月,6.24英寸,2280x1080像素,1600万像素,1200万像素,3000mAh,None,八核,4GB,http://detail.zol.com.cn/1256/1255312/param.shtml,https://2e.zol-img.com.cn/product/197_320x240/416/cei09eXUuM26I.jpg
1395648,高通骁龙888Plus,2021年12月21日,6.8英寸,,None,1600万像素,5000mAh,None,八核,12GB,http://detail.zol.com.cn/1396/1395648/param.shtml,https://2e.zol-img.com.cn/product/220_320x240/344/ceW7Uf47HwGs.jpg
1381696,高通骁龙778G,2021年08月10日,6.7英寸,2400x1080px,None,3200万像素,4020mAh,None,八核,8GB,http://detail.zol.com.cn/1382/1381696/param.shtml,https://2d.zol-img.com.cn/product/222_320x240/859/ce0B48sw6fC7E.jpg
1424135,高通骁龙8+Gen1,2022年08月11日,主：6.7英寸,主：2400×1080px,5000万像素,3200万像素,3500mAh,None,八核,12GB,http://detail.zol.com.cn/1425/1424135/param.shtml,https://2f.zol-img.com.cn/product/229_320x240/309/cedwh18F9nWqk.png
1330983,高通骁龙765G,2020年07月,6.4英寸,2520x1080px,4800万像素,1600万像素,5000mAh,None,八核,4GB,http://detail.zol.com.cn/1331/1330983/param.shtml,https://2c.zol-img.com.cn/product/224_320x240/240/cecSwwOGMBxM.jpg
1395645,高通骁龙8Gen1,2021年12月15日,6.7英寸,2400x1080px,5000万像素,6000万像素,5000mAh,None,八核,12GB,http://detail.zol.com.cn/1396/1395645/param.shtml,https://2d.zol-img.com.cn/product/221_320x240/913/ceq1IbqCmXiY.jpg
1648749,高通骁龙8+Gen1,2023年06月05日,主：6.9英寸,主：2640x1080px,1200万像素,3200万像素,3800mAh,None,八核,12GB,http://detail.zol.com.cn/1649/1648749/param.shtml,https://2c.zol-img.com.cn/product/239_320x240/310/cezBq8WcjJNv2.png
1424134,高通骁龙8+Gen1,2022年08月11日,主：6.7英寸,主：2400×1080px,5000万像素,3200万像素,3500mAh,None,八核,8GB,http://detail.zol.com.cn/1425/1424134/param.shtml,https://2f.zol-img.com.cn/product/229_320x240/309/cedwh18F9nWqk.png
1505519,None,,6.55英寸,2400x1080px,5000万像素,3200万像素,4400mAh,None,八核,8GB,http://detail.zol.com.cn/1506/1505519/param.shtml,https://2c.zol-img.com.cn/product/233_320x240/436/ce2M9OkynwnRk.jpg
1424139,高通骁龙888+,2022年12月22日,6.55英寸,2400x1080px,5000万像素,3200万像素,4400mAh,None,None,8GB,http://detail.zol.com.cn/1425/1424139/param.shtml,https://2b.zol-img.com.cn/product/221_320x240/959/ceZV9F54xqsQ.jpg
1267153,高通骁龙636,2019年04月,6.24英寸,2280x1080像素,1600万像素,1200万像素,3000mAh,None,八核,6GB,http://detail.zol.com.cn/1268/1267153/param.shtml,https://2e.zol-img.com.cn/product/197_320x240/416/cei09eXUuM26I.jpg
1424130,高通骁龙8+Gen1,2022年08月11日,6.67英寸,2400x1080px,None,6000万像素,4450mAh,None,八核,8GB,http://detail.zol.com.cn/1425/1424130/param.shtml,https://2a.zol-img.com.cn/product/221_320x240/760/cegbEYrZh0tqA.jpg
1381694,高通骁龙870,2021年08月10日,6.7英寸,,None,1600万像素,None,None,八核,6GB,http://detail.zol.com.cn/1382/1381694/param.shtml,https://2d.zol-img.com.cn/product/222_320x240/123/cep5aP6LDoopU.jpg
1437094,骁龙 八核5G,2022年12月15日,6.5英寸需双手打字更多6.5英寸手机>,1600x720px,5000万像素高清级像素高清像素手机>,800万像素普通级像素高像素自拍手机>,5000mAh大电池大电池手机>,None,八核,4GB,http://detail.zol.com.cn/1438/1437094/param.shtml,https://2a.zol-img.com.cn/product/225_320x240/918/ceuqnRR4wHilw.jpg
1395644,高通骁龙8Gen1,2021年12月15日,6.7英寸,2400x1080px,5000万像素,6000万像素,5000mAh,None,八核,8GB,http://detail.zol.com.cn/1396/1395644/param.shtml,https://2d.zol-img.com.cn/product/221_320x240/913/ceq1IbqCmXiY.jpg
1424138,高通骁龙888+,2022年12月22日,6.55英寸,2400x1080px,5000万像素,3200万像素,4400mAh,None,None,12GB,http://detail.zol.com.cn/1425/1424138/param.shtml,https://2b.zol-img.com.cn/product/221_320x240/959/ceZV9F54xqsQ.jpg
1437091,高通骁龙888+,2022年12月22日,6.55英寸,2400x1080px,5000万像素,3200万像素,4400mAh,None,None,12GB,http://detail.zol.com.cn/1438/1437091/param.shtml,https://2c.zol-img.com.cn/product/225_320x240/580/cekbV0M7HGCDI.png
1347135,高通骁龙662,None,6.8英寸,,6400万像素,1600万像素,6000mAh,None,八核,4GB,http://detail.zol.com.cn/1348/1347135/param.shtml,https://2e.zol-img.com.cn/product/208_320x240/374/ceJdMNy9XrnFE.jpg
1359265,高通骁龙662,None,None,None,6400万像素,1300万像素,None,None,八核,None,http://detail.zol.com.cn/1360/1359265/param.shtml,https://2b.zol-img.com.cn/product/210_320x240/117/ceLkBrVtooZDk.jpg
1795858,骁龙 八核5G,None,6.5英寸需双手打字更多6.5英寸手机>,1600x720px,5000万像素高清级像素高清像素手机>,800万像素普通级像素高像素自拍手机>,5000mAh大电池大电池手机>,None,八核,8GB,http://detail.zol.com.cn/1796/1795858/param.shtml,https://2a.zol-img.com.cn/product/247_320x240/488/ce2YlwuL6LCOo.jpg
1349222,高通骁龙460,None,6.5英寸,,4800万像素,None,5000mAh,None,八核,4GB,http://detail.zol.com.cn/1350/1349222/param.shtml,https://2d.zol-img.com.cn/product/209_320x240/809/cefi9Re3Dq6.jpg
1349209,联发科HelioG25,None,6.5英寸,,4800万像素,None,4000mAh,None,八核,2GB,http://detail.zol.com.cn/1350/1349209/param.shtml,https://2e.zol-img.com.cn/product/209_320x240/786/ceLScAfdPYaD6.jpg
1339297,高通骁龙675,None,6.81英寸,,6400万像素,None,5000mAh,None,八核,4GB,http://detail.zol.com.cn/1340/1339297/param.shtml,https://2b.zol-img.com.cn/product/207_320x240/239/ceFBmsQ58H0EY.jpg
1291755,联发科HelioP22,2019年,6.1英寸,,1300万像素,None,3000mAh,None,None,None,http://detail.zol.com.cn/1292/1291755/param.shtml,https://2d.zol-img.com.cn/product/201_320x240/833/ce1ir7HZUY0.jpg
1511684,高通骁龙7Gen1,2023年06月25日,主：6.9英寸,主：2640x1080px,6400万像素,3200万像素,4200mAh,None,八核,8GB,http://detail.zol.com.cn/1512/1511684/param.shtml,https://2a.zol-img.com.cn/product/239_320x240/304/cePyoDka7cTE.jpg
1857577,联发科 天玑7020,2023年09月5日,6.5英寸需双手打字更多6.5英寸手机>,1600x720px,5000万像素高清级像素高清像素手机>,1600万像素高清级像素高像素自拍手机>,5000mAh大电池大电池手机>,None,None,8GB,http://detail.zol.com.cn/1858/1857577/param.shtml,https://2a.zol-img.com.cn/product/250_320x240/784/ce3MOfPUu9fNY.jpg
