id,cpu,上市日期,主屏尺寸,主屏分辨率,后置摄像头,前置摄像头,电池容量,电池类型,核心数,内存,param_url,img_url
1971108,高通骁龙8Gen3,2024年01月12日,6.82英寸,3168x1440px,暂无数据,后置摄像头1,5000mAh,不可拆卸式电池,八核,12GB,http://detail.zol.com.cn/1972/1971108/param.shtml,None
1955910,联发科天玑9300,2024年01月12日,6.78英寸,2780x1264px,暂无数据,后置摄像头1,5000mAh,不可拆卸式电池,八核,12GB,http://detail.zol.com.cn/1956/1955910/param.shtml,None
1994643,联发科天玑7050,2024年4月19日,6.7英寸,2412x1080px,暂无数据,后置摄像头1,5000mAh,不可拆卸式电池,八核,8GB,http://detail.zol.com.cn/1995/1994643/param.shtml,None
1494542,高通骁龙8Gen2,None,7.82英寸需双手打字,2440x2268px4K超高清,4800万像素高清级像素,3200万像素高清级像素,4680mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1495/1494542/param.shtml,https://2c.zol-img.com.cn/product/254_320x240/834/ceNws6RHVXwjU.jpg
1788651,高通骁龙782G,None,6.7英寸需双手打字,2412x1080px1080P高清,5000万像素高清级像素,1600万像素高清级像素,5000mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1789/1788651/param.shtml,https://2f.zol-img.com.cn/product/249_320x240/777/ceNQXv48rVQ4I.png
1948894,联发科天玑8200,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1949/1948894/param.shtml,None
1433436,高通骁龙8+Gen1（降频版）,None,6.7英寸需双手打字,2412x1080px1080P高清,5000万像素高清级像素,3200万像素高清级像素,4700mAh大电池,None,None,16GB游戏运行良好,http://detail.zol.com.cn/1434/1433436/param.shtml,https://2c.zol-img.com.cn/product/225_320x240/546/ceXtZOQSoxj7M.jpg
1948895,高通骁龙8+Gen1,2023年11月25日,6.74英寸需双手打字,2772x1240px1080P高清,5000万像素高清级像素,3200万像素高清级像素,4700mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1949/1948895/param.shtml,https://2e.zol-img.com.cn/product/256_320x240/974/ce1ybBLdIN2g.jpg
1897137,联发科天玑7050,None,6.7英寸需双手打字,2412x1080px1080P高清,6400万像素高清级像素,1600万像素高清级像素,4870mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1898/1897137/param.shtml,https://2b.zol-img.com.cn/product/252_320x240/773/ceSS7Wg0TtIc.jpg
1972405,高通骁龙8Gen3,2024年01月12日,6.82英寸需双手打字,3168x1440px2K超清,5000万像素高清级像素,3200万像素高清级像素,5000mAh大电池,None,None,16GB游戏运行良好,http://detail.zol.com.cn/1973/1972405/param.shtml,https://2d.zol-img.com.cn/product/258_320x240/125/ce6fFI5F7BYM.png
1611438,高通骁龙695,None,6.72英寸需双手打字,2400x1080px1080P高清,1.08亿像素普通级像素,1600万像素高清级像素,5000mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1612/1611438/param.shtml,https://2f.zol-img.com.cn/product/238_320x240/941/ceNw0Cj9Om7c.png
1425427,联发科天玑9200,None,6.74英寸需双手打字,2772x1240px1080P高清,5000万像素高清级像素,3200万像素高清级像素,4800mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1426/1425427/param.shtml,https://2c.zol-img.com.cn/product/230_320x240/360/cexaG5M5PnBfc.png
1425497,高通骁龙8Gen2,None,6.82英寸需双手打字,3168x1440px2K超清,5000万像素高清级像素,3200万像素高清级像素,5000mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1426/1425497/param.shtml,https://2c.zol-img.com.cn/product/230_320x240/696/ceusXlmxcDjA.png
1438885,高通骁龙778G,None,6.7英寸需双手打字,2412x1080px1080P高清,6400万像素高清级像素,3200万像素高清级像素,4600mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1439/1438885/param.shtml,https://2f.zol-img.com.cn/product/238_320x240/473/ce34skaXnGts.jpg
1972404,高通骁龙8Gen3,2024年01月12日,6.82英寸需双手打字,3168x1440px2K超清,5000万像素高清级像素,3200万像素高清级像素,5000mAh大电池,None,None,16GB游戏运行良好,http://detail.zol.com.cn/1973/1972404/param.shtml,https://2d.zol-img.com.cn/product/258_320x240/125/ce6fFI5F7BYM.png
1935482,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1936/1935482/param.shtml,None
1966826,联发科天玑9200,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1967/1966826/param.shtml,None
1348585,高通骁龙870,None,6.7英寸需双手打字,3216x1440像素2K超清,5000万像素高清级像素,3200万像素高清级像素,4500mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1349/1348585/param.shtml,https://2e.zol-img.com.cn/product/211_320x240/104/ceaJuCS2G1DVc.jpg
1427782,高通骁龙695,2022年9月22日,6.59英寸需双手打字,2412x1080px1080P高清,6400万像素高清级像素,1600万像素高清级像素,5000mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1428/1427782/param.shtml,https://2e.zol-img.com.cn/product/222_320x240/446/cex3vjbhMa5t.jpg
1946976,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1947/1946976/param.shtml,None
1399645,联发科天玑8000-Max,None,6.59英寸需双手打字,2412x1080px1080P高清,6400万像素高清级像素,1600万像素高清级像素,5000mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1400/1399645/param.shtml,https://2a.zol-img.com.cn/product/246_320x240/606/ceLi844h2wbjY.png
1438886,联发科天玑8200,None,6.74英寸需双手打字,2772x1240px1080P高清,5000万像素高清级像素,3200万像素高清级像素,4600mAh大电池,None,None,16GB游戏运行良好,http://detail.zol.com.cn/1439/1438886/param.shtml,https://2c.zol-img.com.cn/product/238_320x240/458/ceJSoLisXvPQ.png
1363222,联发科天玑900,2021年06月05日,6.43英寸需双手打字,2400x1080px1080P高清,6400万像素高清级像素,3200万像素高清级像素,4300mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1364/1363222/param.shtml,https://2b.zol-img.com.cn/product/222_320x240/789/ceKD00XSB21fY.jpg
1438887,高通骁龙8+Gen1,None,6.74英寸需双手打字,2772x1240px1080P高清,5000万像素高清级像素,3200万像素高清级像素,4700mAh大电池,None,None,16GB游戏运行良好,http://detail.zol.com.cn/1439/1438887/param.shtml,https://2e.zol-img.com.cn/product/238_320x240/628/ceW7vCSpprLsA.jpg
1923518,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1924/1923518/param.shtml,https://2a.zol-img.com.cn/product/254_320x240/766/ceFd2Gmmfatx.png
1427748,高通骁龙778G,None,6.7英寸需双手打字,2412x1080px1080P高清,6400万像素高清级像素,3200万像素高清级像素,4500mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1428/1427748/param.shtml,https://2e.zol-img.com.cn/product/224_320x240/824/ceQPGTZ0IHqyQ.jpg
1383833,高通骁龙778G,None,6.43英寸需双手打字,2400x1080px1080P高清,6400万像素高清级像素,3200万像素高清级像素,4500mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1384/1383833/param.shtml,https://2b.zol-img.com.cn/product/246_320x240/691/ce6CvOLzKrHM.jpg
1320397,联发科天玑720,None,6.5英寸需双手打字,2400x1080px1080P高清,1600万像素高清级像素,800万像素普通级像素,4040mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1321/1320397/param.shtml,https://2d.zol-img.com.cn/product/222_320x240/11/ce3ngPJDbd1v2.jpg
1849601,联发科天玑9200,None,6.8英寸需双手打字,2520x1080px1080P高清,5000万像素高清级像素,3200万像素高清级像素,4300mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1850/1849601/param.shtml,https://2a.zol-img.com.cn/product/250_320x240/566/ceW13xOUUPnag.jpg
1336826,高通骁龙765G,2020年12月18日,6.43英寸需双手打字,2400x1080像素1080P高清,6400万像素高清级像素,3200万像素高清级像素,4300mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1337/1336826/param.shtml,https://2d.zol-img.com.cn/product/209_320x240/967/cex11UGcNlzkI.jpg
1398801,联发科天玑1300,2022年05月31日,6.43英寸需双手打字,2400x1080px1080P高清,5000万像素高清级像素,3200万像素高清级像素,4500mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1399/1398801/param.shtml,https://2d.zol-img.com.cn/product/229_320x240/387/cewwQcsgsCBjE.jpg
