id,cpu,上市日期,主屏尺寸,主屏分辨率,后置摄像头,前置摄像头,电池容量,电池类型,核心数,内存,param_url,img_url
1970772,联发科天玑9300,2023年12月30日,6.78英寸,2800x1260px,5000万像素,1600万像素,None,None,八核,12GB,http://detail.zol.com.cn/1971/1970772/param.shtml,https://2a.zol-img.com.cn/product/258_320x240/742/cejwrQUnlZAuA.jpg
1627566,高通骁龙8+Gen1（降频版）,2023年05月31日,6.78英寸,2800x1260px,5000万像素,1600万像素,None,None,八核,12GB,http://detail.zol.com.cn/1628/1627566/param.shtml,https://2c.zol-img.com.cn/product/238_320x240/812/ce8uzrI9TYw.jpg
1947957,高通骁龙8Gen3,2023年12月14日,6.78英寸,3200x1440px,5000万像素,1600万像素,None,None,八核,16GB,http://detail.zol.com.cn/1948/1947957/param.shtml,None
1431600,联发科天玑9000+,2022年10月31日,6.78英寸,,5000万像素,1600万像素,None,None,八核,8GB,http://detail.zol.com.cn/1432/1431600/param.shtml,https://2d.zol-img.com.cn/product/223_320x240/687/ce1EZPa66tVf2.jpg
1393994,高通骁龙870,2022年05月11日,6.62英寸,2400x1080px,6400万像素,1600万像素,4700mAh,None,八核,8GB,http://detail.zol.com.cn/1394/1393994/param.shtml,https://2b.zol-img.com.cn/product/219_320x240/679/cecYUd9alLoJQ.jpg
1350625,高通骁龙888,2021年01月15日,6.62英寸,,4800万像素,1600万像素,4000mAh,None,八核,12GB,http://detail.zol.com.cn/1351/1350625/param.shtml,https://2a.zol-img.com.cn/product/210_320x240/826/ceKDzbqsl5BUM.jpg
1412273,高通骁龙8+Gen1,2022年07月26日,6.78英寸,2400x1080px,5000万像素,1600万像素,None,None,八核,8GB,http://detail.zol.com.cn/1413/1412273/param.shtml,https://2e.zol-img.com.cn/product/221_320x240/578/celkiYjjRn0E.jpg
1386422,高通骁龙778G,2021年09月28日,6.67英寸,2400x1080px,6400万像素,1600万像素,5000mAh,None,八核,8GB,http://detail.zol.com.cn/1387/1386422/param.shtml,https://2a.zol-img.com.cn/product/238_320x240/534/ceaJ8i5J43s8Y.png
1355157,高通骁龙888,2021年08月24日,6.56英寸,,4800万像素,1600万像素,None,None,八核,12GB,http://detail.zol.com.cn/1356/1355157/param.shtml,https://2c.zol-img.com.cn/product/214_320x240/604/ceml45nbAsp.jpg
1369493,高通骁龙870,2021年06月01日,6.57英寸,2408x1080px,4800万像素,1600万像素,4500mAh,None,八核,8GB,http://detail.zol.com.cn/1370/1369493/param.shtml,https://2a.zol-img.com.cn/product/243_320x240/8/cebyLaoOopJ6.jpg
1390599,高通骁龙8Gen1,2022年04月20日,6.62英寸,2400x1080px,6400万像素,1600万像素,None,None,八核,8GB,http://detail.zol.com.cn/1391/1390599/param.shtml,https://2a.zol-img.com.cn/product/222_320x240/324/ce39SPGY7cGWY.jpg
1437735,高通骁龙8+Gen1,2023年01月05日,6.78英寸,2400x1080px,5000万像素,1600万像素,None,None,八核,8GB,http://detail.zol.com.cn/1438/1437735/param.shtml,https://2f.zol-img.com.cn/product/225_320x240/209/ceMFb0NnsOyY.jpg
1322500,联发科天玑1000+,2020年06月01日,6.57英寸,,4800万像素,1600万像素,4500mAh,None,八核,8GB,http://detail.zol.com.cn/1323/1322500/param.shtml,https://2b.zol-img.com.cn/product/205_320x240/903/ceEbdc0kahSMY.jpg
