id,cpu,上市日期,主屏尺寸,主屏分辨率,后置摄像头,前置摄像头,电池容量,电池类型,核心数,内存,param_url,img_url
1971540,高通骁龙8Gen2,2024年01月08日,6.78英寸,2780x1264px,5000万像素,1600万像素,None,None,八核,12GB,http://detail.zol.com.cn/1972/1971540/param.shtml,https://2c.zol-img.com.cn/product/258_320x240/752/ceZGUQ3gON7N2.jpg
1986536,高通骁龙7+Gen3,2023年03月25日,6.74英寸,2772x1240px,暂无数据,后置摄像头1,5500mAh,不可拆卸电池（双电芯）,八核,12GB,http://detail.zol.com.cn/1987/1986536/param.shtml,None
1508912,高通骁龙8Gen3,2023年12月11日,6.82英寸,3168x1440px,5000万像素,3200万像素,None,None,八核,12GB,http://detail.zol.com.cn/1509/1508912/param.shtml,https://2a.zol-img.com.cn/product/257_320x240/292/cemrvajxzXQO.jpg
1971541,高通骁龙8Gen2,2024年01月08日,6.78英寸,2780x1264px,5000万像素,1600万像素,None,None,八核,16GB,http://detail.zol.com.cn/1972/1971541/param.shtml,https://2c.zol-img.com.cn/product/258_320x240/752/ceZGUQ3gON7N2.jpg
1432523,高通骁龙8+Gen1,2023年02月13日,6.74英寸,2772x1240px,5000万像素,1600万像素,None,None,八核,12GB,http://detail.zol.com.cn/1433/1432523/param.shtml,https://2e.zol-img.com.cn/product/227_320x240/68/ceMsHI21Uky4.jpg
1968825,高通骁龙8Gen2,2024年01月08日,6.78英寸,2780x1264px,5000万像素,1600万像素,None,None,八核,16GB,http://detail.zol.com.cn/1969/1968825/param.shtml,https://2c.zol-img.com.cn/product/258_320x240/752/ceZGUQ3gON7N2.jpg
1508911,高通骁龙8Gen2,2023年8月23日,6.74英寸,2772x1240px,5000万像素,1600万像素,5000mAh,None,八核,12GB,http://detail.zol.com.cn/1509/1508911/param.shtml,https://2a.zol-img.com.cn/product/249_320x240/968/ceIJK9W4ejMww.jpg
1962163,高通骁龙8Gen3,2023年12月11日,6.82英寸,3168x1440px,5000万像素,3200万像素,None,None,八核,24GB,http://detail.zol.com.cn/1963/1962163/param.shtml,https://2a.zol-img.com.cn/product/257_320x240/292/cemrvajxzXQO.jpg
1962161,高通骁龙8Gen3,2023年12月11日,6.82英寸,3168x1440px,5000万像素,3200万像素,None,None,八核,16GB,http://detail.zol.com.cn/1963/1962161/param.shtml,https://2a.zol-img.com.cn/product/257_320x240/292/cemrvajxzXQO.jpg
1464856,联发科天玑9000,2023年03月13日,6.74英寸,2772x1240px,6400万像素,1600万像素,None,None,八核,12GB,http://detail.zol.com.cn/1465/1464856/param.shtml,https://2b.zol-img.com.cn/product/229_320x240/921/cedoPyVdNdvQ.jpg
