id,cpu,上市日期,主屏尺寸,主屏分辨率,后置摄像头,前置摄像头,电池容量,电池类型,核心数,内存,param_url,img_url
1383253,高通骁龙8Gen1,None,6.6英寸需双手打字,2340x1080px1080P高清,5000万像素高清级像素,1000万像素普通级像素,4500mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1384/1383253/param.shtml,https://2f.zol-img.com.cn/product/223_320x240/503/ceBziog3MDb4o.jpg
1348983,高通骁龙750G,None,6.5英寸需双手打字,2400x1080像素1080P高清,6400万像素高清级像素,3200万像素高清级像素,4500mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1349/1348983/param.shtml,https://2f.zol-img.com.cn/product/220_320x240/835/ceIafikw2xCg.jpg
1315023,高通骁龙865Plus,None,6.7英寸需双手打字,2400x1080px1080P高清,6400万像素高清级像素,1000万像素普通级像素,4300mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1316/1315023/param.shtml,https://2a.zol-img.com.cn/product/222_320x240/190/ce4UceB2IGLzU.jpg
1338631,高通骁龙865,None,6.5英寸需双手打字,2400x1080px1080P高清,1200万像素高清级像素,3200万像素高清级像素,4500mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1339/1338631/param.shtml,https://2c.zol-img.com.cn/product/222_320x240/258/ceX06r16HMjhM.jpg
1390597,高通骁龙888,2021年10月22日,7.6英寸需双手打字,2208x1768px2K超清,1200万像素高清级像素,1000万像素普通级像素,4400mAh大电池,None,None,16GB游戏运行良好,http://detail.zol.com.cn/1391/1390597/param.shtml,https://2c.zol-img.com.cn/product/221_320x240/996/ceXx6qk5uIe6w.jpg
1494622,三星Exynos1380,None,6.4英寸需双手打字,2340x1080px1080P高清,5000万像素高清级像素,3200万像素高清级像素,5000mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1495/1494622/param.shtml,https://2f.zol-img.com.cn/product/232_320x240/405/ceiiDrn6Kzcys.jpg
1300183,三星Exynos980,None,6.5英寸需双手打字,2400x1080像素1080P高清,4800万像素高清级像素,3200万像素高清级像素,4500mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1301/1300183/param.shtml,https://2e.zol-img.com.cn/product/208_320x240/898/ceS1A7q4mLTCc.jpg
1424046,高通骁龙8+Gen1,2022年09月02日,6.7英寸需双手打字,2640x1080px1080P高清,1200万像素高清级像素,1000万像素普通级像素,3700mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1425/1424046/param.shtml,https://2d.zol-img.com.cn/product/221_320x240/761/ceivt7PMDhrl2.jpg
1430379,高通骁龙8+Gen1,2022年10月28日,6.7英寸需双手打字,2640x1080px1080P高清,1200万像素高清级像素,1000万像素普通级像素,3700mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1431/1430379/param.shtml,https://2f.zol-img.com.cn/product/229_320x240/357/cefrAA69RQ96.png
1348063,高通骁龙888,None,6.7英寸需双手打字,2400x1080像素1080P高清,1200万像素高清级像素,1000万像素普通级像素,4800mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1349/1348063/param.shtml,https://2f.zol-img.com.cn/product/210_320x240/897/cefFHslelhxcU.jpg
1395983,三星Exynos1280,None,6.5英寸需双手打字,2400x1080像素1080P高清,6400万像素高清级像素,3200万像素高清级像素,5000mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1396/1395983/param.shtml,https://2e.zol-img.com.cn/product/218_320x240/134/cednIcnDbx5A.jpg
1301238,三星Exynos980,None,6.7英寸需双手打字,2400x1080像素1080P高清,6400万像素高清级像素,3200万像素高清级像素,4500mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1302/1301238/param.shtml,https://2f.zol-img.com.cn/product/204_320x240/293/ceJkU5RAdvlUk.jpg
1342805,高通骁龙865Plus,None,7.6英寸需双手打字,2208x1768像素2K超清,1200万像素高清级像素,1000万像素普通级像素,4390mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1343/1342805/param.shtml,https://2c.zol-img.com.cn/product/208_320x240/426/cehhAXzbS8aqY.jpg
1448934,高通骁龙8Gen2forGalaxy（4nm）,None,6.1英寸需双手打字,2340x1080px1080P高清,5000万像素高清级像素,1200万像素高清级像素,3900mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1449/1448934/param.shtml,https://2f.zol-img.com.cn/product/226_320x240/157/cePtVcCC2qW1.png
1448953,高通骁龙8Gen2forGalaxy（4nm）,None,6.8英寸需双手打字,3088x1440px2K超清,2亿像素普通级像素,1200万像素高清级像素,5000mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1449/1448953/param.shtml,https://2b.zol-img.com.cn/product/226_320x240/585/ceDU9ht1tt1HU.jpg
1292551,高通骁龙855Plus,None,7.3英寸需双手打字,2152x1536像素2K超清,1600万像素高清级像素,1000万像素普通级像素,4235mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1293/1292551/param.shtml,https://2e.zol-img.com.cn/product/220_320x240/372/ceL7RxvJLPmWs.jpg
1382507,高通骁龙888,None,6.7英寸需双手打字,2640x1080px1080P高清,1200万像素高清级像素,1000万像素普通级像素,3300mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1383/1382507/param.shtml,https://2d.zol-img.com.cn/product/222_320x240/13/cePYArPrfM7Dw.jpg
1398123,高通骁龙8Gen1,None,6.1英寸需双手打字,2340x1080px1080P高清,5000万像素高清级像素,1000万像素普通级像素,3700mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1399/1398123/param.shtml,https://2e.zol-img.com.cn/product/221_320x240/306/ce96FnOMdLLzE.jpg
1330789,高通骁龙865Plus,None,6.7英寸需双手打字,2636x1080像素1080P高清,1200万像素高清级像素,1000万像素普通级像素,3300mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1331/1330789/param.shtml,https://2d.zol-img.com.cn/product/206_320x240/369/ceOi4Pb9MFlAo.jpg
1796971,高通骁龙8Gen2forGalaxy（4nm）,None,7.6英寸需双手打字,2176x1812px2K超清,5000万像素高清级像素,1000万像素普通级像素,4400mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1797/1796971/param.shtml,https://2c.zol-img.com.cn/product/249_320x240/180/ce174Jz877To.jpg
1350533,高通骁龙888,None,6.7英寸需双手打字,2640x1080px1080P高清,1200万像素高清级像素,1000万像素普通级像素,3300mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1351/1350533/param.shtml,https://2d.zol-img.com.cn/product/222_320x240/13/cePYArPrfM7Dw.jpg
1347064,高通骁龙888,None,7.6英寸需双手打字,2208x1768px2K超清,1200万像素高清级像素,1000万像素普通级像素,4400mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1348/1347064/param.shtml,https://2d.zol-img.com.cn/product/224_320x240/109/cezzEDtggxxoA.jpg
1345628,高通骁龙888,None,6.8英寸需双手打字,3200x1440px2K超清,1200万像素高清级像素,4000万像素高清级像素,5000mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1346/1345628/param.shtml,https://2e.zol-img.com.cn/product/210_320x240/896/ceiBCSEf5TaTU.jpg
1326800,高通骁龙888,2021年01月29日,6.2英寸需双手打字,2400x1080像素1080P高清,1200万像素高清级像素,1000万像素普通级像素,4000mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1327/1326800/param.shtml,https://2a.zol-img.com.cn/product/210_320x240/856/ce258XWDJaHE.jpg
