id,cpu,上市日期,主屏尺寸,主屏分辨率,后置摄像头,前置摄像头,电池容量,电池类型,核心数,内存,param_url,img_url
1460949,高通骁龙8+Gen1,2023年06月18日,6.67英寸,2400x1080px,6400万像素,3200万像素,5000mAh,None,八核,12GB,http://detail.zol.com.cn/1461/1460949/param.shtml,https://2e.zol-img.com.cn/product/246_320x240/184/ce9RLlqB2DTR.png
1407799,高通骁龙8Gen1,2022年05月14日,6.8英寸,2480x1116px,6400万像素,1600万像素,5000mAh,None,八核,12GB,http://detail.zol.com.cn/1408/1407799/param.shtml,https://2c.zol-img.com.cn/product/219_320x240/124/ceBeQpZ87MXdc.jpg
1511687,紫光展锐 SC9863A,2023年04月,6.3英寸需双手打字更多6.3英寸手机>,暂无数据,500万像素普通级像素高清像素手机>,200万像素普通级像素高像素自拍手机>,5000mAh大电池大电池手机>,None,八核,4GB,http://detail.zol.com.cn/1512/1511687/param.shtml,https://2a.zol-img.com.cn/product/233_320x240/188/cerJD7DrUMJpY.jpg
1480300,紫光展锐 T760,,6.52英寸需双手打字更多6.52英寸手机>,1600x720px,1300万像素高清级像素高清像素手机>,500万像素普通级像素高像素自拍手机>,5000mAh大电池大电池手机>,None,八核,4GB,http://detail.zol.com.cn/1481/1480300/param.shtml,https://2f.zol-img.com.cn/product/231_320x240/497/ce7NXR9XDaz1.jpg
1369495,高通骁龙888,,6.67英寸,,6400万像素,1600万像素,4200mAh,None,八核,None,http://detail.zol.com.cn/1370/1369495/param.shtml,https://2d.zol-img.com.cn/product/212_320x240/209/ceFcYmt3ynWiE.jpg
1350200,高通骁龙768G,,6.67英寸,None,6400万像素,4400万像素,4200mAh,None,八核,None,http://detail.zol.com.cn/1351/1350200/param.shtml,https://2e.zol-img.com.cn/product/212_320x240/222/ceboYSzgZ4Ts.jpg
1407800,高通骁龙8Gen1,2022年05月14日,6.8英寸,2480x1116px,6400万像素,1600万像素,5000mAh,None,八核,12GB,http://detail.zol.com.cn/1408/1407800/param.shtml,https://2c.zol-img.com.cn/product/219_320x240/124/ceBeQpZ87MXdc.jpg
1994836,高通骁龙8+Gen1,,6.67英寸,2400x1080px,6400万像素,3200万像素,5000mAh,None,八核,12GB,http://detail.zol.com.cn/1995/1994836/param.shtml,https://2d.zol-img.com.cn/product/261_320x240/747/cebQrtNThGvsY.jpg
1368590,联发科天玑700,2021年05月09日,6.52英寸,None,1600万像素,None,4000mAh,None,八核,4GB,http://detail.zol.com.cn/1369/1368590/param.shtml,https://2f.zol-img.com.cn/product/213_320x240/509/ceWooIosfD7FI.jpg
1358222,高通骁龙888,2021年04月19日,6.67英寸,2400x1080px,6400万像素,1600万像素,4200mAh,None,八核,8GB,http://detail.zol.com.cn/1359/1358222/param.shtml,https://2e.zol-img.com.cn/product/222_320x240/390/ceSl1TLDKFo0k.jpg
1377113,高通骁龙870,2021年08月03日,6.92英寸,,6400万像素,1600万像素,4200mAh,None,八核,8GB,http://detail.zol.com.cn/1378/1377113/param.shtml,https://2d.zol-img.com.cn/product/214_320x240/991/ceGE1renrcNF2.jpg
1406889,高通骁龙870,2022年05月,6.67英寸,2400x1080px,None,1600万像素,5000mAh,None,八核,8GB,http://detail.zol.com.cn/1407/1406889/param.shtml,https://2b.zol-img.com.cn/product/220_320x240/759/cem1edq5dXtA.jpg
1424707,紫光展锐T760,2022年,6.52英寸,1600x720px,1300万像素,None,4000mAh,None,八核,4GB,http://detail.zol.com.cn/1425/1424707/param.shtml,https://2f.zol-img.com.cn/product/221_320x240/801/ceKleA7I5H6.jpg
1837859,紫光展锐T760,2023年8月8日,6.52英寸,1600x720px,1300万像素,None,4000mAh,None,八核,4GB,http://detail.zol.com.cn/1838/1837859/param.shtml,None
1315093,高通骁龙765G,2020年03月,6.47英寸,,6400万像素,2000万像素,4000mAh,None,八核,6GB,http://detail.zol.com.cn/1316/1315093/param.shtml,https://2e.zol-img.com.cn/product/204_320x240/612/cerh2d8uHdiE.jpg
1428711,高通骁龙870,2022年09月26日,6.92英寸,2460x1080px,6400万像素,1600万像素,4200mAh,None,八核,8GB,http://detail.zol.com.cn/1429/1428711/param.shtml,https://2d.zol-img.com.cn/product/222_320x240/943/ceRcQ46iERyeg.jpg
1416931,紫光展锐 SC9863A,,6.52英寸需双手打字更多6.52英寸手机>,1600x720像素,1300万像素高清级像素高清像素手机>,500万像素普通级像素高像素自拍手机>,5000mAh大电池大电池手机>,None,八核,4GB,http://detail.zol.com.cn/1417/1416931/param.shtml,https://2e.zol-img.com.cn/product/220_320x240/884/ceEXTqZDXkuMA.jpg
1315994,高通骁龙765G,2020年03月,6.47英寸,,6400万像素,2000万像素,4000mAh,None,八核,8GB,http://detail.zol.com.cn/1316/1315994/param.shtml,https://2c.zol-img.com.cn/product/204_320x240/646/ceT92gxTszJzc.jpg
1364980,联发科MTK天玑700,2021年03月30日,6.67英寸,,4800万像素,None,6000mAh,None,None,6GB,http://detail.zol.com.cn/1365/1364980/param.shtml,https://2a.zol-img.com.cn/product/221_320x240/702/ce7crkld7Mfbg.jpg
1406277,高通骁龙8Gen1,2022年05月14日,6.8英寸,2480x1116px,6400万像素,1600万像素,5000mAh,None,八核,8GB,http://detail.zol.com.cn/1407/1406277/param.shtml,https://2c.zol-img.com.cn/product/219_320x240/124/ceBeQpZ87MXdc.jpg
1366277,高通骁龙888,2021年04月19日,6.67英寸,,6400万像素,1600万像素,4600mAh,None,八核,12GB,http://detail.zol.com.cn/1367/1366277/param.shtml,https://2b.zol-img.com.cn/product/220_320x240/639/ceDUfLE8LjNzg.jpg
1838286,紫光展锐T760,2023年8月8日,6.52英寸,1600x720px,1300万像素,None,4000mAh,None,八核,6GB,http://detail.zol.com.cn/1839/1838286/param.shtml,None
1424708,紫光展锐T760,2022年,6.52英寸,1600x720px,1300万像素,None,4000mAh,None,八核,6GB,http://detail.zol.com.cn/1425/1424708/param.shtml,https://2f.zol-img.com.cn/product/221_320x240/801/ceKleA7I5H6.jpg
1405451,联发科 天玑810,2022年04月30日,6.67英寸需双手打字更多6.67英寸手机>,2400x1080px,4800万像素高清级像素高清像素手机>,800万像素普通级像素高像素自拍手机>,6000mAh大电池大电池手机>,None,八核,8GB,http://detail.zol.com.cn/1406/1405451/param.shtml,https://2c.zol-img.com.cn/product/224_320x240/334/ce7HwYxIcM.jpg
1775422,高通骁龙8+Gen1,2023年06月18日,6.67英寸,2400x1080px,6400万像素,3200万像素,5000mAh,None,八核,12GB,http://detail.zol.com.cn/1776/1775422/param.shtml,https://2e.zol-img.com.cn/product/246_320x240/184/ce9RLlqB2DTR.png
1430949,展讯 T7520,2023年05月,6.52英寸需双手打字更多6.52英寸手机>,1600x720px,1300万像素高清级像素高清像素手机>,500万像素普通级像素高像素自拍手机>,4000mAh大电池大电池手机>,None,八核,4GB,http://detail.zol.com.cn/1431/1430949/param.shtml,https://2e.zol-img.com.cn/product/235_320x240/564/ceecyCZT2vIg.jpg
1362813,高通骁龙768G,2021年04月03日,6.67英寸,,6400万像素,4400万像素,4200mAh,None,八核,8GB,http://detail.zol.com.cn/1363/1362813/param.shtml,https://2a.zol-img.com.cn/product/211_320x240/728/ce934nWfQbh0w.jpg
1405873,联发科 天玑700,2022年,6.52英寸需双手打字更多6.52英寸手机>,1600x720px,1300万像素高清级像素高清像素手机>,500万像素普通级像素高像素自拍手机>,4000mAh大电池大电池手机>,None,八核,6GB,http://detail.zol.com.cn/1406/1405873/param.shtml,https://2a.zol-img.com.cn/product/223_320x240/346/ce1AwEF6HdLg6.jpg
1335201,高通骁龙765G,2020年09月10日,6.92英寸,2460x1080px,6400万像素,3200万像素,4220mAh,None,八核,6GB,http://detail.zol.com.cn/1336/1335201/param.shtml,https://2a.zol-img.com.cn/product/223_320x240/970/ceqxlAuGxhDVE.jpg
1325161,联发科天玑800,2020年06月,6.53英寸,2340x1080px,4800万像素,1600万像素,4000mAh,None,八核,6GB,http://detail.zol.com.cn/1326/1325161/param.shtml,https://2f.zol-img.com.cn/product/222_320x240/821/cefjVN7Mutmc.jpg
1465646,高通骁龙8Gen1,,6.67英寸,,6400万像素,4400万像素,5000mAh,None,八核,8GB,http://detail.zol.com.cn/1466/1465646/param.shtml,https://2a.zol-img.com.cn/product/229_320x240/16/ceWZNqCVjxUhI.jpg
1409013,高通骁龙870,2022年05月,6.67英寸,,6400万像素,4400万像素,5000mAh,None,八核,8GB,http://detail.zol.com.cn/1410/1409013/param.shtml,https://2c.zol-img.com.cn/product/219_320x240/138/cegB3K6trqrAE.jpg
1405468,联发科 天玑700,2022年,6.52英寸需双手打字更多6.52英寸手机>,1600x720px,1300万像素高清级像素高清像素手机>,500万像素普通级像素高像素自拍手机>,4000mAh大电池大电池手机>,None,八核,4GB,http://detail.zol.com.cn/1406/1405468/param.shtml,https://2a.zol-img.com.cn/product/223_320x240/346/ce1AwEF6HdLg6.jpg
1430951,联发科天玑810,2022年10月21日,6.67英寸,2400x1080px,6400万像素,1600万像素,4510mAh,None,八核,8GB,http://detail.zol.com.cn/1431/1430951/param.shtml,https://2d.zol-img.com.cn/product/223_320x240/761/cePoJBdmI6Nxo.jpg
1372586,紫光展锐,2021年05月,6.82英寸需双手打字更多6.82英寸手机>,暂无数据,1600万像素高清级像素高清像素手机>,800万像素普通级像素高像素自拍手机>,5000mAh大电池大电池手机>,None,None,4GB,http://detail.zol.com.cn/1373/1372586/param.shtml,https://2f.zol-img.com.cn/product/223_320x240/343/ceoj7TgQOrfNU.jpg
1363367,联发科天玑720,2021年04月03日,6.67英寸,,6400万像素,1600万像素,4000mAh,None,八核,8GB,http://detail.zol.com.cn/1364/1363367/param.shtml,https://2b.zol-img.com.cn/product/211_320x240/97/cefY1SlMHiAmQ.jpg
1297045,联发科HelioP60,2019年10月,6.49英寸,,1600万像素,None,5000mAh,None,None,4GB,http://detail.zol.com.cn/1298/1297045/param.shtml,https://2e.zol-img.com.cn/product/202_320x240/254/cezPSujJPS8HA.jpg
