id,cpu,上市日期,主屏尺寸,主屏分辨率,后置摄像头,前置摄像头,电池容量,电池类型,核心数,内存,param_url,img_url
1167004,联发科 Helio X23（MT6797D）,2017年04月14日,5.5英寸可单手打字更多5.5英寸手机>,1920x1080像素,1300万像素高清级像素高清像素手机>,800万像素普通级像素高像素自拍手机>,4000mAh大电池大电池手机>,None,十核,4GB,http://detail.zol.com.cn/1168/1167004/param.shtml,https://2c.zol-img.com.cn/product/182_320x240/938/ceCAbZYdvmY0c.jpg
1167356,联发科 Helio X20,2017年03月,5.5英寸可单手打字更多5.5英寸手机>,1920x1080像素,2100万像素高清级像素高清像素手机>,800万像素普通级像素高像素自拍手机>,3000mAh小电池大电池手机>,None,十核,4GB,http://detail.zol.com.cn/1168/1167356/param.shtml,https://2d.zol-img.com.cn/product/179_320x240/67/ceiwdiWkwOOFQ.jpg
1167364,联发科 Helio X20,2016年12月26日,5.5英寸可单手打字更多5.5英寸手机>,1920x1080像素,1600万像素高清级像素高清像素手机>,800万像素普通级像素高像素自拍手机>,3000mAh小电池大电池手机>,None,十核,3GB,http://detail.zol.com.cn/1168/1167364/param.shtml,https://2d.zol-img.com.cn/product/179_320x240/67/ceiwdiWkwOOFQ.jpg
1167931,高通 骁龙820（MSM8996）,2017年03月,5.5英寸可单手打字更多5.5英寸手机>,1920x1080像素,1600万像素高清级像素高清像素手机>,800万像素普通级像素高像素自拍手机>,4070mAh大电池大电池手机>,None,None,6GB,http://detail.zol.com.cn/1168/1167931/param.shtml,https://2d.zol-img.com.cn/product/176_320x240/749/ceb2lPJQN7rMA.jpg
1168869,联发科 Helio X27（MT6797X）,2017年04月14日,5.5英寸可单手打字更多5.5英寸手机>,1920x1080像素,1300万像素高清级像素高清像素手机>,800万像素普通级像素高像素自拍手机>,4000mAh大电池大电池手机>,None,十核,4GB,http://detail.zol.com.cn/1169/1168869/param.shtml,https://2b.zol-img.com.cn/product/182_320x240/703/ceItDITNyv5A.jpg
1138147,联发科 Helio X10（MT6795）,2015年10月,5.5英寸可单手打字更多5.5英寸手机>,1920x1080像素,1300万像素高清级像素高清像素手机>,500万像素普通级像素高像素自拍手机>,3000mAh小电池大电池手机>,None,None,3GB,http://detail.zol.com.cn/1139/1138147/param.shtml,https://2e.zol-img.com.cn/product/166_320x240/522/cey4RnMQQvMo.jpg
1440444,紫光展锐 虎贲T7510,2023年01月17日,6.5英寸需双手打字更多6.5英寸手机>,1600x720px,1300万像素高清级像素高清像素手机>,500万像素普通级像素高像素自拍手机>,5000mAh大电池大电池手机>,None,八核,8GB,http://detail.zol.com.cn/1441/1440444/param.shtml,https://2e.zol-img.com.cn/product/226_320x240/700/ceue4FDXTVOtY.jpg
1437168,紫光展锐 虎贲T610,2022年11月23日,6.5英寸需双手打字更多6.5英寸手机>,1560x720px,800万像素普通级像素高清像素手机>,500万像素普通级像素高像素自拍手机>,4000mAh大电池大电池手机>,None,四核,4GB,http://detail.zol.com.cn/1438/1437168/param.shtml,https://2a.zol-img.com.cn/product/225_320x240/574/ceCZPxoGlP.jpg
1389756,紫光展锐虎贲T7510,2021年09月30日,6.53英寸,1600x720px,4800万像素,None,4900mAh,None,八核,8GB,http://detail.zol.com.cn/1390/1389756/param.shtml,https://2a.zol-img.com.cn/product/222_320x240/808/ceEfr8aGjNMuw.jpg
1411868,紫光展锐 虎贲T310,,6.5英寸需双手打字更多6.5英寸手机>,1560x720px,800万像素普通级像素高清像素手机>,500万像素普通级像素高像素自拍手机>,4000mAh大电池大电池手机>,None,四核,4GB,http://detail.zol.com.cn/1412/1411868/param.shtml,https://2b.zol-img.com.cn/product/220_320x240/377/ceox9hxjkoO6.jpg
1437170,紫光展锐 虎贲T610,2022年11月23日,6.5英寸需双手打字更多6.5英寸手机>,1560x720px,800万像素普通级像素高清像素手机>,500万像素普通级像素高像素自拍手机>,4000mAh大电池大电池手机>,None,四核,6GB,http://detail.zol.com.cn/1438/1437170/param.shtml,https://2a.zol-img.com.cn/product/225_320x240/574/ceCZPxoGlP.jpg
