id,cpu,上市日期,主屏尺寸,主屏分辨率,后置摄像头,前置摄像头,电池容量,电池类型,核心数,内存,param_url,img_url
1986304,None,2024年04月22日,6.6英寸,2760x1256px,5000万像素,1300万像素,4900mAh,None,None,12GB,http://detail.zol.com.cn/1987/1986304/param.shtml,https://2f.zol-img.com.cn/product/262_320x240/913/cej0DWBCXMQcI.jpg
1427336,海思麒麟9000s,2023年9月,6.69英寸,2688x1216px,5000万像素,1300万像素,4750mAh,None,None,12GB,http://detail.zol.com.cn/1428/1427336/param.shtml,https://2a.zol-img.com.cn/product/250_320x240/758/cebaPrDQJHJI.jpg
1427338,海思麒麟9000s,,6.82英寸,2720x1260px,5000万像素,1300万像素,5000mAh,None,None,12GB,http://detail.zol.com.cn/1428/1427338/param.shtml,https://2b.zol-img.com.cn/product/250_320x240/669/ceG6sM5L3qWzM.jpg
1355562,高通骁龙8+4G,2023年03月30日,6.67英寸,,4800万像素,1300万像素,4815mAh,None,八核,8GB,http://detail.zol.com.cn/1356/1355562/param.shtml,https://2e.zol-img.com.cn/product/230_320x240/170/ceTKzkDrBitBg.jpg
1355563,高通骁龙8+4G,2023年03月30日,6.67英寸,2700x1220px,4800万像素,1300万像素,4815mAh,None,八核,8GB,http://detail.zol.com.cn/1356/1355563/param.shtml,https://2c.zol-img.com.cn/product/230_320x240/40/cevjh5tfpaSeA.jpg
1955909,None,2024年01月05日,6.7英寸,2412x1084px,5000万像素,6000万像素,4600mAh,None,None,None,http://detail.zol.com.cn/1956/1955909/param.shtml,https://2f.zol-img.com.cn/product/258_320x240/35/ceN9B8HCATWI.jpg
1857454,海思麒麟9000s,,6.82英寸,2720x1260px,5000万像素,1300万像素,5000mAh,None,None,12GB,http://detail.zol.com.cn/1858/1857454/param.shtml,https://2b.zol-img.com.cn/product/250_320x240/669/ceG6sM5L3qWzM.jpg
1999701,None,2024年04月18日,6.8英寸,2844x1260px,5000万像素,1300万像素,5200mAh,None,None,16GB,http://detail.zol.com.cn/2000/1999701/param.shtml,https://2a.zol-img.com.cn/product/262_320x240/830/ceUHomYJRqE4I.jpg
1969404,None,2024年01月05日,6.76英寸,2776x1224px,5000万像素,6000万像素,4600mAh,None,None,None,http://detail.zol.com.cn/1970/1969404/param.shtml,https://2a.zol-img.com.cn/product/258_320x240/940/cexfxb8QFWgtc.jpg
1972397,高通 骁龙680,2024年01月08日,6.7英寸需双手打字更多6.7英寸手机>,2388x1080px,1.08亿像素普通级像素高清像素手机>,800万像素普通级像素高像素自拍手机>,5000mAh大电池大电池手机>,None,八核,暂无数据,http://detail.zol.com.cn/1973/1972397/param.shtml,https://2d.zol-img.com.cn/product/258_320x240/665/ceY714y9piNbQ.jpg
1972399,None,2024年01月08日,6.75英寸,1600x720px,5000万像素,None,6000mAh,None,None,None,http://detail.zol.com.cn/1973/1972399/param.shtml,https://2a.zol-img.com.cn/product/258_320x240/710/ce4hb4NJkHxM.jpg
1857626,None,2023年9月8日,主：7.85英寸,主：2496x2224px,5000万像素,None,5060mAh,None,None,12GB,http://detail.zol.com.cn/1858/1857626/param.shtml,https://2c.zol-img.com.cn/product/250_320x240/368/cehajlR91XEPc.jpg
1337287,海思麒麟9000,2020年10月30日,6.76英寸,2772x1344px,5000万像素,1300万像素,4400mAh,None,八核,8GB,http://detail.zol.com.cn/1338/1337287/param.shtml,https://2e.zol-img.com.cn/product/221_320x240/824/ce9cIvKpsUs.jpg
1951375,None,None,6.69英寸,2688x1216px,5000万像素,1300万像素,4750mAh,None,None,12GB,http://detail.zol.com.cn/1952/1951375/param.shtml,None
1505460,高通 骁龙680,2023年04月26日,6.95英寸需双手打字更多6.95英寸手机>,2376x1080px,5000万像素高清级像素高清像素手机>,800万像素普通级像素高像素自拍手机>,7000mAh大电池大电池手机>,None,八核,8GB,http://detail.zol.com.cn/1506/1505460/param.shtml,https://2f.zol-img.com.cn/product/233_320x240/11/ceJ92wVHuKkvU.png
1494687,高通骁龙680,2023年10月31日,6.67英寸,2400x1080px,None,3200万像素,4500mAh,None,八核,None,http://detail.zol.com.cn/1495/1494687/param.shtml,https://2b.zol-img.com.cn/product/255_320x240/131/ceAYc4kdaZoqk.jpg
1960083,None,2024年01月12日,6.76英寸,2776x1224px,5000万像素,6000万像素,4600mAh,None,None,None,http://detail.zol.com.cn/1961/1960083/param.shtml,https://2f.zol-img.com.cn/product/258_320x240/993/ceurvyRf1yG4I.jpg
1315874,海思麒麟9905G,2020年04月08日,6.58英寸,2640x1200px,5000万像素,3200万像素,4200mAh,None,八核,8GB,http://detail.zol.com.cn/1316/1315874/param.shtml,https://2c.zol-img.com.cn/product/222_320x240/714/cetnRGz07W81c.jpg
