id,cpu,上市日期,主屏尺寸,主屏分辨率,后置摄像头,前置摄像头,电池容量,电池类型,核心数,内存,param_url,img_url
1145130,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1146/1145130/param.shtml,https://2a.zol-img.com.cn/product/188_320x240/778/ceBdIDI9Y59bo.jpg
244775,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/245/244775/param.shtml,https://2b.zol-img.com.cn/product/56_320x240/61/cejBZ2JGAniiE.jpg
1145444,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1146/1145444/param.shtml,https://2d.zol-img.com.cn/product/176_320x240/501/cenpYLUSd6Sw.jpg
1146513,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1147/1146513/param.shtml,https://2e.zol-img.com.cn/product/173_320x240/16/cesuLv62Intlg.jpg
1146812,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1147/1146812/param.shtml,https://2c.zol-img.com.cn/product/173_320x240/194/ceNeptYm2d7f.jpg
36735,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/37/36735/param.shtml,https://2b.zol-img.com.cn/product/3_320x240/121/cevMOqFcVc0kQ.jpg
1202776,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1203/1202776/param.shtml,https://2c.zol-img.com.cn/product/188_320x240/566/ce5WdYRdM5X.jpg
1171024,高通 骁龙425（MSM8917）,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1172/1171024/param.shtml,https://2f.zol-img.com.cn/product/185_320x240/459/ceMH5ti8aEspg.jpg
1170613,高通 骁龙425（MSM8917）,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1171/1170613/param.shtml,https://2e.zol-img.com.cn/product/185_320x240/236/ce29EZG76PyVU.jpg
398299,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/399/398299/param.shtml,https://2a.zol-img.com.cn/product/147_320x240/700/ce6jZBegZf9s.jpg
398313,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/399/398313/param.shtml,https://2a.zol-img.com.cn/product/147_320x240/700/ce6jZBegZf9s.jpg
398428,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/399/398428/param.shtml,https://2a.zol-img.com.cn/product/147_320x240/700/ce6jZBegZf9s.jpg
338323,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/339/338323/param.shtml,https://2b.zol-img.com.cn/product/99_320x240/721/ceimBOxooUWV2.jpg
369056,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/370/369056/param.shtml,https://2f.zol-img.com.cn/product/185_320x240/847/ceznSOR0ZTnvg.jpg
369057,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/370/369057/param.shtml,https://2b.zol-img.com.cn/product/135_320x240/163/cebjsmYXrKo7k.jpg
369058,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/370/369058/param.shtml,https://2e.zol-img.com.cn/product/135_320x240/670/ceEvTkaMhFMLs.jpg
1331598,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1332/1331598/param.shtml,https://2a.zol-img.com.cn/product/207_320x240/800/ceVOQqsWewAdw.jpg
404158,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/405/404158/param.shtml,https://2c.zol-img.com.cn/product/165_320x240/822/ce7EQDR4aM0rI.jpg
1511397,高通骁龙8Gen2,None,5.9英寸可单手打字,2400x1080px1080P高清,5000万像素高清级像素,3200万像素高清级像素,4300mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1512/1511397/param.shtml,https://2a.zol-img.com.cn/product/247_320x240/870/ceWrWzb3W54Qk.jpg
1982655,高通骁龙8Gen2,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1983/1982655/param.shtml,None
1363551,高通骁龙888,None,5.9英寸可单手打字,2400x1080px1080P高清,6400万像素高清级像素,1200万像素高清级像素,4000mAh大电池,None,None,8GB/16GB游戏运行良好,http://detail.zol.com.cn/1364/1363551/param.shtml,https://2f.zol-img.com.cn/product/222_320x240/505/ceTnrCcV4d3QQ.jpg
1794051,高通骁龙8Gen2,None,5.9英寸可单手打字,2400x1080px1080P高清,5000万像素高清级像素,3200万像素高清级像素,4300mAh大电池,None,None,16GB游戏运行良好,http://detail.zol.com.cn/1795/1794051/param.shtml,https://2a.zol-img.com.cn/product/247_320x240/870/ceWrWzb3W54Qk.jpg
1419998,高通骁龙8+Gen1,None,5.9英寸可单手打字,2400x1080px1080P高清,5000万像素高清级像素,1200万像素高清级像素,4300mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1420/1419998/param.shtml,https://2b.zol-img.com.cn/product/221_320x240/61/cegcqeW7loOSQ.jpg
1794050,高通骁龙8Gen2,None,5.9英寸可单手打字,2400x1080px1080P高清,5000万像素高清级像素,3200万像素高清级像素,4300mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1795/1794050/param.shtml,https://2a.zol-img.com.cn/product/247_320x240/870/ceWrWzb3W54Qk.jpg
1363548,高通骁龙888,None,6.67英寸需双手打字,2400x1080px1080P高清,6400万像素高清级像素,1200万像素高清级像素,5000mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1364/1363548/param.shtml,https://2f.zol-img.com.cn/product/225_320x240/943/ce55wPvNVSOQ.jpg
1423543,高通骁龙8+Gen1,None,5.9英寸可单手打字,2400x1080px1080P高清,5000万像素高清级像素,1200万像素高清级像素,4300mAh大电池,None,None,16GB游戏运行良好,http://detail.zol.com.cn/1424/1423543/param.shtml,https://2b.zol-img.com.cn/product/221_320x240/61/cegcqeW7loOSQ.jpg
1423542,高通骁龙8+Gen1,None,5.9英寸可单手打字,2400x1080px1080P高清,5000万像素高清级像素,1200万像素高清级像素,4300mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1424/1423542/param.shtml,https://2b.zol-img.com.cn/product/221_320x240/61/cegcqeW7loOSQ.jpg
1359445,None,None,None,None,None,None,None,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1360/1359445/param.shtml,https://2f.zol-img.com.cn/product/210_320x240/893/ceMvxn7LdZ36.jpg
1265080,高通骁龙660,None,6.26英寸需双手打字,2340x1080像素1080P高清,1300万像素高清级像素,1600万像素高清级像素,5000mAh大电池,None,None,4GB游戏运行良好,http://detail.zol.com.cn/1266/1265080/param.shtml,https://2e.zol-img.com.cn/product/197_320x240/248/cevO5wsQ96cxQ.jpg
1263464,高通骁龙SiP1,None,6.26英寸需双手打字,2246x1080像素1080P高清,800万像素普通级像素,800万像素普通级像素,4000mAh大电池,None,None,4GB游戏运行良好,http://detail.zol.com.cn/1264/1263464/param.shtml,https://2b.zol-img.com.cn/product/196_320x240/371/ceChSPRCixos.jpg
1266564,高通骁龙855,None,5.6英寸可单手打字,None,None,None,None,None,None,None,http://detail.zol.com.cn/1267/1266564/param.shtml,https://2c.zol-img.com.cn/product/197_320x240/728/ceX4SBPFxjvkw.jpg
