id,cpu,上市日期,主屏尺寸,主屏分辨率,后置摄像头,前置摄像头,电池容量,电池类型,核心数,内存,param_url,img_url
1830124,联发科G99,None,5.05英寸可单手打字,1520x720px720P普清,800万像素普通级像素,500万像素普通级像素,2500mAh小电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1831/1830124/param.shtml,https://2e.zol-img.com.cn/product/249_320x240/806/celm9XF5pimHQ.jpg
1422109,联发科HelioG85,2022年07月26日,3.54英寸可单手打字,960x640px720P普清,800万像素普通级像素,200万像素普通级像素,2150mAh小电池,None,None,4GB游戏运行良好,http://detail.zol.com.cn/1423/1422109/param.shtml,https://2a.zol-img.com.cn/product/221_320x240/836/cea5FOvz7UWg.jpg
1382908,None,None,2.8英寸可单手打字,480x640像素720P普清,500万像素普通级像素,200万像素普通级像素,2120mAh小电池,None,None,4GB游戏运行良好,http://detail.zol.com.cn/1383/1382908/param.shtml,https://2b.zol-img.com.cn/product/235_320x240/435/cevtYynLO4GC.jpg
1382924,None,None,2.8英寸可单手打字,480x640像素720P普清,500万像素普通级像素,200万像素普通级像素,2120mAh小电池,None,None,3GB游戏运行良好,http://detail.zol.com.cn/1383/1382924/param.shtml,https://2b.zol-img.com.cn/product/235_320x240/435/cevtYynLO4GC.jpg
1310029,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1311/1310029/param.shtml,https://2c.zol-img.com.cn/product/222_320x240/948/ceEXRWWGujyek.jpg
1310024,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1311/1310024/param.shtml,https://2d.zol-img.com.cn/product/203_320x240/209/cesQ1eWb7Pq4.jpg
1282784,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1283/1282784/param.shtml,https://2f.zol-img.com.cn/product/199_320x240/117/cepbjPl2Bgyu2.jpg
1282790,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1283/1282790/param.shtml,https://2d.zol-img.com.cn/product/199_320x240/241/ceT57TtZYNI6c.jpg
1282788,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1283/1282788/param.shtml,https://2b.zol-img.com.cn/product/199_320x240/209/ceYuM5NPWP44E.jpg
1353311,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1354/1353311/param.shtml,https://2f.zol-img.com.cn/product/209_320x240/849/ce3NivuYPK9k.jpg
1282786,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1283/1282786/param.shtml,https://2e.zol-img.com.cn/product/199_320x240/164/ceZaWJXbcJom2.jpg
