id,cpu,上市日期,主屏尺寸,主屏分辨率,后置摄像头,前置摄像头,电池容量,电池类型,核心数,内存,param_url,img_url
1441059,高通骁龙8Gen3,2023年10月31日,6.36英寸,2670x1200px,5000万像素,3200万像素,4610mAh,None,八核,8GB,http://detail.zol.com.cn/1442/1441059/param.shtml,https://2d.zol-img.com.cn/product/254_320x240/275/ceD1VtJRwazrg.png
1814425,高通骁龙8Gen3,2024年02月27日,6.73英寸,3200x1440px,5000万像素,3200万像素,None,None,八核,12GB,http://detail.zol.com.cn/1815/1814425/param.shtml,https://2d.zol-img.com.cn/product/259_320x240/149/ceuMfrC6radJA.png
1427190,高通骁龙8Gen2,2022年12月14日,6.36英寸,2400x1080px,5400万像素,3200万像素,None,None,八核,8GB,http://detail.zol.com.cn/1428/1427190/param.shtml,https://2f.zol-img.com.cn/product/225_320x240/485/ceXshZaotrUZI.jpg
1441061,高通骁龙8Gen3,2023年10月31日,6.73英寸,3200x1440px,5000万像素,3200万像素,None,None,八核,12GB,http://detail.zol.com.cn/1442/1441061/param.shtml,https://2a.zol-img.com.cn/product/254_320x240/368/ceQxENXjc516A.jpg
1935691,高通骁龙8Gen3,2023年10月31日,6.73英寸,3200x1440px,5000万像素,3200万像素,None,None,八核,16GB,http://detail.zol.com.cn/1936/1935691/param.shtml,https://2a.zol-img.com.cn/product/254_320x240/368/ceQxENXjc516A.jpg
1990780,高通骁龙8SGen3,2024年03月26日,6.55英寸,2750x1236px,5000万像素,3200万像素,None,None,八核,12GB,http://detail.zol.com.cn/1991/1990780/param.shtml,https://2b.zol-img.com.cn/product/260_320x240/379/celNlM95booQc.jpg
1935690,高通骁龙8Gen3,2023年10月31日,6.36英寸,2670x1200px,5000万像素,3200万像素,4610mAh,None,八核,16GB,http://detail.zol.com.cn/1936/1935690/param.shtml,None
1935689,高通骁龙8Gen3,2023年10月31日,6.36英寸,2670x1200px,5000万像素,3200万像素,4610mAh,None,八核,16GB,http://detail.zol.com.cn/1936/1935689/param.shtml,None
1935692,高通骁龙8Gen3,2023年10月31日,6.73英寸,3200x1440px,5000万像素,3200万像素,None,None,八核,16GB,http://detail.zol.com.cn/1936/1935692/param.shtml,https://2a.zol-img.com.cn/product/254_320x240/368/ceQxENXjc516A.jpg
1411903,高通骁龙8+Gen1,2022年07月06日,6.28英寸,2400x1080px,5000万像素,3200万像素,4500mAh,None,八核,8GB,http://detail.zol.com.cn/1412/1411903/param.shtml,https://2b.zol-img.com.cn/product/220_320x240/721/ceaTw3CxLYyuI.jpg
1982925,高通骁龙8Gen3,2024年02月27日,6.73英寸,3200x1440px,5000万像素,3200万像素,None,None,八核,16GB,http://detail.zol.com.cn/1983/1982925/param.shtml,https://2d.zol-img.com.cn/product/259_320x240/149/ceuMfrC6radJA.png
1935688,高通骁龙8Gen3,2023年10月31日,6.36英寸,2670x1200px,5000万像素,3200万像素,4610mAh,None,八核,12GB,http://detail.zol.com.cn/1936/1935688/param.shtml,None
1362006,高通骁龙870,2021年03月12日,6.67英寸,,None,2000万像素,4780mAh,None,八核,8GB,http://detail.zol.com.cn/1363/1362006/param.shtml,https://2b.zol-img.com.cn/product/211_320x240/971/cedUy2rHonFng.jpg
1359446,高通骁龙888,2021年04月02日,6.81英寸,,5000万像素,2000万像素,None,None,八核,12GB,http://detail.zol.com.cn/1360/1359446/param.shtml,https://2b.zol-img.com.cn/product/211_320x240/809/cer6HgoXLATx6.jpg
1342500,高通骁龙888,2021年01月01日,6.81英寸,,None,2000万像素,None,None,八核,8GB,http://detail.zol.com.cn/1343/1342500/param.shtml,https://2b.zol-img.com.cn/product/210_320x240/801/cedIUBB2JOumk.jpg
1429270,高通骁龙8Gen2,2022年12月14日,6.73英寸,3200x1440px,5000万像素,3200万像素,None,None,八核,8GB,http://detail.zol.com.cn/1430/1429270/param.shtml,https://2f.zol-img.com.cn/product/225_320x240/557/ceJJORJ89JfZo.png
1436273,高通骁龙8Gen2,2022年12月14日,6.36英寸,2400x1080px,5400万像素,3200万像素,None,None,八核,12GB,http://detail.zol.com.cn/1437/1436273/param.shtml,https://2f.zol-img.com.cn/product/225_320x240/485/ceXshZaotrUZI.jpg
1303453,高通骁龙865,2020年02月,6.67英寸,2340x1080px,None,2000万像素,None,None,八核,8GB,http://detail.zol.com.cn/1304/1303453/param.shtml,https://2d.zol-img.com.cn/product/223_320x240/473/ceoeyWHxM2VzM.jpg
1371752,高通骁龙8Gen1,2021年12月31日,6.28英寸,2400x1080px,5000万像素,3200万像素,None,None,八核,8GB,http://detail.zol.com.cn/1372/1371752/param.shtml,https://2c.zol-img.com.cn/product/246_320x240/248/cek0kBtjIdkwI.png
1460919,联发科天玑8200-Ultra,2023年05月31日,6.55英寸,2400x1080px,5000万像素,3200万像素,None,None,八核,12GB,http://detail.zol.com.cn/1461/1460919/param.shtml,https://2e.zol-img.com.cn/product/238_320x240/846/cePG4QcOYb6NE.png
1982924,高通骁龙8Gen3,2024年02月27日,6.73英寸,3200x1440px,5000万像素,3200万像素,None,None,八核,16GB,http://detail.zol.com.cn/1983/1982924/param.shtml,https://2d.zol-img.com.cn/product/259_320x240/149/ceuMfrC6radJA.png
1371748,高通骁龙8+Gen1,2022年07月08日,6.73英寸,3200x1440px,5000万像素,3200万像素,4860mAh,None,八核,8GB,http://detail.zol.com.cn/1372/1371748/param.shtml,https://2c.zol-img.com.cn/product/220_320x240/740/ce5YYsllypgo.jpg
1513122,高通骁龙8Gen2,2023年04月21日,6.73英寸,,5000万像素,3200万像素,None,None,八核,16GB,http://detail.zol.com.cn/1514/1513122/param.shtml,https://2c.zol-img.com.cn/product/233_320x240/706/ceLgHOdSIWOQs.png
1295280,高通骁龙888Plus,2021年08月16日,6.67英寸,2400x1080px,None,2000万像素,None,None,八核,12GB,http://detail.zol.com.cn/1296/1295280/param.shtml,https://2d.zol-img.com.cn/product/222_320x240/615/ceh1cpRGbv7qs.jpg
1400705,高通骁龙778GPlus,2022年04月21日,6.55英寸,2400x1080px,6400万像素,3200万像素,None,None,八核,8GB,http://detail.zol.com.cn/1401/1400705/param.shtml,https://2c.zol-img.com.cn/product/246_320x240/14/cegqDYEcNayEA.png
1436274,高通骁龙8Gen2,2022年12月14日,6.36英寸,2400x1080px,5400万像素,3200万像素,None,None,八核,12GB,http://detail.zol.com.cn/1437/1436274/param.shtml,https://2f.zol-img.com.cn/product/225_320x240/485/ceXshZaotrUZI.jpg
1371912,高通骁龙8Gen1,2021年12月31日,6.73英寸,3200x1440px,5000万像素,3200万像素,None,None,八核,8GB,http://detail.zol.com.cn/1372/1371912/param.shtml,https://2d.zol-img.com.cn/product/223_320x240/81/ce7cF7epwIL6A.jpg
1411925,高通骁龙8+Gen1,2022年07月06日,6.73英寸,3200x1440px,5000万像素,3200万像素,None,None,八核,8GB,http://detail.zol.com.cn/1412/1411925/param.shtml,https://2d.zol-img.com.cn/product/220_320x240/729/ce8AGwxKVacQ.jpg
1427191,高通骁龙8Gen2,2023年04月21日,6.73英寸,,5000万像素,3200万像素,None,None,八核,16GB,http://detail.zol.com.cn/1428/1427191/param.shtml,https://2c.zol-img.com.cn/product/233_320x240/706/ceLgHOdSIWOQs.png
1347136,高通骁龙888,2021年04月02日,6.81英寸,,5000万像素,2000万像素,None,None,八核,8GB,http://detail.zol.com.cn/1348/1347136/param.shtml,https://2a.zol-img.com.cn/product/211_320x240/670/ceIMWhUpcvKdg.jpg
1395108,高通骁龙870,2021年12月31日,6.28英寸,2400x1080px,5000万像素,3200万像素,None,None,八核,8GB,http://detail.zol.com.cn/1396/1395108/param.shtml,https://2c.zol-img.com.cn/product/246_320x240/122/ceF1wGn55Ffmg.png
1460897,高通骁龙8Gen2（领先版）,2023年8月16日,主：8.03英寸,主：2160x1916px,5000万像素,2000万像素,4800mAh,None,八核,12GB,http://detail.zol.com.cn/1461/1460897/param.shtml,https://2e.zol-img.com.cn/product/249_320x240/746/cefmw6uGOjxDU.png
1842765,高通骁龙8Gen2（领先版）,2023年8月16日,主：8.03英寸,主：2160x1916px,5000万像素,2000万像素,4800mAh,None,八核,16GB,http://detail.zol.com.cn/1843/1842765/param.shtml,None
1356946,高通骁龙780G,2021年04月16日,6.55英寸,,6400万像素,2000万像素,None,None,八核,8GB,http://detail.zol.com.cn/1357/1356946/param.shtml,https://2d.zol-img.com.cn/product/211_320x240/811/ceec6bqg0KPLA.jpg
1991835,高通骁龙8SGen3,2024年03月26日,6.55英寸,2750x1236px,5000万像素,3200万像素,None,None,八核,16GB,http://detail.zol.com.cn/1992/1991835/param.shtml,https://2b.zol-img.com.cn/product/260_320x240/379/celNlM95booQc.jpg
1334432,高通骁龙865,2020年08月16日,6.67英寸,2340x1080px,4800万像素,2000万像素,None,None,八核,8GB,http://detail.zol.com.cn/1335/1334432/param.shtml,https://2d.zol-img.com.cn/product/225_320x240/723/ceIkn1askxdi.jpg
1311008,高通骁龙865,2020年02月18日,6.67英寸,,None,2000万像素,None,None,八核,8GB,http://detail.zol.com.cn/1312/1311008/param.shtml,https://2e.zol-img.com.cn/product/204_320x240/752/ce1tQJL7hbzH.jpg
1436272,高通骁龙8Gen2,2022年12月14日,6.36英寸,2400x1080px,5400万像素,3200万像素,None,None,八核,8GB,http://detail.zol.com.cn/1437/1436272/param.shtml,https://2f.zol-img.com.cn/product/225_320x240/485/ceXshZaotrUZI.jpg
1418084,高通骁龙8+Gen1,2022年07月08日,6.73英寸,3200x1440px,5000万像素,3200万像素,4860mAh,None,八核,12GB,http://detail.zol.com.cn/1419/1418084/param.shtml,https://2c.zol-img.com.cn/product/220_320x240/740/ce5YYsllypgo.jpg
1386981,高通骁龙778G,2021年09月30日,6.55英寸,2400x1080px,6400万像素,3200万像素,None,None,八核,8GB,http://detail.zol.com.cn/1387/1386981/param.shtml,https://2d.zol-img.com.cn/product/222_320x240/935/cemJK2hROyis.jpg
1395588,高通骁龙8+Gen1,2022年08月16日,主：8.02英寸,主：2160x1914px,5000万像素,2000万像素,4500mAh,None,八核,12GB,http://detail.zol.com.cn/1396/1395588/param.shtml,https://2d.zol-img.com.cn/product/221_320x240/657/ceOkGQFPDHfE2.jpg
1935693,高通骁龙8Gen3,2023年10月31日,6.73英寸,3200x1440px,5000万像素,3200万像素,None,None,八核,16GB,http://detail.zol.com.cn/1936/1935693/param.shtml,https://2b.zol-img.com.cn/product/254_320x240/375/ceXXrjH7sNPFg.png
1993842,高通骁龙8Gen3,2023年10月31日,6.73英寸,3200x1440px,5000万像素,3200万像素,None,None,八核,16GB,http://detail.zol.com.cn/1994/1993842/param.shtml,https://2c.zol-img.com.cn/product/260_320x240/850/ceQZmje4LCh0Q.png
1321201,高通骁龙765G,2020年04月30日,6.57英寸,2400x1080px,4800万像素,1600万像素,None,None,八核,8GB,http://detail.zol.com.cn/1322/1321201/param.shtml,https://2e.zol-img.com.cn/product/223_320x240/564/ce6pWnlentgI.jpg
1991834,高通骁龙8SGen3,2024年03月26日,6.55英寸,2750x1236px,5000万像素,3200万像素,None,None,八核,12GB,http://detail.zol.com.cn/1992/1991834/param.shtml,https://2b.zol-img.com.cn/product/260_320x240/379/celNlM95booQc.jpg
1436277,高通骁龙8Gen2,2022年12月14日,6.73英寸,3200x1440px,5000万像素,3200万像素,None,None,八核,12GB,http://detail.zol.com.cn/1437/1436277/param.shtml,https://2f.zol-img.com.cn/product/225_320x240/557/ceJJORJ89JfZo.png
1396283,高通骁龙870,2021年12月31日,6.28英寸,2400x1080px,5000万像素,3200万像素,None,None,八核,8GB,http://detail.zol.com.cn/1397/1396283/param.shtml,https://2c.zol-img.com.cn/product/246_320x240/122/ceF1wGn55Ffmg.png
1629062,联发科天玑8200-Ultra,2023年05月31日,6.55英寸,2400x1080px,5000万像素,3200万像素,None,None,八核,12GB,http://detail.zol.com.cn/1630/1629062/param.shtml,https://2e.zol-img.com.cn/product/238_320x240/846/cePG4QcOYb6NE.png
