id,cpu,上市日期,主屏尺寸,主屏分辨率,后置摄像头,前置摄像头,电池容量,电池类型,核心数,内存,param_url,img_url
1296891,高通骁龙439,None,5.84英寸可单手打字,1440x720像素720P普清,1300万像素高清级像素,500万像素普通级像素,4000mAh大电池,None,None,4GB游戏运行良好,http://detail.zol.com.cn/1297/1296891/param.shtml,https://2d.zol-img.com.cn/product/202_320x240/717/ce17a4T6s2OA.jpg
1325402,展锐虎贲T610,None,5.84英寸可单手打字,None,1300万像素高清级像素,500万像素普通级像素,4000mAh大电池,None,None,4GB游戏运行良好,http://detail.zol.com.cn/1326/1325402/param.shtml,https://2f.zol-img.com.cn/product/221_320x240/327/ceqsHeDBAmlF.jpg
1407676,高通骁龙662,2022年06月06日,6.1英寸需双手打字,None,1300万像素高清级像素,500万像素普通级像素,4000mAh大电池,None,None,4GB游戏运行良好,http://detail.zol.com.cn/1408/1407676/param.shtml,https://2e.zol-img.com.cn/product/219_320x240/102/ces4XeWmYBUfo.jpg
1353088,展锐虎贲T7510,None,6.7英寸需双手打字,1800x900像素720P普清,1600万像素高清级像素,500万像素普通级像素,4770mAh大电池,None,None,6GB游戏运行良好,http://detail.zol.com.cn/1354/1353088/param.shtml,https://2e.zol-img.com.cn/product/209_320x240/692/ceCGj0uJFJBMw.jpg
1353068,展锐虎贲T7510,None,6.7英寸需双手打字,1800x900像素720P普清,1600万像素高清级像素,500万像素普通级像素,4770mAh大电池,None,None,6GB游戏运行良好,http://detail.zol.com.cn/1354/1353068/param.shtml,https://2a.zol-img.com.cn/product/209_320x240/676/ceqQmC9FDZA.jpg
1297530,高通骁龙660,None,6.53英寸需双手打字,2340x1080像素1080P高清,2400万像素高清级像素,2000万像素高清级像素,3800mAh大电池,None,None,6GB游戏运行良好,http://detail.zol.com.cn/1298/1297530/param.shtml,https://2d.zol-img.com.cn/product/202_320x240/747/ceMyyyfsRCoV6.jpg
1325424,展锐虎贲T610,None,5.84英寸可单手打字,None,1300万像素高清级像素,500万像素普通级像素,4000mAh大电池,None,None,6GB游戏运行良好,http://detail.zol.com.cn/1326/1325424/param.shtml,https://2f.zol-img.com.cn/product/221_320x240/327/ceqsHeDBAmlF.jpg
1281708,紫光展锐虎贲T310,None,6.22英寸需双手打字,2340x1080像素1080P高清,1300万像素高清级像素,800万像素普通级像素,4010mAh大电池,None,None,6GB游戏运行良好,http://detail.zol.com.cn/1282/1281708/param.shtml,https://2b.zol-img.com.cn/product/200_320x240/707/ceF0wAnsvdY1g.jpg
1320758,高通骁龙439,None,5.84英寸可单手打字,None,1300万像素高清级像素,500万像素普通级像素,4000mAh大电池,None,None,4GB游戏运行良好,http://detail.zol.com.cn/1321/1320758/param.shtml,https://2e.zol-img.com.cn/product/205_320x240/300/cedgafZdAgYYc.jpg
1297716,高通骁龙439,None,5.84英寸可单手打字,1440x720像素720P普清,1300万像素高清级像素,500万像素普通级像素,4000mAh大电池,None,None,4GB游戏运行良好,http://detail.zol.com.cn/1298/1297716/param.shtml,https://2d.zol-img.com.cn/product/202_320x240/717/ce17a4T6s2OA.jpg
