id,cpu,上市日期,主屏尺寸,主屏分辨率,后置摄像头,前置摄像头,电池容量,电池类型,核心数,内存,param_url,img_url
1994507,高通骁龙7+Gen3,2023年04月17日,6.78英寸,2780x1264px,暂无数据,后置摄像头1,5500mAh,不可拆卸式电池（双电芯）,八核,8GB,http://detail.zol.com.cn/1995/1994507/param.shtml,None
1935239,高通骁龙8Gen3,2023年12月14日,6.78英寸,2780x1264px,5000万像素,3200万像素,None,None,八核,12GB,http://detail.zol.com.cn/1936/1935239/param.shtml,https://2f.zol-img.com.cn/product/257_320x240/279/ceAw0d05iyno.jpg
1610866,高通骁龙8Gen2,None,6.74英寸,2772x1240px,5000万像素,1600万像素,None,None,八核,8GB,http://detail.zol.com.cn/1611/1610866/param.shtml,https://2b.zol-img.com.cn/product/247_320x240/261/ceCad9VMbNh6M.jpg
1972473,高通第二代骁龙7s,2023年03月01日,6.7英寸,2412x1080px,6400万像素,3200万像素,5000mAh,None,None,8GB,http://detail.zol.com.cn/1973/1972473/param.shtml,https://2e.zol-img.com.cn/product/259_320x240/810/cea2dxHy06Qg.jpg
1336165,联发科天玑1000+,2020年09月07日,6.55英寸,,6400万像素,3200万像素,None,None,八核,8GB,http://detail.zol.com.cn/1337/1336165/param.shtml,https://2f.zol-img.com.cn/product/207_320x240/893/ceLMmT8Er87SE.jpg
1461200,高通骁龙7+Gen2,2023年04月10日,6.74英寸,2772x1240px,6400万像素,1600万像素,None,None,八核,8GB,http://detail.zol.com.cn/1462/1461200/param.shtml,https://2c.zol-img.com.cn/product/232_320x240/306/ce48sdunqy416.jpg
1432524,高通骁龙8+Gen1（降频版）,2023年02月15日,6.74英寸,2772x1240px,5000万像素,1600万像素,None,None,八核,8GB,http://detail.zol.com.cn/1433/1432524/param.shtml,https://2e.zol-img.com.cn/product/228_320x240/878/cektgtYeMmyt2.jpg
1962520,高通骁龙8Gen3,2023年12月14日,6.78英寸,2780x1264px,5000万像素,3200万像素,None,None,八核,16GB,http://detail.zol.com.cn/1963/1962520/param.shtml,https://2f.zol-img.com.cn/product/257_320x240/279/ceAw0d05iyno.jpg
1856215,高通骁龙8Gen2,2023年09月04日,6.74英寸,2772x1240px,5000万像素,1600万像素,5240mAh,None,八核,12GB,http://detail.zol.com.cn/1857/1856215/param.shtml,https://2c.zol-img.com.cn/product/250_320x240/208/ce0rO5EsWay0g.jpg
1962519,高通骁龙8Gen3,2023年12月14日,6.78英寸,2780x1264px,5000万像素,3200万像素,None,None,八核,16GB,http://detail.zol.com.cn/1963/1962519/param.shtml,https://2f.zol-img.com.cn/product/257_320x240/279/ceAw0d05iyno.jpg
1962521,高通骁龙8Gen3,2023年12月14日,6.78英寸,2780x1264px,5000万像素,3200万像素,None,None,八核,16GB,http://detail.zol.com.cn/1963/1962521/param.shtml,https://2f.zol-img.com.cn/product/257_320x240/279/ceAw0d05iyno.jpg
1486865,联发科天玑7050,2023年05月15日,6.7英寸,2412x1080px,None,3200万像素,None,None,八核,12GB,http://detail.zol.com.cn/1487/1486865/param.shtml,https://2f.zol-img.com.cn/product/237_320x240/195/ceKSYXedyH2XY.jpg
1983821,高通第二代骁龙7s,2023年03月01日,6.7英寸,2412x1080px,6400万像素,3200万像素,5000mAh,None,None,12GB,http://detail.zol.com.cn/1984/1983821/param.shtml,https://2e.zol-img.com.cn/product/259_320x240/810/cea2dxHy06Qg.jpg
1438332,高通骁龙8Gen1,,6.7英寸,2412x1080px,5000万像素,1600万像素,None,None,八核,8GB,http://detail.zol.com.cn/1439/1438332/param.shtml,https://2c.zol-img.com.cn/product/225_320x240/964/cecycC8IAXT22.jpg
1455389,联发科 天玑700,2023年02月,6.5英寸需双手打字更多6.5英寸手机>,1600x720px,1300万像素高清级像素高清像素手机>,500万像素普通级像素高像素自拍手机>,5000mAh大电池大电池手机>,None,八核,6GB,http://detail.zol.com.cn/1456/1455389/param.shtml,https://2e.zol-img.com.cn/product/227_320x240/240/ceUxQTYPrag0s.jpg
1457604,高通骁龙8+Gen1（降频版）,2023年02月15日,6.74英寸,2772x1240px,5000万像素,1600万像素,None,None,八核,12GB,http://detail.zol.com.cn/1458/1457604/param.shtml,https://2e.zol-img.com.cn/product/228_320x240/878/cektgtYeMmyt2.jpg
1857427,高通骁龙8Gen2,2023年09月04日,6.74英寸,2772x1240px,5000万像素,1600万像素,5240mAh,None,八核,16GB,http://detail.zol.com.cn/1858/1857427/param.shtml,https://2c.zol-img.com.cn/product/250_320x240/208/ce0rO5EsWay0g.jpg
1378437,高通骁龙870,2021年07月27日,6.55英寸,,5000万像素,3200万像素,None,None,八核,12GB,http://detail.zol.com.cn/1379/1378437/param.shtml,https://2a.zol-img.com.cn/product/214_320x240/840/ce67I8XiSIseg.jpg
1426863,高通 骁龙695,2022年11月24日,6.72英寸需双手打字更多6.72英寸手机>,2400x1080px,1.08亿像素普通级像素高清像素手机>,1600万像素高清级像素高像素自拍手机>,5000mAh大电池大电池手机>,None,八核,8GB,http://detail.zol.com.cn/1427/1426863/param.shtml,https://2d.zol-img.com.cn/product/233_320x240/251/cejaw2t12Al8s.jpg
1983820,高通第二代骁龙7s,2023年03月01日,6.7英寸,2412x1080px,6400万像素,3200万像素,5000mAh,None,None,12GB,http://detail.zol.com.cn/1984/1983820/param.shtml,https://2e.zol-img.com.cn/product/259_320x240/810/cea2dxHy06Qg.jpg
1486861,联发科天玑6020,2023年06月01日,6.43英寸,2400x1080px,6400万像素,None,5000mAh,None,八核,8GB,http://detail.zol.com.cn/1487/1486861/param.shtml,https://2f.zol-img.com.cn/product/237_320x240/381/ceu265fNw7WV.jpg
1994923,高通骁龙7+Gen3,2023年04月17日,6.78英寸,2780x1264px,5000万像素,3200万像素,None,None,八核,12GB,http://detail.zol.com.cn/1995/1994923/param.shtml,https://2f.zol-img.com.cn/product/262_320x240/441/cePV9UNCv3D8M.png
1627169,高通骁龙8+Gen1（降频版）,2023年05月,6.74英寸,2772x1240px,5000万像素,1600万像素,None,None,八核,16GB,http://detail.zol.com.cn/1628/1627169/param.shtml,https://2e.zol-img.com.cn/product/228_320x240/878/cektgtYeMmyt2.jpg
1972472,第一代骁龙6移动平台,2023年02月27日,6.7英寸,2412x1080px,3200万像素,1600万像素,5000mAh,None,八核,8GB,http://detail.zol.com.cn/1973/1972472/param.shtml,https://2a.zol-img.com.cn/product/259_320x240/920/ceNwMfs0Dvpk2.jpg
1495242,高通骁龙7+Gen2,2023年04月10日,6.74英寸,2772x1240px,6400万像素,1600万像素,None,None,八核,16GB,http://detail.zol.com.cn/1496/1495242/param.shtml,https://2c.zol-img.com.cn/product/232_320x240/306/ce48sdunqy416.jpg
1385371,高通骁龙870,2021年09月27日,6.62英寸,2400x1080px,6400万像素,1600万像素,None,None,八核,8GB,http://detail.zol.com.cn/1386/1385371/param.shtml,https://2a.zol-img.com.cn/product/222_320x240/234/ceryyZDBi0qSo.jpg
1361741,联发科天玑1200,2021年04月08日,6.43英寸,,6400万像素,1600万像素,None,None,八核,8GB,http://detail.zol.com.cn/1362/1361741/param.shtml,https://2e.zol-img.com.cn/product/211_320x240/256/ceK5i8z47SO36.jpg
1395998,联发科天玑8100,2022年3月30日,6.7英寸,2412x1080px,5000万像素,1600万像素,None,None,八核,8GB,http://detail.zol.com.cn/1396/1395998/param.shtml,https://2e.zol-img.com.cn/product/219_320x240/806/cepPvFUC2nQJY.jpg
1495241,高通骁龙7+Gen2,2023年04月10日,6.74英寸,2772x1240px,6400万像素,1600万像素,None,None,八核,12GB,http://detail.zol.com.cn/1496/1495241/param.shtml,https://2c.zol-img.com.cn/product/232_320x240/306/ce48sdunqy416.jpg
