id,cpu,上市日期,主屏尺寸,主屏分辨率,后置摄像头,前置摄像头,电池容量,电池类型,核心数,内存,param_url,img_url
1553637,高通骁龙8Gen2,None,6.1英寸,2520x1080px,1200万像素,1200万像素,5000mAh,None,八核,8GB,http://detail.zol.com.cn/1554/1553637/param.shtml,https://2f.zol-img.com.cn/product/250_320x240/315/ceN7fy6l8sY.png
1375380,高通骁龙888,2021年12月06日,6.5英寸,3840x1644px,1220万像素,None,4500mAh,None,八核,12GB,http://detail.zol.com.cn/1376/1375380/param.shtml,https://2b.zol-img.com.cn/product/222_320x240/733/cebeUklBIRGFQ.jpg
1553635,高通骁龙8Gen2,2023年06月03日,6.5英寸,3840x1644px,4800万像素,1200万像素,5000mAh,None,八核,12GB,http://detail.zol.com.cn/1554/1553635/param.shtml,https://2c.zol-img.com.cn/product/238_320x240/332/ceEDFyehssGs.png
1366963,高通骁龙888,2021年12月01日,6.1英寸,2520x1080px,1200万像素,None,4500mAh,None,八核,8GB,http://detail.zol.com.cn/1367/1366963/param.shtml,https://2c.zol-img.com.cn/product/222_320x240/670/cepkJEcUxafw.jpg
1610468,高通骁龙8Gen2,2023年06月03日,6.5英寸,3840x1644px,4800万像素,1200万像素,5000mAh,None,八核,12GB,http://detail.zol.com.cn/1611/1610468/param.shtml,https://2c.zol-img.com.cn/product/238_320x240/332/ceEDFyehssGs.png
1399410,高通骁龙8Gen1,2022年,6.5英寸,3840x1644px,1200万像素,1200万像素,5000mAh,None,八核,12GB,http://detail.zol.com.cn/1400/1399410/param.shtml,https://2d.zol-img.com.cn/product/219_320x240/965/ceXg8nT4Tt2dw.png
1410320,高通骁龙8Gen1,2022年,6.5英寸,3840x1644px,1200万像素,1200万像素,5000mAh,None,八核,12GB,http://detail.zol.com.cn/1411/1410320/param.shtml,https://2d.zol-img.com.cn/product/219_320x240/965/ceXg8nT4Tt2dw.png
1772479,高通骁龙8Gen2,,6.5英寸,3840x1644px,1220万像素,None,4500mAh,None,八核,12GB,http://detail.zol.com.cn/1773/1772479/param.shtml,https://2b.zol-img.com.cn/product/246_320x240/741/cewRpSi7JGkKs.jpg
1357124,高通骁龙888,2021年06月,6.5英寸,,1200万像素,None,4500mAh,None,八核,12GB,http://detail.zol.com.cn/1358/1357124/param.shtml,https://2f.zol-img.com.cn/product/212_320x240/381/ceR0gT8T8OVK.jpg
1425904,高通骁龙8Gen1,2022年10月20日,6.1英寸,2520x1080px,1200万像素,1200万像素,5000mAh,None,八核,8GB,http://detail.zol.com.cn/1426/1425904/param.shtml,https://2f.zol-img.com.cn/product/223_320x240/285/ceJIcOLBFIFgo.png
1367249,高通骁龙888,None,6.5英寸,,1200万像素,None,4500mAh,None,八核,12GB,http://detail.zol.com.cn/1368/1367249/param.shtml,https://2f.zol-img.com.cn/product/212_320x240/381/ceR0gT8T8OVK.jpg
1408298,高通骁龙695,,6英寸,2520x1080px,1200万像素,None,5000mAh,None,八核,6GB,http://detail.zol.com.cn/1409/1408298/param.shtml,https://2a.zol-img.com.cn/product/219_320x240/298/cexe4Hn1Rn1Ms.jpg
1258015,高通骁龙636,2019年04月,6.5英寸,,1200万像素,None,2930mAh,None,八核,6GB,http://detail.zol.com.cn/1259/1258015/param.shtml,https://2c.zol-img.com.cn/product/196_320x240/358/cetDD1jFitl2I.jpg
1357119,高通骁龙690,None,6英寸,,1200万像素,None,4500mAh,None,八核,6GB,http://detail.zol.com.cn/1358/1357119/param.shtml,https://2b.zol-img.com.cn/product/210_320x240/891/ceIaQB6zPHcI.jpg
1357783,高通骁龙865,2021年01月,6.5英寸,,1200万像素,None,4000mAh,None,八核,6GB,http://detail.zol.com.cn/1358/1357783/param.shtml,https://2c.zol-img.com.cn/product/210_320x240/958/ce6lZvedTorEY.jpg
1362357,高通骁龙690,,5.5英寸,2160x1080像素,1300万像素,None,2700mAh,None,八核,None,http://detail.zol.com.cn/1363/1362357/param.shtml,https://2f.zol-img.com.cn/product/211_320x240/835/ceR0VFcS81lg.jpg
1317234,高通骁龙665,2020年05月20日,6英寸,2520x1080px,1200万像素,None,3600mAh,None,八核,4GB,http://detail.zol.com.cn/1318/1317234/param.shtml,https://2c.zol-img.com.cn/product/225_320x240/802/ceA4H9vZA2t.jpg
1290911,高通骁龙855,2019年,6.1英寸,,1200万像素,None,3000mAh,None,None,6GB,http://detail.zol.com.cn/1291/1290911/param.shtml,https://2d.zol-img.com.cn/product/201_320x240/905/ce1yH6W0RC0s.jpg
1230387,None,2018年,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1231/1230387/param.shtml,https://2b.zol-img.com.cn/product/192_320x240/941/ce5rDiPMn9goY.jpg
1295300,高通骁龙630,2019年10月09日,6英寸,,1200万像素,None,2760mAh,None,八核,4GB,http://detail.zol.com.cn/1296/1295300/param.shtml,https://2f.zol-img.com.cn/product/201_320x240/995/cemtU5rxb3YEE.jpg
1249799,高通骁龙636,2019年,6英寸,,1900万像素,1300万像素,3800mAh,None,八核,6GB,http://detail.zol.com.cn/1250/1249799/param.shtml,https://2e.zol-img.com.cn/product/195_320x240/370/ceb7cXPGMvHjU.jpg
1159575,联发科 Helio P20,None,5.5英寸可单手打字更多5.5英寸手机>,1920x1080像素,2300万像素高清级像素高清像素手机>,1600万像素高清级像素高像素自拍手机>,暂无数据,None,None,4GB,http://detail.zol.com.cn/1160/1159575/param.shtml,https://2f.zol-img.com.cn/product/178_320x240/867/ceGfOYeAtuC0Q.jpg
1183138,高通 骁龙660,2017年,暂无数据,1920x1080像素,暂无数据,暂无数据,暂无数据,None,None,暂无数据,http://detail.zol.com.cn/1184/1183138/param.shtml,https://2d.zol-img.com.cn/product/186_320x240/639/ce8du28ou9HqQ.jpg
1264037,高通骁龙710,2019年,6英寸,,1300万像素,None,2870mAh,None,八核,4GB,http://detail.zol.com.cn/1265/1264037/param.shtml,https://2e.zol-img.com.cn/product/196_320x240/4/cePE87uKDWUV2.jpg
1205275,None,2017年,5.48英寸可单手打字更多5.48英寸手机>,1920x1080像素,1200万像素高清级像素高清像素手机>,1500万像素高清级像素高像素自拍手机>,暂无数据,None,None,4GB,http://detail.zol.com.cn/1206/1205275/param.shtml,https://2b.zol-img.com.cn/product/188_320x240/869/cexSfAvYjQn4Y.jpg
