id,cpu,上市日期,主屏尺寸,主屏分辨率,后置摄像头,前置摄像头,电池容量,电池类型,核心数,内存,param_url,img_url
1354676,None,2020年11月,6.49英寸,None,1600万像素,None,4200mAh,None,八核,6GB,http://detail.zol.com.cn/1355/1354676/param.shtml,https://2f.zol-img.com.cn/product/210_320x240/565/ceQByro8el.jpg
1354563,None,2015年08月,2.8英寸可单手打字更多2.8英寸手机>,暂无数据,暂无数据,暂无数据,1200mAh小电池大电池手机>,None,None,64MB,http://detail.zol.com.cn/1355/1354563/param.shtml,https://2c.zol-img.com.cn/product/210_320x240/450/cefdOPeBRHhMc.jpg
1963082,T310,None,6.26英寸,None,None,None,3900mAh,None,八核,None,http://detail.zol.com.cn/1964/1963082/param.shtml,None
1963109,虎贲T610,None,6.53英寸,None,None,None,3900mAh,None,八核,8GB,http://detail.zol.com.cn/1964/1963109/param.shtml,None
1309300,None,None,2.4英寸可单手打字更多2.4英寸手机>,320x240像素,暂无数据,暂无数据,2200mAh小电池大电池手机>,None,None,暂无数据,http://detail.zol.com.cn/1310/1309300/param.shtml,https://2d.zol-img.com.cn/product/203_320x240/969/ceFueptLb62x6.jpg
1963046,None,2023年5月1日,6.2英寸,None,None,None,8000mAh,None,八核,8GB,http://detail.zol.com.cn/1964/1963046/param.shtml,None
1963106,None,None,6.52英寸,None,None,None,3900mAh,None,八核,None,http://detail.zol.com.cn/1964/1963106/param.shtml,None
1309440,None,2019年12月,2.4英寸可单手打字更多2.4英寸手机>,320x240像素,30万像素普通级像素高清像素手机>,暂无数据,1500mAh小电池大电池手机>,None,None,暂无数据,http://detail.zol.com.cn/1310/1309440/param.shtml,https://2d.zol-img.com.cn/product/203_320x240/717/ceRlbgWbYUUow.jpg
1354581,联发科,2020年10月,6.49英寸,,1600万像素,None,4600mAh,None,八核,6GB,http://detail.zol.com.cn/1355/1354581/param.shtml,https://2f.zol-img.com.cn/product/210_320x240/149/ceUonb1BYHVZY.jpg
1963110,虎贲T610,None,6.49英寸,None,None,None,4000mAh,None,八核,4GB,http://detail.zol.com.cn/1964/1963110/param.shtml,None
1354603,联发科（MTK）,2020年10月,None,1560x720px,1600万像素,None,None,None,None,6GB,http://detail.zol.com.cn/1355/1354603/param.shtml,https://2b.zol-img.com.cn/product/224_320x240/101/cegyYWPqcdAgk.png
1963073,None,None,5.5英寸,None,None,None,4100mAh,None,八核,None,http://detail.zol.com.cn/1964/1963073/param.shtml,None
1963074,None,None,5.5英寸,None,None,None,4100mAh,None,八核,None,http://detail.zol.com.cn/1964/1963074/param.shtml,None
1354673,None,2020年11月,6.49英寸,None,1600万像素,None,4200mAh,None,八核,6GB,http://detail.zol.com.cn/1355/1354673/param.shtml,https://2d.zol-img.com.cn/product/210_320x240/569/cerDpEBIbJIc.jpg
1354557,None,2020年11月,2.8英寸可单手打字更多2.8英寸手机>,暂无数据,暂无数据,暂无数据,1200mAh小电池大电池手机>,None,None,64MB,http://detail.zol.com.cn/1355/1354557/param.shtml,https://2a.zol-img.com.cn/product/224_320x240/390/cedl7GU6WVvCg.png
1963105,None,None,6.52英寸,None,None,None,3900mAh,None,八核,None,http://detail.zol.com.cn/1964/1963105/param.shtml,None
1963072,None,None,5.5英寸,None,None,None,4100mAh,None,八核,None,http://detail.zol.com.cn/1964/1963072/param.shtml,None
1963108,虎贲T610,None,6.53英寸,None,None,None,3900mAh,None,八核,8GB,http://detail.zol.com.cn/1964/1963108/param.shtml,None
1354559,None,2019年10月,2.8英寸可单手打字更多2.8英寸手机>,暂无数据,暂无数据,暂无数据,1200mAh小电池大电池手机>,None,None,64MB,http://detail.zol.com.cn/1355/1354559/param.shtml,https://2b.zol-img.com.cn/product/210_320x240/419/ceYS4bk7V7ebk.jpg
1354662,None,2020年11月,2.4英寸可单手打字更多2.4英寸手机>,320x240像素,暂无数据,暂无数据,2400mAh小电池大电池手机>,None,None,暂无数据,http://detail.zol.com.cn/1355/1354662/param.shtml,https://2c.zol-img.com.cn/product/210_320x240/238/cehkuhXRHm6.jpg
1354596,联发科（MTK）,2020年10月,None,1560x720px,1600万像素,None,None,None,None,6GB,http://detail.zol.com.cn/1355/1354596/param.shtml,https://2a.zol-img.com.cn/product/224_320x240/76/ce350tz7hmNA.png
1354593,联发科（MTK）,2020年10月,None,,1600万像素,None,None,None,八核,6GB,http://detail.zol.com.cn/1355/1354593/param.shtml,https://2b.zol-img.com.cn/product/210_320x240/145/ceCZmN78z8ymU.jpg
1963107,None,None,6.52英寸,None,None,None,3900mAh,None,八核,None,http://detail.zol.com.cn/1964/1963107/param.shtml,None
1963083,T310,None,6.26英寸,None,None,None,3900mAh,None,八核,None,http://detail.zol.com.cn/1964/1963083/param.shtml,None
