id,cpu,上市日期,主屏尺寸,主屏分辨率,后置摄像头,前置摄像头,电池容量,电池类型,核心数,内存,param_url,img_url
1610863,第二代骁龙8移动平台,2023年12月1日,6.67英寸需双手打字,3200x1440WQHD+px2K超清,5000万像素高清级像素,1600万像素高清级像素,5000mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1611/1610863/param.shtml,https://2c.zol-img.com.cn/product/257_320x240/486/cetTTcLr59k3g.jpg
1490491,高通骁龙7+Gen2,None,6.67英寸需双手打字,2400x1080px1080P高清,6400万像素高清级像素,1600万像素高清级像素,5000mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1491/1490491/param.shtml,https://2f.zol-img.com.cn/product/232_320x240/537/cep3mEFsdeZhY.png
1795866,高通第二代骁龙7s,2023年9月21日,6.67英寸需双手打字,2712x1220px1080P高清,2亿像素普通级像素,1600万像素高清级像素,5100mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1796/1795866/param.shtml,https://2e.zol-img.com.cn/product/253_320x240/254/ceKMIYUZ3frxo.jpg
1993515,高通骁龙8SGen3,2024年4月15日,6.67英寸,2712x1220px,暂无数据,后置摄像头1,5000mAh,锂离子聚合物电池，不可拆卸,八核,12GB,http://detail.zol.com.cn/1994/1993515/param.shtml,None
1610864,高通骁龙8Gen3,2023年12月1日,6.67英寸需双手打字,3200x1440px2K超清,5000万像素高清级像素,1600万像素高清级像素,5000mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1611/1610864/param.shtml,https://2f.zol-img.com.cn/product/257_320x240/75/cepZZKZNjA3Q.jpg
1610865,联发科天玑8300-Ultra,2023年12月1日,6.67英寸需双手打字,2712x1220px1080P高清,6400万像素高清级像素,1600万像素高清级像素,5500mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1611/1610865/param.shtml,https://2a.zol-img.com.cn/product/257_320x240/400/ceib7YUbdrz2A.jpg
1960048,第二代骁龙8移动平台,2023年12月1日,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1961/1960048/param.shtml,None
1403108,高通骁龙8+Gen1（降频版）,None,6.67英寸需双手打字,3200x1440px2K超清,6400万像素高清级像素,1600万像素高清级像素,5500mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1404/1403108/param.shtml,https://2b.zol-img.com.cn/product/225_320x240/823/cenw6YJ8p3LTE.jpg
1460929,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1461/1460929/param.shtml,https://2f.zol-img.com.cn/product/239_320x240/225/ceHjeluHX9a62.png
1838409,联发科天玑9200+,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1839/1838409/param.shtml,None
