id,cpu,上市日期,主屏尺寸,主屏分辨率,后置摄像头,前置摄像头,电池容量,电池类型,核心数,内存,param_url,img_url
1427368,苹果A17Pro,2023年09月22日,6.1英寸,2556x1179px,4800万像素,1200万像素,None,None,六核,None,http://detail.zol.com.cn/1428/1427368/param.shtml,https://2c.zol-img.com.cn/product/252_320x240/362/cebUBDAD2jKwU.jpg
1427365,苹果A16,2023年09月22日,6.1英寸,2556x1179px,4800万像素,1200万像素,None,None,六核,6GB,http://detail.zol.com.cn/1428/1427365/param.shtml,https://2a.zol-img.com.cn/product/252_320x240/246/ceqnZ5BXjHkNw.jpg
1427369,苹果A17Pro,2023年09月22日,6.7英寸,2796x1290px,4800万像素,1200万像素,None,None,六核,None,http://detail.zol.com.cn/1428/1427369/param.shtml,https://2e.zol-img.com.cn/product/252_320x240/394/ceap6wFWC16I.jpg
1383667,苹果A15,2022年09月16日,6.1英寸,2532x1170px,1200万像素,1200万像素,None,None,六核,6GB,http://detail.zol.com.cn/1384/1383667/param.shtml,https://2b.zol-img.com.cn/product/222_320x240/905/ceqXh0Iq2yOxQ.jpg
1342489,苹果A15,2021年09月24日,6.1英寸,2532x1170px,1200万像素,1200万像素,3095mAh,None,六核,4GB,http://detail.zol.com.cn/1343/1342489/param.shtml,https://2e.zol-img.com.cn/product/222_320x240/222/ceW0pcZMKa4w.jpg
1427367,苹果A16,2023年09月22日,6.7英寸,2796x1290px,4800万像素,1200万像素,None,None,六核,None,http://detail.zol.com.cn/1428/1427367/param.shtml,https://2a.zol-img.com.cn/product/252_320x240/318/ceCn5D8gmhZs.jpg
1331417,苹果A14,2020年10月16日,6.1英寸,2532x1170px,1200万像素,1200万像素,2815mAh,None,六核,4GB,http://detail.zol.com.cn/1332/1331417/param.shtml,https://2d.zol-img.com.cn/product/222_320x240/571/ceK5lLhyB6Wgg.jpg
1388433,苹果A16,2022年09月16日,6.7英寸,2796x1290px,4800万像素,1200万像素,None,None,六核,6GB,http://detail.zol.com.cn/1389/1388433/param.shtml,https://2e.zol-img.com.cn/product/222_320x240/920/ceCUCKZH28TYE.jpg
1388430,苹果A16,2022年09月16日,6.1英寸,2556x1179px,4800万像素,1200万像素,None,None,六核,6GB,http://detail.zol.com.cn/1389/1388430/param.shtml,https://2c.zol-img.com.cn/product/222_320x240/968/cewSsjgev6tdc.jpg
1342492,苹果A15,2021年09月24日,6.7英寸,2778x1284px,1200万像素,1200万像素,4352mAh,None,六核,None,http://detail.zol.com.cn/1343/1342492/param.shtml,https://2d.zol-img.com.cn/product/222_320x240/305/ceJtP5nC5KPQ.jpg
1950439,苹果A17Pro,,6.1英寸,2556x1179px,4800万像素,1200万像素,None,None,六核,None,http://detail.zol.com.cn/1951/1950439/param.shtml,None
1341561,苹果A15,2022年03月18日,4.7英寸,1334x750px,1200万像素,None,2018mAh,None,六核,4GB,http://detail.zol.com.cn/1342/1341561/param.shtml,https://2d.zol-img.com.cn/product/225_320x240/691/ceBICkzcxTRhw.png
1209686,苹果 A13,2019年09月20日,6.1英寸需双手打字更多6.1英寸手机>,1792x828px,1200万像素高清级像素高清像素手机>,1200万像素高清级像素高像素自拍手机>,3110mAh小电池大电池手机>,None,六核,4GB,http://detail.zol.com.cn/1210/1209686/param.shtml,https://2c.zol-img.com.cn/product/246_320x240/462/cerAk0HSA5AzE.jpg
1342491,苹果A15,2021年09月24日,6.1英寸,2532x1170px,1200万像素,1200万像素,None,None,六核,6GB,http://detail.zol.com.cn/1343/1342491/param.shtml,https://2e.zol-img.com.cn/product/222_320x240/90/cehuzBYGGpE.jpg
1896187,苹果A17Pro,2023年09月22日,6.7英寸,2796x1290px,4800万像素,1200万像素,None,None,六核,8GB,http://detail.zol.com.cn/1897/1896187/param.shtml,https://2e.zol-img.com.cn/product/252_320x240/394/ceap6wFWC16I.jpg
1896188,苹果A16,2023年09月22日,6.1英寸,2556x1179px,4800万像素,1200万像素,None,None,六核,None,http://detail.zol.com.cn/1897/1896188/param.shtml,https://2a.zol-img.com.cn/product/252_320x240/246/ceqnZ5BXjHkNw.jpg
1896185,苹果A17Pro,2023年09月22日,6.1英寸,2556x1179px,4800万像素,1200万像素,None,None,六核,8GB,http://detail.zol.com.cn/1897/1896185/param.shtml,https://2c.zol-img.com.cn/product/252_320x240/362/cebUBDAD2jKwU.jpg
1896183,苹果A17Pro,2023年09月22日,6.1英寸,2556x1179px,4800万像素,1200万像素,None,None,六核,8GB,http://detail.zol.com.cn/1897/1896183/param.shtml,https://2c.zol-img.com.cn/product/252_320x240/362/cebUBDAD2jKwU.jpg
1336667,苹果A14,2020年11月6日,6.7英寸,2778x1284px,1200万像素,1200万像素,3687mAh,None,六核,6GB,http://detail.zol.com.cn/1337/1336667/param.shtml,https://2b.zol-img.com.cn/product/223_320x240/467/ceks8ijE08dc.jpg
1205394,苹果 A12,2018年10月26日,6.1英寸需双手打字更多6.1英寸手机>,1792x828px,1200万像素高清级像素高清像素手机>,700万像素普通级像素高像素自拍手机>,2942mAh小电池大电池手机>,None,六核,3GB,http://detail.zol.com.cn/1206/1205394/param.shtml,https://2d.zol-img.com.cn/product/198_320x240/91/ceXG83Ql63xWE.jpg
1427519,苹果A16,2022年09月16日,6.7英寸,2796x1290px,4800万像素,1200万像素,None,None,六核,6GB,http://detail.zol.com.cn/1428/1427519/param.shtml,https://2e.zol-img.com.cn/product/222_320x240/920/ceCUCKZH28TYE.jpg
1280739,苹果A14,2020年10月16日,6.1英寸,2532x1170px,1200万像素,1200万像素,2775mAh,None,六核,6GB,http://detail.zol.com.cn/1281/1280739/param.shtml,https://2b.zol-img.com.cn/product/223_320x240/865/cen4IZAU0SaX6.jpg
1383996,苹果A15,2022年10月7日,6.7英寸,2778x1284px,1200万像素,1200万像素,None,None,六核,6GB,http://detail.zol.com.cn/1384/1383996/param.shtml,https://2e.zol-img.com.cn/product/222_320x240/914/ceNnPaVomy1a.jpg
1358319,苹果A15,2021年09月24日,5.4英寸,2340x1080px,1200万像素,1200万像素,2406mAh,None,六核,4GB,http://detail.zol.com.cn/1359/1358319/param.shtml,https://2d.zol-img.com.cn/product/222_320x240/243/ceNTfavRHZ8uE.jpg
1166581,苹果 A13,2020年04月24日,4.7英寸可单手打字更多4.7英寸手机>,1334x750px,1200万像素高清级像素高清像素手机>,700万像素普通级像素高像素自拍手机>,1821mAh小电池大电池手机>,None,六核,3GB,http://detail.zol.com.cn/1167/1166581/param.shtml,https://2e.zol-img.com.cn/product/246_320x240/476/cecXWMNdnefy2.jpg
1290078,苹果A13,2019年09月,6.5英寸,2688x1242px,1200万像素,1200万像素,3969mAh,None,六核,4GB,http://detail.zol.com.cn/1291/1290078/param.shtml,https://2e.zol-img.com.cn/product/223_320x240/106/ceyE22XAheWw.jpg
1299582,苹果A14,2020年11月06日,5.4英寸,2340x1080px,1200万像素,1200万像素,2227mAh,None,六核,4GB,http://detail.zol.com.cn/1300/1299582/param.shtml,https://2c.zol-img.com.cn/product/222_320x240/110/ceWzi9fLqSYyQ.jpg
1431612,苹果A15,None,6.1英寸,1792x828px,1200万像素,None,2942mAh,None,六核,None,http://detail.zol.com.cn/1432/1431612/param.shtml,https://2a.zol-img.com.cn/product/247_320x240/120/cePay1xjXDIs.jpg
1280696,苹果A13,2019年09月20日,5.8英寸,2436x1125px,1200万像素,1200万像素,3190mAh,None,六核,4GB,http://detail.zol.com.cn/1281/1280696/param.shtml,https://2e.zol-img.com.cn/product/223_320x240/232/ce5XaldF51Hs.png
1896184,苹果A17Pro,2023年09月22日,6.1英寸,2556x1179px,4800万像素,1200万像素,None,None,六核,8GB,http://detail.zol.com.cn/1897/1896184/param.shtml,https://2c.zol-img.com.cn/product/252_320x240/362/cebUBDAD2jKwU.jpg
1896186,苹果A17Pro,2023年09月22日,6.7英寸,2796x1290px,4800万像素,1200万像素,None,None,六核,8GB,http://detail.zol.com.cn/1897/1896186/param.shtml,https://2e.zol-img.com.cn/product/252_320x240/394/ceap6wFWC16I.jpg
1427517,苹果A16,2022年09月16日,6.7英寸,2796x1290px,4800万像素,1200万像素,None,None,六核,6GB,http://detail.zol.com.cn/1428/1427517/param.shtml,https://2e.zol-img.com.cn/product/222_320x240/920/ceCUCKZH28TYE.jpg
1387831,苹果A15,2021年09月24日,6.1英寸,2532x1170px,1200万像素,1200万像素,3095mAh,None,六核,4GB,http://detail.zol.com.cn/1388/1387831/param.shtml,https://2e.zol-img.com.cn/product/222_320x240/222/ceW0pcZMKa4w.jpg
1387840,苹果A15,2021年09月24日,6.7英寸,2778x1284px,1200万像素,1200万像素,4352mAh,None,六核,None,http://detail.zol.com.cn/1388/1387840/param.shtml,https://2d.zol-img.com.cn/product/222_320x240/305/ceJtP5nC5KPQ.jpg
1896288,苹果A16,2023年09月22日,6.7英寸,2796x1290px,4800万像素,1200万像素,None,None,六核,6GB,http://detail.zol.com.cn/1897/1896288/param.shtml,https://2a.zol-img.com.cn/product/252_320x240/318/ceCn5D8gmhZs.jpg
1427509,苹果A15,2023年03月14日,6.1英寸,2532x1170px,1200万像素,1200万像素,None,None,六核,6GB,http://detail.zol.com.cn/1428/1427509/param.shtml,https://2b.zol-img.com.cn/product/222_320x240/905/ceqXh0Iq2yOxQ.jpg
1427516,苹果A16,2022年09月16日,6.1英寸,2556x1179px,4800万像素,1200万像素,None,None,六核,6GB,http://detail.zol.com.cn/1428/1427516/param.shtml,https://2c.zol-img.com.cn/product/222_320x240/968/cewSsjgev6tdc.jpg
1896189,苹果A16,2023年09月22日,6.1英寸,2556x1179px,4800万像素,1200万像素,None,None,六核,6GB,http://detail.zol.com.cn/1897/1896189/param.shtml,https://2a.zol-img.com.cn/product/252_320x240/246/ceqnZ5BXjHkNw.jpg
1427514,苹果A16,2022年09月16日,6.1英寸,2556x1179px,4800万像素,1200万像素,None,None,六核,6GB,http://detail.zol.com.cn/1428/1427514/param.shtml,https://2c.zol-img.com.cn/product/222_320x240/968/cewSsjgev6tdc.jpg
1950438,苹果A17Pro,,6.1英寸,2556x1179px,4800万像素,1200万像素,None,None,六核,None,http://detail.zol.com.cn/1951/1950438/param.shtml,None
1950441,苹果A17Pro,,6.1英寸,2556x1179px,4800万像素,1200万像素,None,None,六核,None,http://detail.zol.com.cn/1951/1950441/param.shtml,None
1292156,苹果A13,2019年09月20日,6.1英寸,1792x828px,1200万像素,1200万像素,3110mAh,None,六核,4GB,http://detail.zol.com.cn/1293/1292156/param.shtml,https://2c.zol-img.com.cn/product/246_320x240/462/cerAk0HSA5AzE.jpg
1387838,苹果A15,2021年09月24日,6.7英寸,2778x1284px,1200万像素,1200万像素,4352mAh,None,六核,None,http://detail.zol.com.cn/1388/1387838/param.shtml,https://2d.zol-img.com.cn/product/222_320x240/305/ceJtP5nC5KPQ.jpg
