id,cpu,上市日期,主屏尺寸,主屏分辨率,后置摄像头,前置摄像头,电池容量,电池类型,核心数,内存,param_url,img_url
1494544,高通骁龙6Gen1,2023年07月14日,6.78英寸,2652x1200px,None,None,5800mAh,None,八核,8GB,http://detail.zol.com.cn/1495/1494544/param.shtml,https://2e.zol-img.com.cn/product/247_320x240/522/ce5v7PV72uhS6.jpg
1959987,高通骁龙8Gen3,2024年01月18日,6.78英寸,2800x1264px,5000万像素,5000万像素,5450mAh,None,八核,12GB,http://detail.zol.com.cn/1960/1959987/param.shtml,None
1949055,高通骁龙8Gen2,2023年12月1日,6.78英寸,2700x1224px,5000万像素,5000万像素,None,None,八核,12GB,http://detail.zol.com.cn/1950/1949055/param.shtml,https://2b.zol-img.com.cn/product/256_320x240/147/cepSNuhVlrLvg.jpg
1948397,高通骁龙7Gen3,2023年12月1日,6.7英寸,2664x1200px,5000万像素,5000万像素,None,None,八核,12GB,http://detail.zol.com.cn/1949/1948397/param.shtml,https://2e.zol-img.com.cn/product/256_320x240/120/cetCuWrVwdfjQ.jpg
1967015,高通骁龙8Gen2,2023年12月26日,6.7英寸,2664x1200px,5000万像素,1600万像素,5000mAh,None,八核,12GB,http://detail.zol.com.cn/1968/1967015/param.shtml,https://2a.zol-img.com.cn/product/258_320x240/64/cehxh6giLdAeI.jpg
1494545,高通骁龙8Gen1,2024年01月09日,6.78英寸,2652x1200px,None,None,5800mAh,None,八核,12GB,http://detail.zol.com.cn/1495/1494545/param.shtml,https://2f.zol-img.com.cn/product/258_320x240/55/cehUmce91MyI.jpg
1974001,高通骁龙8Gen3,2024年01月18日,6.8英寸,2800x1280px,5000万像素,5000万像素,5600mAh,None,八核,12GB,http://detail.zol.com.cn/1975/1974001/param.shtml,https://2d.zol-img.com.cn/product/258_320x240/117/ceGZfs1vW8paM.jpg
1986534,高通骁龙8Gen3,2024年03月22日,6.8英寸,2800x1280px,5000万像素,5000万像素,5600mAh,None,八核,16GB,http://detail.zol.com.cn/1987/1986534/param.shtml,None
1447713,高通骁龙7Gen1,2023年06月07日,6.7英寸,2664x1200px,None,5000万像素,5000mAh,None,八核,12GB,http://detail.zol.com.cn/1448/1447713/param.shtml,https://2a.zol-img.com.cn/product/238_320x240/698/cenc9sCEe1rkU.jpg
1974012,高通骁龙8Gen3,2024年01月18日,6.78英寸,2800x1264px,5000万像素,5000万像素,5450mAh,None,八核,16GB,http://detail.zol.com.cn/1975/1974012/param.shtml,None
1957926,高通骁龙7Gen3,2023年12月1日,6.7英寸,2664x1200px,5000万像素,5000万像素,None,None,八核,16GB,http://detail.zol.com.cn/1958/1957926/param.shtml,https://2e.zol-img.com.cn/product/256_320x240/120/cetCuWrVwdfjQ.jpg
1968651,高通骁龙8Gen2,2023年12月26日,6.7英寸,2664x1200px,5000万像素,1600万像素,5000mAh,None,八核,24GB,http://detail.zol.com.cn/1969/1968651/param.shtml,https://2a.zol-img.com.cn/product/258_320x240/64/cehxh6giLdAeI.jpg
1554341,高通骁龙8Gen2,2023年07月20日,主：7.92英寸,主：2344x2156px,5000万像素,1600万像素,None,None,八核,16GB,http://detail.zol.com.cn/1555/1554341/param.shtml,https://2f.zol-img.com.cn/product/248_320x240/127/ceORLsF5isNxw.jpg
1427939,高通骁龙8Gen2,2023年03月10日,6.81英寸,2848×1312px,5000万像素,1200万像素,None,None,八核,8GB,http://detail.zol.com.cn/1428/1427939/param.shtml,https://2f.zol-img.com.cn/product/229_320x240/397/cexWZyvv582t.png
1974019,高通骁龙8Gen3,2024年01月18日,6.8英寸,2800x1280px,5000万像素,5000万像素,5600mAh,None,八核,16GB,http://detail.zol.com.cn/1975/1974019/param.shtml,https://2d.zol-img.com.cn/product/258_320x240/117/ceGZfs1vW8paM.jpg
1796413,高通骁龙6Gen1,2023年07月14日,6.78英寸,2652x1200px,None,None,5800mAh,None,八核,16GB,http://detail.zol.com.cn/1797/1796413/param.shtml,https://2e.zol-img.com.cn/product/247_320x240/522/ce5v7PV72uhS6.jpg
1857504,高通骁龙8+Gen1,2023年10月17日,主：7.92英寸,主：2344x2156px,5000万像素,1600万像素,5000mAh,None,八核,12GB,http://detail.zol.com.cn/1858/1857504/param.shtml,https://2a.zol-img.com.cn/product/253_320x240/320/ceEm0M7thnIoU.jpg
1447715,高通骁龙8+Gen1,2023年06月07日,6.78英寸,2700x1224px,None,5000万像素,None,None,八核,12GB,http://detail.zol.com.cn/1448/1447715/param.shtml,https://2c.zol-img.com.cn/product/238_320x240/992/ceRmXfT8grasY.png
1430940,高通骁龙480Plus,2023年05月26日,6.56英寸,1612x720px,1300万像素,None,5200mAh,None,八核,6GB,http://detail.zol.com.cn/1431/1430940/param.shtml,https://2e.zol-img.com.cn/product/239_320x240/540/ceMpzUiiCLOc.png
1629849,高通骁龙7Gen1,2023年06月07日,6.7英寸,2664x1200px,None,5000万像素,5000mAh,None,八核,16GB,http://detail.zol.com.cn/1630/1629849/param.shtml,https://2a.zol-img.com.cn/product/238_320x240/698/cenc9sCEe1rkU.jpg
1426635,高通骁龙8Gen2,2023年03月10日,6.73英寸,2688x1224px,5400万像素,1200万像素,5100mAh,None,八核,8GB,http://detail.zol.com.cn/1427/1426635/param.shtml,https://2c.zol-img.com.cn/product/229_320x240/950/ceLIAyscFswXo.png
