id,cpu,上市日期,主屏尺寸,主屏分辨率,后置摄像头,前置摄像头,电池容量,电池类型,核心数,内存,param_url,img_url
1772430,GoogleTensorG3,None,6.3英寸,2340x1080px,5000万像素,None,4700mAh,None,八核,8GB,http://detail.zol.com.cn/1773/1772430/param.shtml,https://2f.zol-img.com.cn/product/250_320x240/359/cecxCmGEzDEQc.jpg
1363931,GoogleTensor,None,6.4英寸,2340x1080px,5000万像素,None,4614mAh,None,八核,8GB,http://detail.zol.com.cn/1364/1363931/param.shtml,https://2f.zol-img.com.cn/product/220_320x240/969/ce1NA6ltdRmaI.jpg
1370705,GoogleTensor,None,6.7英寸,3120x1440px,5000万像素,None,5003mAh,None,八核,12GB,http://detail.zol.com.cn/1371/1370705/param.shtml,https://2b.zol-img.com.cn/product/222_320x240/391/ceAwKoJhoOj4g.jpg
1772447,GoogleTensorG3,None,6.7英寸,3120x1440px,5000万像素,None,5003mAh,None,八核,12GB,http://detail.zol.com.cn/1773/1772447/param.shtml,https://2b.zol-img.com.cn/product/246_320x240/511/ceKKiKThOEg.jpg
1403346,GoogleTensor,None,6.3英寸,2340x1080px,5000万像素,None,4700mAh,None,八核,8GB,http://detail.zol.com.cn/1404/1403346/param.shtml,https://2d.zol-img.com.cn/product/226_320x240/51/ceJcmZ5ZpZaOY.png
1288325,高通骁龙765G,2020年11月,6英寸,,1220万像素,None,4080mAh,None,八核,8GB,http://detail.zol.com.cn/1289/1288325/param.shtml,https://2f.zol-img.com.cn/product/208_320x240/743/ceeCFspHyTNmA.jpg
1408477,GoogleTensor,None,6.1英寸,2400x1080px,1200万像素,None,4410mAh,None,八核,6GB,http://detail.zol.com.cn/1409/1408477/param.shtml,https://2f.zol-img.com.cn/product/219_320x240/479/ce4ygizGh32XQ.jpg
1508700,GoogleTensor,,6.1英寸,,6400万像素,1300万像素,4385mAh,None,八核,8GB,http://detail.zol.com.cn/1509/1508700/param.shtml,https://2b.zol-img.com.cn/product/238_320x240/157/cesXWVplFKxUA.jpg
1403124,GoogleTensor,None,6.7英寸,,5000万像素,None,5003mAh,None,八核,12GB,http://detail.zol.com.cn/1404/1403124/param.shtml,https://2c.zol-img.com.cn/product/221_320x240/108/cePVPOdNdMAg.jpg
1307398,高通骁龙730,2020年,5.81英寸,,1220万像素,None,3140mAh,None,八核,6GB,http://detail.zol.com.cn/1308/1307398/param.shtml,https://2a.zol-img.com.cn/product/208_320x240/128/ce6nNrwRW7OLw.jpg
