id,cpu,上市日期,主屏尺寸,主屏分辨率,后置摄像头,前置摄像头,电池容量,电池类型,核心数,内存,param_url,img_url
1784392,高通骁龙8Gen3,2024年03月02日,6.79英寸,3192x1368px,暂无数据,后置摄像头1,5050mAh,不可拆卸式电池,八核,12GB,http://detail.zol.com.cn/1785/1784392/param.shtml,None
1784391,高通骁龙8Gen3,2023年11月30日,6.55英寸,2340x1080px,None,3200万像素,None,None,八核,8GB,http://detail.zol.com.cn/1785/1784391/param.shtml,https://2b.zol-img.com.cn/product/257_320x240/201/cexqEqL456hdI.jpg
1397388,高通骁龙8Gen2,2023年04月03日,6.55英寸,2400x1080px,5000万像素,3200万像素,None,None,八核,12GB,http://detail.zol.com.cn/1398/1397388/param.shtml,https://2f.zol-img.com.cn/product/232_320x240/43/cedj39lCoL6hE.png
1397392,高通骁龙8Gen2,,6.81英寸,3200x1440 WQHD+px,5000万像素,3200万像素,None,None,八核,12GB,http://detail.zol.com.cn/1398/1397392/param.shtml,https://2b.zol-img.com.cn/product/232_320x240/57/ceBxd5FLtrw5k.png
1494538,高通骁龙8Gen2,None,6.81英寸,3200x1440 WQHD+px,5000万像素,3200万像素,None,None,八核,12GB,http://detail.zol.com.cn/1495/1494538/param.shtml,https://2b.zol-img.com.cn/product/232_320x240/57/ceBxd5FLtrw5k.png
1960141,高通骁龙8Gen3,2023年11月30日,6.55英寸,2340x1080px,None,3200万像素,None,None,八核,8GB,http://detail.zol.com.cn/1961/1960141/param.shtml,https://2b.zol-img.com.cn/product/257_320x240/201/cexqEqL456hdI.jpg
1494536,高通骁龙8Gen2,2023年04月03日,6.55英寸,2400x1080px,5000万像素,3200万像素,4700mAh,None,八核,12GB,http://detail.zol.com.cn/1495/1494536/param.shtml,https://2f.zol-img.com.cn/product/232_320x240/43/cedj39lCoL6hE.png
1494537,高通骁龙8Gen2,None,6.81英寸,3200x1440 WQHD+px,5000万像素,3200万像素,None,None,八核,12GB,http://detail.zol.com.cn/1495/1494537/param.shtml,https://2b.zol-img.com.cn/product/232_320x240/57/ceBxd5FLtrw5k.png
1960140,高通骁龙8Gen3,2023年11月30日,6.55英寸,2340x1080px,None,3200万像素,None,None,八核,12GB,http://detail.zol.com.cn/1961/1960140/param.shtml,https://2b.zol-img.com.cn/product/257_320x240/201/cexqEqL456hdI.jpg
1984864,高通骁龙8Gen3,2024年03月02日,6.79英寸,3192x1368px,暂无数据,后置摄像头1,5050mAh,不可拆卸式电池,八核,16GB,http://detail.zol.com.cn/1985/1984864/param.shtml,None
